index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center/north-carolina/charlotte/28205/charlotte-health-center-2703-90860,14,planned,268,parenthood,267,your,147,var,127,you,107,label,102,solid,96,health,84,this,83,instanceof,82,else,73,---,73,our,67,abortion,61,get,61,years,61,main,53,choose,51,new,51,care,48,search,45,about,44,services,41,ago,41,seconds,41,video,38,can,38,find,37,more,35,function,34,return,33,please,32,control,31,have,30,border-color,30,default,29,birth,29,contact,28,email,28,all,27,error,27,let,27,background-color,25,background,25,access,25,donate,24,learn,24,loading,23,navigation,23,south,23,follow,22,opacity,22,when,22,form,22,out,22,toggle,21,action,21,research,21,field,21,information,20,sexual,20,how,20,gift,20,color,20,center,20,policy,19,involved,19,screen,18,insurance,18,year,18,sex,17,does,17,state,17,set,17,call,17,donor,16,other,16,code,16,bans,15,data,15,add,15,ease,15,off,15,infinite,15,any,15,lever-fadein,14,atlantic,14,development,14,vice,14,senior,14,first,14,reproductive,14,use,14,used,14,what,14,north,14,now,13,only,13,path,13,mail,13,affiliate,13,const,13,not,13,value,13,make,13,privacy,13,open,13,online,13,chief,12,mypostrender,12,share,12,under,12,name,12,take,12,user,12,great,12,help,12,select,12,bodies,12,blog,12,torrence,12,advocacy,12,federation,12,cart,11,method,11,know,11,office,11,membership,11,provider,11,appointment,11,officer,11,general,11,through,11,one,11,want,11,give,10,after,10,tax-deductible,10,hide,10,target,10,enter,10,checkbox,10,products,10,resharper,10,participate,10,custom,10,pregnancy,10,see,10,show,10,change,10,terms,10,box-shadow,10,normal,9,right,9,left,9,questions,9,img,9,rights,9,fade-in,9,rotate-infinite,9,back,9,español,9,service,9,card,9,toastfadein,9,none,9,forms,9,fade-out,9,months,9,shimmer,9,lever-fadeout,9,attacks,9,sign,9,digital,9,zip,9,display,9,lever-slidedown,9,protect,9,check,9,button,9,fill,9,selected,9,lever-slideup,9,volunteer,9,book,8,always,8,contraception,8,they,8,legal,8,campaigns,8,messages,8,top,8,local,8,circle,8,link,8,people,8,available,8,closed,8,store,8,also,8,1
count10,https://www.plannedparenthood.org/health-center/north-carolina/wilmington/28401/wilmington-health-center-2595-90860,15,parenthood,269,planned,269,var,161,your,152,you,125,label,102,solid,97,health,85,this,84,instanceof,82,else,80,---,73,our,67,get,62,abortion,61,years,61,new,58,main,53,choose,51,care,49,search,45,about,44,services,42,ago,41,seconds,41,function,40,can,39,video,38,find,37,return,37,more,35,have,34,please,33,control,31,all,30,border-color,30,birth,29,default,29,email,28,contact,28,let,27,error,27,access,25,background-color,25,background,25,donate,24,learn,24,navigation,23,when,23,loading,23,"""spacer""",22,opacity,22,form,22,follow,22,out,22,research,21,field,21,south,21,toggle,21,action,21,information,21,center,21,gift,20,color,20,how,20,sexual,20,policy,19,involved,19,year,18,insurance,18,any,18,make,18,screen,18,state,17,does,17,not,17,set,17,sex,17,call,17,other,17,donor,16,code,16,"""x-button-link-style""",16,atlantic,15,ease,15,bans,15,data,15,off,15,use,15,online,15,first,15,select,15,add,15,infinite,15,north,14,appointment,14,name,14,used,14,open,14,reproductive,14,vice,14,senior,14,development,14,lever-fadein,14,what,14,path,13,privacy,13,help,13,see,13,mail,13,now,13,states,13,const,13,value,13,width,13,only,13,affiliate,13,user,12,advocacy,12,bodies,12,share,12,one,12,under,12,take,12,mypostrender,12,chief,12,tradd,12,federation,12,blog,12,great,12,membership,11,give,11,know,11,office,11,want,11,after,11,cart,11,pregnancy,11,general,11,enter,11,through,11,provider,11,rights,11,officer,11,method,11,need,11,hide,10,available,10,contraception,10,patient,10,products,10,show,10,target,10,terms,10,custom,10,change,10,participate,10,sign,10,resources,10,resharper,10,tax-deductible,10,grey,10,checkbox,10,box-shadow,10,may,9,selected,9,card,9,img,9,questions,9,fade-in,9,check,9,protect,9,display,9,fade-out,9,service,9,button,9,back,9,also,9,left,9,digital,9,right,9,shimmer,9,español,9,day,9,normal,9,volunteer,9,forms,9,none,9,zip,9,lever-fadeout,9,attacks,9,lever-slidedown,9,months,9,lever-slideup,9,fill,9,toastfadein,9,rotate-infinite,9,messages,8,sticky,8,google,8,9
count11,http://www.ahallmarkwomensclinic.com/,17,var,309,you,194,services,173,your,126,hallmark,123,abortion,120,after,115,clinic,104,book,95,auto,90,please,84,winston,83,return,80,contact,79,this,78,const,75,email,75,appointment,74,womens,73,salem,73,fayetteville,72,information,71,enter,61,can,60,theme,60,valid,60,tryit,60,not,57,else,56,have,54,right,51,function,48,none,47,let,46,values,45,crisis,44,online,42,why,42,days,41,women’s,39,know,38,form,37,rape,36,act,36,locator-,36,coping,35,pill,33,try,33,prevent,32,new,31,contraception,31,pregnancy,31,field,31,emergency,31,home,31,required,30,isconditional,30,compid,30,fileext,30,templates,30,button,30,menu,30,signing,30,faq,30,surgical,30,picture,30,"""schedule""",30,max,30,search,30,sfound,30,navigation,30,all,29,our,28,confirm,27,here,26,women,25,only,24,feel,24,used,22,hours,20,unprotected,20,hour,20,weeks,20,day,19,want,19,get,18,"""womens""",18,address,18,screen,17,about,17,procedure,17,click,17,choose,17,there,16,allowed,16,fill,16,accept,16,false,16,sure,16,file,15,non-surgical,15,scripts,15,script,15,first,15,positive,15,pictures,15,verification,15,vcurl,15,variants,15,"""svg""",15,aeint,15,delete,15,exceeded,15,gem,15,again,15,number,15,page,15,observer,15,"""were""",15,out,15,recaptcha,15,unique,15,results,15,html,15,add,15,"""light""",15,lint,15,take,15,synced,15,sync,15,inline,15,content,15,break,15,skip,15,"""neve-site-logo""",15,true,15,leb,15,check,15,conditions,15,template,15,checkengagebutton,15,checklivesite,15,"""block""",15,matching,15,mean,15,choices,15,neve,15,neveproperties,15,lma,15,specific,15,jan,15,stopping,15,"""powered""",15,auto-generated,15,more,15,free,14,birth,14,control,14,north,14,target,14,always,13,set,13,like,13,powered,13,wordpress,13,they,13,confirmation,12,south,12,received,12,plan,12,gillespie,12,requested,12,assure,12,medical,12,when,12,kept,12,associated,12,would,12,give,12,stating,12,call,11,happen,11,against,11,provided,11,last,11,including,11,even,11,any,11,cleveland,11,questions,11,causes,11,medicine,10,way,10,protect,10,virus,10,ends,10,taken,10,transmitted,10,elementor,10,possible,10,10
count12,https://www.plannedparenthood.org/health-center/north-carolina/fayetteville/28303/fayetteville-health-center-4173-90860,17,planned,273,parenthood,273,var,208,your,178,you,134,this,110,solid,103,label,102,health,88,instanceof,85,else,81,---,73,new,72,our,68,years,63,get,62,abortion,61,function,58,main,53,choose,51,care,50,search,50,video,46,about,45,return,45,can,43,please,42,ago,41,seconds,41,services,41,have,39,more,39,find,38,control,32,all,32,border-color,30,email,30,birth,29,default,29,contact,28,access,28,let,27,error,27,out,26,background-color,25,when,25,background,25,donate,24,learn,24,opacity,24,center,24,loading,23,navigation,23,information,23,form,22,"""spacer""",22,follow,22,toggle,22,research,21,action,21,field,21,how,21,south,21,sexual,20,color,20,make,20,gift,20,call,20,other,20,not,20,involved,19,policy,19,insurance,19,screen,18,any,18,year,18,set,17,state,17,sex,17,does,17,add,17,"""x-button-link-style""",16,code,16,first,16,donor,16,data,16,name,16,use,15,atlantic,15,off,15,select,15,ease,15,infinite,15,bans,15,through,15,now,15,online,15,help,15,development,14,lever-fadein,14,senior,14,reproductive,14,open,14,north,14,membership,14,need,14,used,14,what,14,patient,14,vice,14,available,14,try,13,appointment,13,share,13,states,13,service,13,left,13,privacy,13,affiliate,13,only,13,const,13,mail,13,width,13,value,13,path,13,yadkin,12,great,12,advocacy,12,chief,12,right,12,user,12,take,12,enter,12,undefined,12,under,12,one,12,mypostrender,12,bodies,12,want,12,blog,12,see,12,federation,12,resources,11,provider,11,method,11,cart,11,track,11,rights,11,check,11,officer,11,know,11,general,11,office,11,box-shadow,10,central,10,terms,10,number,10,grey,10,medicaid,10,selected,10,change,10,show,10,sign,10,pregnancy,10,hide,10,tax-deductible,10,participate,10,card,10,target,10,resharper,10,give,10,custom,10,products,10,videos,10,img,10,none,10,checkbox,10,top,10,after,10,following,9,forms,9,fade-in,9,español,9,fill,9,shimmer,9,back,9,page,9,normal,9,google,9,fade-out,9,rotate-infinite,9,button,9,additional,9,may,9,lever-fadeout,9,prevent,9,attacks,9,protect,9,digital,9,questions,9,11
count3,https://abortionclinicservicesraleighnc.com/,16,solid,376,abortion,320,background-color,275,transform,187,border-color,176,pill,126,you,115,preferred,110,raleigh,109,our,101,screen,92,color,88,clinic,87,your,82,information,76,health,73,auto,69,new,67,var,61,abortions,61,services,59,have,57,women’s,49,function,48,all,46,charlotte,42,appointment,42,atlanta,42,financial,42,center,41,augusta,40,medical,40,in-office,40,can,36,schedule,35,this,35,not,34,more,33,none,33,help,32,patients,30,offer,30,about,29,choice,28,procedure,28,patient,28,home,28,weeks,28,additional,26,act,26,women,26,wrk,24,make,23,assistance,23,surgical,22,counselors,22,care,22,private,21,after,21,questions,20,call,20,safe,20,"""surgery""",19,may,19,contact,19,"""no""",19,featuring,19,pregnancy,19,carolina,18,north,18,services-,18,location,18,their,17,instanceof,16,need,16,available,16,any,15,menu,15,"""womens""",15,news,15,rights,15,right,15,thank,15,georgia,14,here,14,faqs,14,apwhc,14,provide,14,another,13,configuration,13,special,13,staff,13,goes,13,espanol,13,abortionsfinancial,13,custom,13,confidential,13,habla,13,specializing,13,wordpress,12,who,12,there,12,choosing,12,phone,12,also,12,trained,12,appointments,12,each,12,sitemap,11,should,11,return,11,connect,11,counseling,11,days,11,say,11,file,11,helplocationfaqsnc,11,auto-generated,11,informationcontact,11,inset,11,procedures,11,appointmentnews,11,homepage,11,homeabout,11,inline,11,answer,11,pillin-office,11,usabortion,11,usschedule,11,centers,11,very,10,what,10,know,10,january,10,nurses,10,obtained,10,menstrual,10,many,10,most,10,coordinator,10,before,10,emailing,10,time,10,over,10,specially,10,hours,10,pleasure,10,given,10,take,10,be…,9,they,9,than,9,caring,9,but,9,…the,9,which,9,made,9,how,9,like,9,located,9,must,9,uterine,8,some,8,physicians,8,service,8,own,8,best,8,including,8,one,8,office,8,offered,8,just,8,experienced,8,use,8,female,8,using,7,united,7,vacuum,7,medications,7,her,7,early,7,please,6,woman,6,physician,6,when,6,get,6,gestation,6,out,6,through,6,first,6,treatment,6,professional,6,asked,6,support,6,clinics,6,medication,6,doctor,6,does,6,come,6,links,6,2
count4,https://www.med.unc.edu/obgyn/family-planning/our-services/womens_options_center/,25,new,484,unc,377,solid,320,agent,210,require,190,objects,189,our,159,this,153,obstetrics,146,screen,144,var,143,only,136,auto,128,department,128,extends,126,footer,126,family,125,gynecology,110,health,108,instanceof,105,function,103,planning,100,medical,99,complex,99,care,97,school,97,clinic,88,medicine,87,never,84,research,79,you,79,patient,78,must,73,center,72,search,70,your,69,all,68,return,67,chapel,66,requires,65,setting,63,none,63,configuration,63,runtime,63,obfuscation,63,rule,63,primitive,63,replacement,63,women,60,education,56,ob-gyn,55,global,55,years,55,their,54,about,51,browser,49,intranet,49,not,46,services,46,type,45,while,45,program,45,have,45,like,45,home,44,enabled,44,due,43,contains,43,missing,43,unable,43,info,43,more,42,invalid,42,loader-config,42,value,42,object,42,error,42,configurable,42,occured,42,skip,41,selected,41,activate,40,notice,40,faculty,40,every,40,aviso,40,sort,40,column,40,avisos,40,patients,39,hill,38,menu,38,page,37,may,36,follow,36,stage,36,accessibility,35,contact,35,office,35,content,34,make,33,information,33,phone,32,privacy,32,can,32,hospital,32,carolina,30,one,30,procedures,29,ago,29,women’s,28,been,28,items,28,data,27,team,27,numbers,27,available,27,seconds,27,building,26,abortion,26,gynecologic,26,file,26,clinical,25,news,25,directory,25,site,25,campus,25,north,25,visit,24,referral,24,disclaimer,24,refer,24,youtube,23,features,23,classes,23,end,23,connect,23,navigation,23,resources,23,fellowship,22,practices,22,down,22,but,22,model,22,toggle,22,set,22,feature,22,delete,21,main,21,changed,21,possibly,21,dependent,21,detected,21,login,21,disabled,21,cause,21,chunk,21,facebook,21,variables,21,locate,21,capture,21,protected,21,shutting,21,total,21,academic,21,string,21,instrument,21,initial,21,apis,21,code,21,unintended,21,relic,21,surgery,21,attribute,21,auto-generated,21,context,21,initialize,21,good,21,consequences,21,redefining,21,inline,21,matching,20,nondiscrimination,20,presupuestos,20,buena,20,notices,20,estimate,20,utility,20,instagram,20,records,20,médicas,20,body,20,surprise,20,sorpresas,20,bar,20,billing,20,privadas,20,"""use""",20,residency,20,"""tribe-js""",20,3
count5,https://www.awomanschoiceinc.com/,9,abortion,4251,clinic,3753,pill,1883,north,1701,choice,1626,womans,1571,jacksonville,406,greensboro,400,raleigh,400,charlotte,397,gainesville,363,winston-salem,356,wilmington,356,tallahassee,356,orlando,348,roanoke,348,norfolk,348,knoxville,348,near,309,asheville,288,our,83,carolina,78,you,72,durham,68,care,66,your,63,"""womans""",48,florida,45,master,45,var,41,clinics,33,inc,27,about,25,new,25,university,24,this,22,may,20,every,20,donate,19,services,18,network,18,forward,17,home,17,appointment,16,have,15,email,15,who,14,providers,14,use,13,request,13,help,13,respect,13,else,13,resources,13,south,13,please,12,wendover,12,case,12,here,12,support,12,boulevard,12,address,12,drake,12,randleman,12,call,11,pregnancy,11,all,10,ensure,10,hopes,10,provide,10,offer,10,access,10,dedicated,10,best,10,quality,10,function,10,together,10,src,10,out,9,committed,9,experience,9,confidence,9,serving,9,leave,9,sign,9,awc,9,independent,9,serve,9,move,9,surgical,9,dignity,9,everyone,8,people,8,danville,8,spartanburg,8,privacy,8,alabama,8,savannah,8,teens,8,passion,8,employment,8,each,8,visits,8,standard,8,montgomery,8,speaks,8,contact,8,priority,8,receive,8,must,8,which,8,display,8,step,8,georgia,8,making,8,make,8,keep,8,not,8,virginia,8,options,7,first,7,surrounding,7,their,7,include,7,after,7,state,7,using,7,medication,7,hostname,6,return,6,acn,6,other,6,united,6,essential,6,looking,6,iframe,6,know,6,woman’s,6,payments,6,policy,6,available,6,auto,6,adoption,6,solid,6,can,6,iframeparams,6,members,5,needs,5,day,5,website,5,area,5,some,5,any,5,need,5,mission,5,informed,5,mifeprex,5,financial,5,but,5,like,5,means,5,health,5,click,5,country,5,fully,5,static,4,problem,4,stronger,4,below,4,difficulties,4,vital,4,more,4,three-four,4,reaching,4,great,4,locations,4,cookies,4,donation,4,complete,4,apologize,4,procedure,4,fighting,4,want,4,look,4,subscribe,4,phone,4,thank,4,agree,4,experiencing,4,before,4,doctor,4,transparent,4,news,4,show,4,communities,4,private,4,equipped,4,instagram,4,fee,4,"""youd""",4,4
count6,https://www.plannedparenthood.org/health-center/north-carolina/chapel-hill/27514/chapel-hill-health-center-4169-90860,15,parenthood,269,planned,269,var,161,your,154,you,127,label,102,solid,97,health,87,this,85,instanceof,82,else,80,---,73,our,68,get,62,abortion,61,years,61,new,58,main,53,choose,51,care,49,about,46,search,45,seconds,41,services,41,ago,41,function,40,can,39,video,38,return,37,find,37,more,36,have,34,please,33,control,32,border-color,30,birth,30,all,29,default,29,contact,28,email,28,let,27,error,27,access,25,background,25,background-color,25,learn,24,donate,24,when,23,loading,23,navigation,23,"""spacer""",22,out,22,form,22,opacity,22,follow,22,center,22,south,22,toggle,21,field,21,information,21,action,21,research,21,sexual,20,gift,20,color,20,how,20,involved,19,policy,19,other,18,screen,18,year,18,insurance,18,make,18,not,18,any,18,set,17,state,17,sex,17,does,17,call,17,code,16,first,16,"""x-button-link-style""",16,chapel,16,donor,16,online,15,ease,15,off,15,atlantic,15,infinite,15,bans,15,add,15,select,15,use,15,data,15,open,14,name,14,development,14,what,14,vice,14,north,14,used,14,appointment,14,senior,14,lever-fadein,14,reproductive,14,dobbins,14,width,13,only,13,const,13,privacy,13,affiliate,13,mail,13,now,13,see,13,path,13,value,13,help,13,take,13,states,13,available,12,advocacy,12,office,12,chief,12,under,12,blog,12,federation,12,user,12,great,12,one,12,share,12,mypostrender,12,bodies,12,right,12,method,11,after,11,know,11,through,11,give,11,patient,11,membership,11,provider,11,general,11,rights,11,enter,11,want,11,officer,11,cart,11,need,11,box-shadow,10,custom,10,show,10,tax-deductible,10,target,10,checkbox,10,change,10,grey,10,card,10,sign,10,pregnancy,10,terms,10,resources,10,hide,10,back,10,left,10,resharper,10,participate,10,products,10,lever-fadeout,9,display,9,lever-slidedown,9,lever-slideup,9,shimmer,9,toastfadein,9,español,9,rotate-infinite,9,attacks,9,img,9,selected,9,day,9,also,9,none,9,fill,9,normal,9,protect,9,months,9,button,9,fade-in,9,volunteer,9,check,9,questions,9,zip,9,service,9,forms,9,fade-out,9,digital,9,contraception,9,may,9,book,8,campaigns,8,5
count7,https://www.plannedparenthood.org/health-center/north-carolina/winston-salem/27103/winston-salem-health-center-2845-90860,15,parenthood,269,planned,269,var,161,your,152,you,119,label,102,solid,97,this,86,health,86,instanceof,82,else,80,---,73,our,67,get,62,abortion,62,years,61,new,59,main,53,choose,51,care,49,about,45,search,45,services,42,seconds,41,ago,41,function,40,video,38,can,38,return,37,find,37,more,36,please,34,have,32,control,31,border-color,30,all,29,default,29,birth,29,contact,28,email,28,let,27,error,27,access,25,background,25,background-color,25,donate,24,learn,24,loading,23,when,23,navigation,23,center,22,form,22,out,22,"""spacer""",22,follow,22,opacity,22,field,21,research,21,south,21,action,21,toggle,21,color,20,sexual,20,how,20,information,20,gift,20,involved,19,policy,19,year,18,insurance,18,screen,18,does,17,state,17,sex,17,set,17,call,17,other,17,not,17,any,17,"""x-button-link-style""",16,donor,16,code,16,make,16,bans,15,select,15,data,15,add,15,off,15,online,15,infinite,15,atlantic,15,ease,15,use,15,north,14,development,14,senior,14,first,14,used,14,reproductive,14,what,14,vice,14,lever-fadein,14,name,14,only,14,affiliate,13,now,13,width,13,const,13,privacy,13,open,13,path,13,states,13,value,13,mail,13,help,13,mypostrender,12,advocacy,12,under,12,great,12,share,12,user,12,one,12,maplewood,12,chief,12,blog,12,federation,12,bodies,12,take,12,cart,11,see,11,method,11,officer,11,enter,11,appointment,11,available,11,want,11,rights,11,office,11,general,11,provider,11,membership,11,through,11,know,11,sign,10,target,10,patient,10,hide,10,participate,10,show,10,need,10,tax-deductible,10,checkbox,10,change,10,custom,10,products,10,give,10,grey,10,resharper,10,after,10,pregnancy,10,terms,10,resources,10,box-shadow,10,display,9,button,9,right,9,fill,9,closed,9,questions,9,rotate-infinite,9,forms,9,check,9,none,9,card,9,protect,9,also,9,digital,9,back,9,selected,9,toastfadein,9,normal,9,español,9,may,9,shimmer,9,fade-out,9,zip,9,volunteer,9,fade-in,9,lever-fadeout,9,attacks,9,left,9,lever-slidedown,9,lever-slideup,9,img,9,months,9,local,8,extent,8,people,8,just,8,they,8,6
count8,https://www.plannedparenthood.org/health-center/north-carolina/asheville/28801/asheville-health-center-4134-90860,15,parenthood,269,planned,269,var,161,your,154,you,127,label,102,solid,97,health,85,this,84,instanceof,82,else,80,---,73,our,67,get,62,abortion,61,years,61,new,58,main,53,choose,51,care,49,search,45,about,44,ago,41,seconds,41,services,41,function,40,can,39,video,38,return,37,find,37,more,35,have,34,please,34,control,33,all,30,birth,30,border-color,30,default,29,contact,28,email,28,error,27,let,27,access,25,background,25,background-color,25,donate,24,learn,24,loading,23,when,23,navigation,23,opacity,22,"""spacer""",22,form,22,follow,22,out,22,information,21,toggle,21,field,21,research,21,action,21,south,21,center,21,gift,20,color,20,sexual,20,how,20,policy,19,involved,19,insurance,18,make,18,call,18,screen,18,year,18,any,18,not,18,state,17,does,17,set,17,sex,17,"""x-button-link-style""",16,other,16,donor,16,code,16,off,15,infinite,15,data,15,add,15,select,15,atlantic,15,use,15,bans,15,first,15,online,15,ease,15,open,14,reproductive,14,lever-fadein,14,name,14,used,14,what,14,senior,14,vice,14,development,14,north,14,appointment,14,width,13,mail,13,privacy,13,now,13,const,13,value,13,states,13,help,13,only,13,see,13,affiliate,13,path,13,advocacy,12,share,12,take,12,user,12,great,12,federation,12,one,12,chief,12,blog,12,under,12,bodies,12,mypostrender,12,mcdowell,12,method,11,office,11,officer,11,provider,11,membership,11,need,11,enter,11,cart,11,after,11,know,11,pregnancy,11,want,11,rights,11,through,11,general,11,give,11,products,10,card,10,custom,10,resharper,10,terms,10,sign,10,change,10,participate,10,hide,10,checkbox,10,available,10,show,10,target,10,tax-deductible,10,grey,10,box-shadow,10,patient,10,resources,10,img,9,fade-in,9,day,9,button,9,selected,9,fade-out,9,questions,9,toastfadein,9,español,9,protect,9,check,9,months,9,shimmer,9,also,9,none,9,attacks,9,forms,9,digital,9,rotate-infinite,9,back,9,may,9,lever-fadeout,9,zip,9,display,9,contraception,9,lever-slideup,9,fill,9,normal,9,service,9,right,9,left,9,volunteer,9,lever-slidedown,9,google,8,extent,8,people,8,7
