,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6
0,'appropriate,0.0,0.0,0.0,3.0,0.0,3.0,0.0
1,'as,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2,'at,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,'congratulations,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,'end,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,'end',0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,'fake,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,'finding,0.0,0.0,0.0,9.0,0.0,8.0,0.0
8,'google,0.0,0.0,0.0,3.0,0.0,3.0,0.0
9,'government,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10,'in,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11,'initial',0.0,0.0,0.0,2.0,0.0,2.0,0.0
12,'localstorage',0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,'location,0.0,0.0,0.0,9.0,0.0,8.0,0.0
14,'many,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15,'mazel,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16,'microsoft,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,'mute',0.0,0.0,0.0,1.0,0.0,1.0,0.0
18,'my,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,'product,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20,'recipient,0.0,0.0,0.0,1.0,0.0,1.0,0.0
21,'script,0.0,0.0,0.0,2.0,0.0,2.0,0.0
22,'select,0.0,0.0,0.0,4.0,0.0,4.0,0.0
23,'select',0.0,0.0,0.0,4.0,0.0,4.0,0.0
24,'start,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,'thank,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26,'there,0.0,0.0,0.0,9.0,0.0,8.0,0.0
27,'thinking,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28,'timeoutdialog',0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,'true',0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,'undefined',0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,'use,0.0,0.0,0.0,11.0,0.0,10.0,0.0
32,ability,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,able,0.0,2.0,0.0,6.0,0.0,6.0,0.0
34,abnormal,0.0,2.0,0.0,1.0,0.0,1.0,0.0
35,abortion,0.0,6.0,0.0,103.0,0.0,95.0,0.0
36,abortions,0.0,0.0,0.0,5.0,0.0,5.0,0.0
37,abortion”,0.0,0.0,0.0,1.0,0.0,1.0,0.0
38,about,0.0,168.0,0.0,56.0,0.0,54.0,0.0
39,above,0.0,1.0,0.0,3.0,0.0,3.0,0.0
40,abstinence,0.0,0.0,0.0,2.0,0.0,2.0,0.0
41,abuse,0.0,0.0,0.0,1.0,0.0,1.0,0.0
42,academic,0.0,9.0,0.0,0.0,0.0,0.0,0.0
43,accept,0.0,1.0,0.0,3.0,0.0,3.0,0.0
44,accepted,0.0,0.0,0.0,1.0,0.0,1.0,0.0
45,access,0.0,43.0,0.0,42.0,0.0,37.0,0.0
46,accessible,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,accessing,0.0,1.0,0.0,1.0,0.0,0.0,0.0
48,accessories,0.0,0.0,0.0,1.0,0.0,1.0,0.0
49,accommodation,0.0,2.0,0.0,0.0,0.0,0.0,0.0
50,accompanied,0.0,0.0,0.0,1.0,0.0,1.0,0.0
51,accompany,0.0,0.0,0.0,1.0,0.0,1.0,0.0
52,account,0.0,1.0,0.0,8.0,0.0,7.0,0.0
53,accountable,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,accounts,0.0,0.0,0.0,1.0,0.0,1.0,0.0
55,accounttoggle,0.0,0.0,0.0,1.0,0.0,1.0,0.0
56,accreditation,0.0,6.0,0.0,0.0,0.0,0.0,0.0
57,accredited,0.0,9.0,0.0,0.0,0.0,0.0,0.0
58,accurate,0.0,2.0,0.0,15.0,0.0,13.0,0.0
59,acgme,0.0,3.0,0.0,0.0,0.0,0.0,0.0
60,ach,0.0,0.0,0.0,1.0,0.0,1.0,0.0
61,achievable,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,achieve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,achievement,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,acquisition,0.0,2.0,0.0,0.0,0.0,0.0,0.0
65,across,0.0,6.0,0.0,3.0,0.0,3.0,0.0
66,act,0.0,4.0,0.0,0.0,0.0,0.0,0.0
67,action,0.0,3.0,0.0,22.0,0.0,22.0,0.0
68,actions,0.0,1.0,0.0,1.0,0.0,1.0,0.0
69,actiontag,0.0,0.0,0.0,1.0,0.0,1.0,0.0
70,active,0.0,1.0,0.0,1.0,0.0,1.0,0.0
71,activiation,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,activists,0.0,0.0,0.0,2.0,0.0,2.0,0.0
73,activities,0.0,2.0,0.0,0.0,0.0,0.0,0.0
74,activity,0.0,1.0,0.0,5.0,0.0,5.0,0.0
75,adcreate,0.0,1.0,0.0,1.0,0.0,1.0,0.0
76,add,0.0,0.0,0.0,15.0,0.0,15.0,0.0
77,addition,0.0,2.0,0.0,0.0,0.0,0.0,0.0
78,additional,0.0,18.0,0.0,14.0,0.0,13.0,0.0
79,addms,0.0,0.0,0.0,1.0,0.0,1.0,0.0
80,address,0.0,5.0,0.0,10.0,0.0,10.0,0.0
81,addresses,0.0,0.0,0.0,2.0,0.0,2.0,0.0
82,addressing,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,adds,0.0,0.0,0.0,5.0,0.0,5.0,0.0
84,adhere,0.0,0.0,0.0,1.0,0.0,1.0,0.0
85,adjacent,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,administration,0.0,3.0,0.0,0.0,0.0,0.0,0.0
87,administrationnew,0.0,0.0,0.0,1.0,0.0,1.0,0.0
88,administrative,0.0,0.0,0.0,1.0,0.0,1.0,0.0
89,admission,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,ads,0.0,0.0,0.0,2.0,0.0,2.0,0.0
91,adult,0.0,5.0,0.0,1.0,0.0,1.0,0.0
92,adults,0.0,3.0,0.0,0.0,0.0,0.0,0.0
93,advance,0.0,2.0,0.0,2.0,0.0,2.0,0.0
94,advanced,0.0,22.0,0.0,1.0,0.0,1.0,0.0
95,advancement,0.0,2.0,0.0,0.0,0.0,0.0,0.0
96,advancementcontact,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,advancementone,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,advances,0.0,1.0,0.0,1.0,0.0,1.0,0.0
99,advancing,0.0,0.0,0.0,2.0,0.0,2.0,0.0
100,advantage,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101,advises,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,advisor,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,advocacy,0.0,1.0,0.0,12.0,0.0,12.0,0.0
104,advocate,0.0,0.0,0.0,1.0,0.0,1.0,0.0
105,aetna,0.0,0.0,0.0,1.0,0.0,1.0,0.0
106,aff,0.0,0.0,0.0,3.0,0.0,3.0,0.0
107,affect,0.0,5.0,0.0,0.0,0.0,0.0,0.0
108,affected,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109,affilate,0.0,0.0,0.0,2.0,0.0,2.0,0.0
110,affiliate,0.0,0.0,0.0,18.0,0.0,17.0,0.0
111,affiliatecode,0.0,0.0,0.0,2.0,0.0,2.0,0.0
112,affiliatecodelocation,0.0,0.0,0.0,1.0,0.0,1.0,0.0
113,affiliated,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114,affiliateid,0.0,0.0,0.0,4.0,0.0,4.0,0.0
115,affiliation,0.0,0.0,0.0,1.0,0.0,1.0,0.0
116,affirming,0.0,0.0,0.0,1.0,0.0,1.0,0.0
117,affordable,0.0,0.0,0.0,7.0,0.0,7.0,0.0
118,africa,0.0,1.0,0.0,1.0,0.0,1.0,0.0
119,after,0.0,10.0,0.0,19.0,0.0,19.0,0.0
120,again,0.0,1.0,0.0,2.0,0.0,2.0,0.0
121,against,0.0,2.0,0.0,2.0,0.0,3.0,0.0
122,age,0.0,3.0,0.0,30.0,0.0,26.0,0.0
123,agent,0.0,242.0,0.0,10.0,0.0,9.0,0.0
124,aging,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125,ago,0.0,73.0,0.0,41.0,0.0,41.0,0.0
126,agree,0.0,1.0,0.0,1.0,0.0,1.0,0.0
127,agreed,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,aid,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,aim,0.0,3.0,0.0,0.0,0.0,0.0,0.0
130,aims,0.0,1.0,0.0,0.0,0.0,0.0,0.0
131,albania,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132,alerts,0.0,0.0,0.0,2.0,0.0,2.0,0.0
133,alice,0.0,8.0,0.0,0.0,0.0,0.0,0.0
134,alien,0.0,0.0,0.0,1.0,0.0,1.0,0.0
135,all,0.0,79.0,0.0,59.0,0.0,54.0,0.0
136,alliyah,0.0,1.0,0.0,0.0,0.0,0.0,0.0
137,allow,0.0,4.0,0.0,2.0,0.0,2.0,0.0
138,allowable,0.0,1.0,0.0,6.0,0.0,6.0,0.0
139,allowed,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,allowing,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,allows,0.0,2.0,0.0,7.0,0.0,7.0,0.0
142,almost,0.0,2.0,0.0,0.0,0.0,0.0,0.0
143,along,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144,already,0.0,2.0,0.0,1.0,0.0,1.0,0.0
145,also,0.0,10.0,0.0,10.0,0.0,10.0,0.0
146,alumni,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,always,0.0,0.0,0.0,9.0,0.0,9.0,0.0
148,amanda’s,0.0,2.0,0.0,0.0,0.0,0.0,0.0
149,amazing,0.0,1.0,0.0,1.0,0.0,1.0,0.0
150,ambassador,0.0,2.0,0.0,0.0,0.0,0.0,0.0
151,ambulatory,0.0,1.0,0.0,0.0,0.0,0.0,0.0
152,america,0.0,0.0,0.0,6.0,0.0,6.0,0.0
153,america's,0.0,0.0,0.0,2.0,0.0,2.0,0.0
154,american,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,americans,0.0,1.0,0.0,0.0,0.0,0.0,0.0
156,america’s,0.0,0.0,0.0,6.0,0.0,5.0,0.0
157,among,0.0,3.0,0.0,0.0,0.0,0.0,0.0
158,amount,0.0,0.0,0.0,4.0,0.0,4.0,0.0
159,amounts,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160,analystnyc,0.0,0.0,0.0,1.0,0.0,1.0,0.0
161,analytics,0.0,0.0,0.0,2.0,0.0,5.0,0.0
162,analyze,0.0,2.0,0.0,0.0,0.0,0.0,0.0
163,anatomy,0.0,0.0,0.0,2.0,0.0,2.0,0.0
164,anguilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0
165,anillo,0.0,0.0,0.0,2.0,0.0,2.0,0.0
166,anniversary,0.0,3.0,0.0,0.0,0.0,0.0,0.0
167,announce,0.0,0.0,0.0,1.0,0.0,0.0,0.0
168,annual,0.0,5.0,0.0,4.0,0.0,4.0,0.0
169,annually,0.0,1.0,0.0,0.0,0.0,0.0,0.0
170,anonymize,0.0,0.0,0.0,0.0,0.0,1.0,0.0
171,anonymous,0.0,0.0,0.0,2.0,0.0,2.0,0.0
172,anonymously,0.0,1.0,0.0,0.0,0.0,0.0,0.0
173,another,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,answer,0.0,2.0,0.0,2.0,0.0,2.0,0.0
175,answering,0.0,2.0,0.0,2.0,0.0,2.0,0.0
176,answers,0.0,3.0,0.0,4.0,0.0,4.0,0.0
177,anthem,0.0,0.0,0.0,1.0,0.0,1.0,0.0
178,anticonceptivo,0.0,0.0,0.0,1.0,0.0,1.0,0.0
179,anxiety,0.0,2.0,0.0,0.0,0.0,0.0,0.0
180,any,0.0,13.0,0.0,33.0,0.0,31.0,0.0
181,anyone,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182,anything,0.0,1.0,0.0,1.0,0.0,1.0,0.0
183,anyway,0.0,1.0,0.0,0.0,0.0,0.0,0.0
184,anywhere,0.0,2.0,0.0,1.0,0.0,0.0,0.0
185,api,0.0,0.0,0.0,1.0,0.0,1.0,0.0
186,apis,0.0,23.0,0.0,0.0,0.0,0.0,0.0
187,apologize,0.0,0.0,0.0,0.0,0.0,1.0,0.0
188,app,0.0,0.0,0.0,10.0,0.0,7.0,0.0
189,apparel,0.0,0.0,0.0,1.0,0.0,1.0,0.0
190,appeal,0.0,1.0,0.0,0.0,0.0,0.0,0.0
191,appear,0.0,1.0,0.0,2.0,0.0,2.0,0.0
192,appends,0.0,0.0,0.0,2.0,0.0,2.0,0.0
193,applicant,0.0,0.0,0.0,1.0,0.0,1.0,0.0
194,applicant's,0.0,1.0,0.0,0.0,0.0,0.0,0.0
195,applicants,0.0,34.0,0.0,0.0,0.0,0.0,0.0
196,application,0.0,23.0,0.0,0.0,0.0,0.0,0.0
197,applications,0.0,3.0,0.0,0.0,0.0,0.0,0.0
198,applied,0.0,0.0,0.0,1.0,0.0,1.0,0.0
199,apply,0.0,13.0,0.0,2.0,0.0,2.0,0.0
200,appointment,0.0,2.0,0.0,34.0,0.0,32.0,0.0
201,appointments,0.0,24.0,0.0,3.0,0.0,2.0,0.0
202,appreciate,0.0,2.0,0.0,0.0,0.0,0.0,0.0
203,appreciation,0.0,1.0,0.0,0.0,0.0,0.0,0.0
204,appropriate,0.0,1.0,0.0,0.0,0.0,0.0,0.0
205,approved,0.0,1.0,0.0,0.0,0.0,0.0,0.0
206,arabia,0.0,1.0,0.0,0.0,0.0,0.0,0.0
207,archived,0.0,0.0,0.0,1.0,0.0,1.0,0.0
208,area,0.0,6.0,0.0,1.0,0.0,1.0,0.0
209,areas,0.0,2.0,0.0,0.0,0.0,0.0,0.0
210,argentina,0.0,1.0,0.0,0.0,0.0,0.0,0.0
211,arm,0.0,0.0,0.0,3.0,0.0,3.0,0.0
212,around,0.0,6.0,0.0,0.0,0.0,0.0,0.0
213,arrange,0.0,0.0,0.0,2.0,0.0,2.0,0.0
214,arrangements,0.0,0.0,0.0,1.0,0.0,1.0,0.0
215,array,0.0,0.0,0.0,5.0,0.0,5.0,0.0
216,arrive,0.0,0.0,0.0,1.0,0.0,1.0,0.0
217,arrow,0.0,2.0,0.0,6.0,0.0,6.0,0.0
218,art,0.0,2.0,0.0,1.0,0.0,1.0,0.0
219,artistic,0.0,1.0,0.0,0.0,0.0,0.0,0.0
220,arts,0.0,6.0,0.0,0.0,0.0,0.0,0.0
221,aruba,0.0,1.0,0.0,0.0,0.0,0.0,0.0
222,ascutney,0.0,8.0,0.0,0.0,0.0,0.0,0.0
223,ask,0.0,6.0,0.0,8.0,0.0,7.0,0.0
224,asked,0.0,11.0,0.0,5.0,0.0,5.0,0.0
225,aspects,0.0,4.0,0.0,0.0,0.0,0.0,0.0
226,assault,0.0,0.0,0.0,6.0,0.0,6.0,0.0
227,assess,0.0,1.0,0.0,0.0,0.0,0.0,0.0
228,assessment,0.0,1.0,0.0,0.0,0.0,1.0,0.0
229,assets,0.0,1.0,0.0,0.0,0.0,0.0,0.0
230,assistance,0.0,10.0,0.0,16.0,0.0,16.0,0.0
231,assists,0.0,1.0,0.0,0.0,0.0,0.0,0.0
232,assoc,0.0,0.0,0.0,2.0,0.0,2.0,0.0
233,associated,0.0,9.0,0.0,0.0,0.0,0.0,0.0
234,asterisks,0.0,1.0,0.0,0.0,0.0,0.0,0.0
235,asynchronous,0.0,1.0,0.0,0.0,0.0,0.0,0.0
236,atlantic,0.0,0.0,0.0,5.0,0.0,5.0,0.0
237,atmosphere,0.0,3.0,0.0,0.0,0.0,0.0,0.0
238,attack,0.0,2.0,0.0,2.0,0.0,2.0,0.0
239,attacks,0.0,0.0,0.0,9.0,0.0,9.0,0.0
240,attend,0.0,1.0,0.0,0.0,0.0,0.0,0.0
241,attending,0.0,1.0,0.0,1.0,0.0,1.0,0.0
242,attends,0.0,1.0,0.0,0.0,0.0,0.0,0.0
243,attention,0.0,1.0,0.0,0.0,0.0,0.0,0.0
244,attorney,0.0,1.0,0.0,0.0,0.0,0.0,0.0
245,attorneynyc,0.0,0.0,0.0,1.0,0.0,1.0,0.0
246,attract,0.0,1.0,0.0,0.0,0.0,0.0,0.0
247,attracts,0.0,1.0,0.0,0.0,0.0,0.0,0.0
248,attribute,0.0,23.0,0.0,0.0,0.0,0.0,0.0
249,attributefilter,0.0,0.0,0.0,1.0,0.0,1.0,0.0
250,attributes,0.0,0.0,0.0,1.0,0.0,1.0,0.0
251,audiotapes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
252,australia,0.0,1.0,0.0,0.0,0.0,0.0,0.0
253,austria,0.0,1.0,0.0,0.0,0.0,0.0,0.0
254,auth,0.0,0.0,0.0,2.0,0.0,2.0,0.0
255,authorized,0.0,2.0,0.0,0.0,0.0,0.0,0.0
256,auto,0.0,0.0,0.0,2.0,0.0,2.0,0.0
257,autofocus,0.0,0.0,0.0,1.0,0.0,1.0,0.0
258,automatic,0.0,0.0,0.0,2.0,0.0,2.0,0.0
259,autopopulate,0.0,0.0,0.0,17.0,0.0,15.0,0.0
260,availability,0.0,1.0,0.0,0.0,0.0,0.0,0.0
261,available,0.0,12.0,0.0,20.0,0.0,16.0,0.0
262,aviso,0.0,1.0,0.0,0.0,0.0,0.0,0.0
263,aware,0.0,1.0,0.0,0.0,0.0,0.0,0.0
264,away,0.0,1.0,0.0,0.0,0.0,0.0,0.0
265,ayudarte,0.0,0.0,0.0,1.0,0.0,1.0,0.0
266,baby,0.0,2.0,0.0,0.0,0.0,0.0,0.0
267,babysitting,0.0,1.0,0.0,0.0,0.0,0.0,0.0
268,back,0.0,4.0,0.0,30.0,0.0,26.0,0.0
269,background,0.0,1.0,0.0,25.0,0.0,25.0,0.0
270,bad,0.0,0.0,0.0,2.0,0.0,2.0,0.0
271,badges,0.0,2.0,0.0,0.0,0.0,0.0,0.0
272,badword,0.0,0.0,0.0,3.0,0.0,3.0,0.0
273,badwordfilter,0.0,0.0,0.0,1.0,0.0,1.0,0.0
274,badwords,0.0,0.0,0.0,1.0,0.0,1.0,0.0
275,bahamas,0.0,1.0,0.0,0.0,0.0,0.0,0.0
276,balances,0.0,0.0,0.0,2.0,0.0,2.0,0.0
277,ban,0.0,0.0,0.0,3.0,0.0,3.0,0.0
278,bangladesh,0.0,1.0,0.0,0.0,0.0,0.0,0.0
279,bank,0.0,1.0,0.0,2.0,0.0,2.0,0.0
280,bans,0.0,0.0,0.0,15.0,0.0,15.0,0.0
281,barbados,0.0,1.0,0.0,0.0,0.0,0.0,0.0
282,barcode,0.0,1.0,0.0,0.0,0.0,0.0,0.0
283,basados,0.0,0.0,0.0,2.0,0.0,2.0,0.0
284,based,0.0,5.0,0.0,4.0,0.0,4.0,0.0
285,basic,0.0,1.0,0.0,4.0,0.0,4.0,0.0
286,basis,0.0,1.0,0.0,0.0,0.0,0.0,0.0
287,basta,0.0,0.0,0.0,1.0,0.0,1.0,0.0
288,battle,0.0,2.0,0.0,0.0,0.0,0.0,0.0
289,bbpage,0.0,1.0,0.0,0.0,0.0,0.0,0.0
290,because,0.0,1.0,0.0,1.0,0.0,1.0,0.0
291,become,0.0,6.0,0.0,3.0,0.0,3.0,0.0
292,becomes,0.0,0.0,0.0,2.0,0.0,2.0,0.0
293,bedford,0.0,10.0,0.0,0.0,0.0,0.0,0.0
294,been,0.0,27.0,0.0,6.0,0.0,5.0,0.0
295,before,0.0,6.0,0.0,5.0,0.0,5.0,0.0
296,begin,0.0,1.0,0.0,0.0,0.0,0.0,0.0
297,beginning,0.0,1.0,0.0,0.0,0.0,0.0,0.0
298,begins,0.0,1.0,0.0,0.0,0.0,0.0,0.0
299,behalf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
300,behave,0.0,1.0,0.0,0.0,0.0,0.0,0.0
301,behavior,0.0,2.0,0.0,0.0,0.0,0.0,0.0
302,behavioral,0.0,5.0,0.0,0.0,0.0,0.0,0.0
303,being,0.0,4.0,0.0,6.0,0.0,6.0,0.0
304,belgium,0.0,1.0,0.0,0.0,0.0,0.0,0.0
305,believe,0.0,3.0,0.0,0.0,0.0,0.0,0.0
306,belonging,0.0,24.0,0.0,0.0,0.0,0.0,0.0
307,below,0.0,3.0,0.0,3.0,0.0,3.0,0.0
308,benefit,0.0,3.0,0.0,2.0,0.0,2.0,0.0
309,benefits,0.0,83.0,0.0,1.0,0.0,1.0,0.0
310,bennington,0.0,1.0,0.0,0.0,0.0,0.0,0.0
311,bequia,0.0,1.0,0.0,0.0,0.0,0.0,0.0
312,bermuda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
313,best,0.0,16.0,0.0,2.0,0.0,2.0,0.0
314,better,0.0,5.0,0.0,0.0,0.0,0.0,0.0
315,between,0.0,3.0,0.0,1.0,0.0,1.0,0.0
316,beyond,0.0,2.0,0.0,0.0,0.0,0.0,0.0
317,bill,0.0,1.0,0.0,4.0,0.0,4.0,0.0
318,billed,0.0,1.0,0.0,1.0,0.0,1.0,0.0
319,billing,0.0,23.0,0.0,4.0,0.0,4.0,0.0
320,bills,0.0,1.0,0.0,1.0,0.0,1.0,0.0
321,bind,0.0,0.0,0.0,1.0,0.0,1.0,0.0
322,birth,0.0,1.0,0.0,68.0,0.0,66.0,0.0
323,bivalent,0.0,2.0,0.0,0.0,0.0,0.0,0.0
324,black,0.0,0.0,0.0,1.0,0.0,1.0,0.0
325,block,0.0,0.0,0.0,5.0,0.0,5.0,0.0
326,blog,0.0,0.0,0.0,12.0,0.0,12.0,0.0
327,blood,0.0,4.0,0.0,0.0,0.0,0.0,0.0
328,blue,0.0,0.0,0.0,6.0,0.0,5.0,0.0
329,bluemail,0.0,0.0,0.0,29.0,0.0,29.0,0.0
330,blur,0.0,0.0,0.0,1.0,0.0,1.0,0.0
331,board,0.0,8.0,0.0,0.0,0.0,0.0,0.0
332,bodies,0.0,0.0,0.0,12.0,0.0,12.0,0.0
333,body,0.0,1.0,0.0,2.0,0.0,2.0,0.0
334,bogus,0.0,0.0,0.0,1.0,0.0,1.0,0.0
335,bold,0.0,0.0,0.0,0.0,0.0,1.0,0.0
336,bolivia,0.0,1.0,0.0,0.0,0.0,0.0,0.0
337,bond,0.0,1.0,0.0,0.0,0.0,0.0,0.0
338,book,0.0,0.0,0.0,23.0,0.0,20.0,0.0
339,books,0.0,1.0,0.0,0.0,0.0,0.0,0.0
340,border,0.0,1.0,0.0,0.0,0.0,0.0,0.0
341,both,0.0,2.0,0.0,3.0,0.0,3.0,0.0
342,bothinfo,0.0,0.0,0.0,1.0,0.0,1.0,0.0
343,botswana,0.0,1.0,0.0,0.0,0.0,0.0,0.0
344,bottom,0.0,2.0,0.0,1.0,0.0,1.0,0.0
345,boundaries,0.0,2.0,0.0,0.0,0.0,0.0,0.0
346,boutique,0.0,2.0,0.0,0.0,0.0,0.0,0.0
347,box,0.0,0.0,0.0,2.0,0.0,2.0,0.0
348,brain,0.0,1.0,0.0,0.0,0.0,0.0,0.0
349,branches,0.0,1.0,0.0,0.0,0.0,0.0,0.0
350,brand,0.0,0.0,0.0,1.0,0.0,1.0,0.0
351,brazil,0.0,1.0,0.0,0.0,0.0,0.0,0.0
352,breadcrumb,0.0,17.0,0.0,0.0,0.0,0.0,0.0
353,breaking,0.0,2.0,0.0,1.0,0.0,1.0,0.0
354,breast,0.0,3.0,0.0,1.0,0.0,1.0,0.0
355,briefly,0.0,1.0,0.0,0.0,0.0,0.0,0.0
356,bright,0.0,2.0,0.0,0.0,0.0,0.0,0.0
357,bring,0.0,1.0,0.0,3.0,0.0,3.0,0.0
358,brings,0.0,0.0,0.0,2.0,0.0,2.0,0.0
359,british,0.0,1.0,0.0,0.0,0.0,0.0,0.0
360,broad,0.0,3.0,0.0,0.0,0.0,0.0,0.0
361,broader,0.0,2.0,0.0,0.0,0.0,0.0,0.0
362,broke,0.0,0.0,0.0,1.0,0.0,1.0,0.0
