index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center/new-jersey/shrewsbury/07702/shrewsbury-center-3510-90900?utm_campaign=shrewsbury-health-center&utm_medium=organic&utm_source=local-listing,14,planned,271,parenthood,269,your,153,var,134,you,119,label,102,solid,96,health,96,this,87,our,78,---,73,else,72,instanceof,68,new,67,years,61,get,57,main,53,choose,51,care,48,abortion,47,about,46,can,46,search,45,more,43,ago,41,seconds,41,services,39,video,38,function,36,have,35,please,34,return,33,control,31,find,31,border-color,30,contact,30,default,29,birth,28,let,27,email,27,all,27,error,26,learn,26,donate,25,display,25,background,25,background-color,25,follow,24,sexual,24,information,24,center,23,access,23,loading,23,when,22,action,22,form,22,opacity,22,out,22,navigation,22,field,21,research,21,insurance,21,call,21,toggle,21,how,20,color,20,gift,20,policy,19,involved,19,through,18,year,18,sex,18,other,18,does,18,screen,18,reproductive,17,set,17,central,17,any,16,donor,16,code,16,state,16,appointment,16,open,15,infinite,15,off,15,ease,15,add,15,online,15,data,15,not,15,bans,15,southern,14,value,14,lever-fadein,14,use,14,help,14,only,14,name,14,what,14,vice,14,used,14,make,14,now,14,first,14,senior,14,affiliate,13,take,13,path,13,mail,13,development,13,federation,13,const,13,privacy,13,bodies,12,mypostrender,12,chief,12,want,12,great,12,select,12,know,12,user,12,springs,12,north,12,under,12,advocacy,12,share,12,newman,12,blog,12,cart,11,office,11,volunteer,11,membership,11,see,11,service,11,one,11,available,11,general,11,provider,11,right,11,officer,11,may,11,circle,11,terms,10,participate,10,hide,10,custom,10,states,10,checkbox,10,resharper,10,method,10,who,10,box-shadow,10,normal,10,rights,10,target,10,people,10,products,10,also,10,change,10,top,10,after,10,enter,10,show,10,tax-deductible,10,none,9,need,9,months,9,digital,9,pregnancy,9,button,9,shimmer,9,selected,9,attacks,9,lever-slideup,9,back,9,rotate-infinite,9,left,9,fade-out,9,fade-in,9,fill,9,lever-fadeout,9,give,9,language,9,img,9,lever-slidedown,9,card,9,local,9,questions,9,forms,9,toastfadein,9,zip,9,time,9,check,9,resources,9,"""dont""",8,federal,8,while,8,sign,8,question,8,1
count10,https://www.plannedparenthood.org/health-center/new-jersey/perth-amboy/08861/perth-amboy-center-3053-90900,13,planned,271,parenthood,269,your,151,var,129,you,117,label,102,solid,96,health,92,this,86,our,76,---,73,else,72,instanceof,68,new,66,years,61,get,57,main,53,choose,51,abortion,47,care,47,about,45,search,45,can,44,more,41,seconds,41,ago,41,video,38,services,38,have,34,please,34,return,33,function,33,find,31,control,31,border-color,30,contact,30,default,29,birth,28,email,27,let,27,learn,26,all,26,error,26,display,25,background,25,donate,25,background-color,25,information,24,follow,24,sexual,24,loading,23,access,23,center,22,out,22,action,22,form,22,when,22,navigation,22,opacity,22,toggle,21,insurance,21,research,21,field,21,how,20,call,20,color,20,gift,20,involved,19,policy,19,sex,18,through,18,screen,18,does,18,year,18,central,17,reproductive,17,any,16,state,16,set,16,donor,16,other,16,code,16,off,15,infinite,15,add,15,ease,15,perth,15,bans,15,data,15,not,15,value,14,help,14,used,14,use,14,vice,14,appointment,14,only,14,what,14,open,14,make,14,lever-fadein,14,senior,14,first,14,southern,14,mail,13,federation,13,now,13,path,13,privacy,13,affiliate,13,take,13,development,13,market,13,name,13,const,13,online,12,want,12,blog,12,advocacy,12,under,12,know,12,bodies,12,chief,12,share,12,mypostrender,12,user,12,north,12,great,12,volunteer,11,may,11,right,11,cart,11,select,11,general,11,provider,11,circle,11,office,11,officer,11,one,11,membership,11,available,10,states,10,rights,10,show,10,terms,10,products,10,service,10,method,10,hide,10,participate,10,who,10,resharper,10,tax-deductible,10,target,10,after,10,people,10,see,10,also,10,custom,10,normal,10,enter,10,checkbox,10,change,10,box-shadow,10,resources,9,pregnancy,9,back,9,none,9,shimmer,9,attacks,9,months,9,selected,9,img,9,give,9,need,9,questions,9,button,9,top,9,local,9,toastfadein,9,zip,9,fill,9,card,9,lever-slideup,9,lever-slidedown,9,check,9,digital,9,left,9,fade-out,9,forms,9,lever-fadeout,9,fade-in,9,rotate-infinite,9,data-close,8,app,8,fullest,8,always,8,just,8,while,8,link,8,10
count11,https://www.pilgrimmed.com/,25,abortion,513,your,461,you,437,medical,326,our,190,pilgrim,184,new,161,center,152,function,151,surgical,147,auto,138,this,131,more,130,patient,118,var,116,have,114,information,112,may,111,can,105,care,96,about,96,learn,92,health,90,not,84,all,76,pill,75,bloomfield,75,services,72,what,70,none,69,request,69,appointment,67,doctor,60,after,55,policy,55,return,55,who,52,any,52,use,51,need,50,how,48,most,48,early,47,clinic,46,also,46,jersey,46,before,45,get,45,procedure,45,notifications,45,when,42,some,39,youâre,38,make,38,right,37,patients,37,they,36,feel,36,help,36,like,36,pregnancy,36,other,36,one,35,privacy,35,free,34,there,33,payment,33,during,33,but,33,which,32,rights,32,dean,32,than,32,file,31,forms,31,contact,31,required,31,should,30,âthe,30,state,30,else,30,gyn,29,experience,29,women,29,very,28,made,28,day,28,read,27,people,27,take,27,first,27,cookie,26,doing,26,ask,25,say,25,blog,25,disclose,25,faqs,25,insurance,25,javascript,24,licensed,24,website,24,out,23,auto-generated,23,translator,23,info,23,financial,23,direct,23,gtranslate,23,inline,23,date,23,directions,22,aebi,22,seemed,22,knew,22,calf,22,youâll,22,trusted,22,according,21,want,21,their,21,imershein,20,prepare,20,abortions,20,family,20,performed,20,please,20,through,20,birth,19,keep,19,having,19,must,18,risk,18,she,18,expect,18,provide,18,depending,18,time,17,support,17,much,17,access,17,blood,16,weeks,16,hours,16,friend,16,treatment,16,over,16,offer,16,might,16,based,16,itâs,16,her,15,sure,15,because,15,someone,15,home,15,days,15,choose,15,second,15,number,14,where,14,facility,14,procedures,14,only,14,two,14,bleeding,14,board,14,special,14,been,14,into,14,used,14,include,14,medication,14,these,14,every,14,under,13,includes,13,office,13,necessary,13,whether,13,notice,13,done,13,visit,13,while,13,important,13,safe,13,certified,13,surgery,13,national,12,staff,12,counseling,12,decisions,12,states,12,trimester,12,along,12,thatâs,12,find,12,receive,12,own,12,share,11,11
count12,https://www.plannedparenthood.org/health-center/new-jersey/flemington/08822/flemington-health-center-2596-90900,14,planned,271,parenthood,269,your,155,var,134,you,123,health,103,label,102,solid,96,this,87,our,79,---,73,else,72,instanceof,68,new,67,years,61,get,57,main,53,care,51,choose,51,abortion,47,can,47,about,46,search,45,more,44,ago,41,seconds,41,services,40,video,38,function,36,please,35,have,33,return,33,control,31,find,31,border-color,30,contact,30,default,29,all,28,birth,28,let,27,email,27,error,26,learn,26,background,25,information,25,display,25,background-color,25,donate,25,follow,24,sexual,24,center,23,access,23,loading,23,opacity,22,out,22,call,22,when,22,action,22,navigation,22,form,22,how,21,insurance,21,toggle,21,field,21,research,21,color,20,gift,20,involved,19,policy,19,screen,18,year,18,sex,18,does,18,through,18,other,17,central,17,set,17,reproductive,17,state,16,any,16,appointment,16,code,16,donor,16,open,15,data,15,online,15,off,15,infinite,15,first,15,add,15,ease,15,bans,15,what,14,southern,14,now,14,vice,14,lever-fadein,14,use,14,only,14,make,14,senior,14,not,14,used,14,name,14,help,14,value,14,take,13,development,13,privacy,13,const,13,mail,13,affiliate,13,federation,13,path,13,advocacy,12,available,12,mypostrender,12,great,12,blog,12,select,12,know,12,north,12,user,12,want,12,share,12,under,12,chief,12,bodies,12,need,11,service,11,office,11,circle,11,volunteer,11,after,11,see,11,cart,11,one,11,general,11,membership,11,may,11,right,11,provider,11,officer,11,rights,10,top,10,participate,10,who,10,box-shadow,10,hide,10,target,10,show,10,change,10,resharper,10,tax-deductible,10,custom,10,products,10,checkbox,10,states,10,method,10,also,10,resources,10,normal,10,terms,10,enter,10,selected,9,give,9,digital,9,rotate-infinite,9,pregnancy,9,months,9,zip,9,forms,9,lever-fadeout,9,lever-slidedown,9,toastfadein,9,lever-slideup,9,shimmer,9,people,9,button,9,questions,9,left,9,fade-in,9,local,9,img,9,none,9,fade-out,9,card,9,check,9,language,9,fill,9,attacks,9,back,9,schedule,8,prevent,8,extent,8,protect,8,campaigns,8,pregnant,8,just,8,"""dont""",8,12
count13,https://www.plannedparenthood.org/health-center/new-jersey/camden/08103/camden-center-3312-90900,13,planned,271,parenthood,269,your,154,var,129,you,121,label,102,health,98,solid,96,this,87,our,79,---,73,else,72,instanceof,68,new,66,years,61,get,57,main,53,choose,51,care,51,abortion,47,about,46,search,45,can,45,more,44,seconds,41,ago,41,services,39,video,38,please,35,return,33,have,33,function,33,find,31,control,31,border-color,30,contact,30,default,29,birth,28,all,27,email,27,let,27,learn,26,error,26,information,25,display,25,background,25,background-color,25,donate,25,sexual,24,follow,24,access,23,center,23,loading,23,form,22,opacity,22,out,22,action,22,when,22,call,22,navigation,22,insurance,21,research,21,how,21,field,21,toggle,21,color,20,gift,20,policy,19,involved,19,does,18,screen,18,sex,18,year,18,through,18,reproductive,17,central,17,donor,16,state,16,other,16,code,16,any,16,set,16,ease,15,open,15,add,15,bans,15,data,15,infinite,15,off,15,first,15,used,14,use,14,what,14,senior,14,now,14,not,14,southern,14,lever-fadein,14,appointment,14,make,14,value,14,help,14,vice,14,only,14,path,13,development,13,available,13,federation,13,const,13,affiliate,13,privacy,13,name,13,take,13,mail,13,advocacy,12,great,12,user,12,north,12,under,12,online,12,bodies,12,know,12,share,12,want,12,chief,12,blog,12,mypostrender,12,after,11,one,11,provider,11,cart,11,officer,11,volunteer,11,circle,11,service,11,right,11,see,11,office,11,need,11,membership,11,select,11,may,11,general,11,who,10,enter,10,normal,10,terms,10,top,10,show,10,method,10,box-shadow,10,resources,10,checkbox,10,states,10,target,10,change,10,products,10,tax-deductible,10,rights,10,resharper,10,custom,10,also,10,participate,10,hide,10,lever-slideup,9,selected,9,left,9,toastfadein,9,months,9,lever-slidedown,9,lever-fadeout,9,digital,9,attacks,9,check,9,pregnancy,9,shimmer,9,back,9,people,9,questions,9,forms,9,local,9,give,9,img,9,button,9,rotate-infinite,9,fade-in,9,fade-out,9,card,9,none,9,zip,9,fill,9,span,8,question,8,link,8,hollow,8,just,8,jobs,8,"""of""",8,extent,8,ppfa,8,13
count14,https://www.plannedparenthood.org/health-center/new-jersey/elizabeth/07201/elizabeth-health-center-2599-90900,13,planned,271,parenthood,269,your,154,var,129,you,121,health,103,label,102,solid,96,this,87,our,79,---,73,else,72,instanceof,68,new,66,years,61,get,57,main,53,choose,51,care,51,abortion,47,about,46,search,45,can,45,more,44,seconds,41,ago,41,services,39,video,38,please,35,have,33,return,33,function,33,control,31,find,31,border-color,30,contact,30,default,29,birth,28,email,27,all,27,let,27,error,26,learn,26,background-color,25,background,25,donate,25,information,25,display,25,follow,24,sexual,24,access,23,loading,23,center,23,when,22,form,22,call,22,action,22,opacity,22,navigation,22,out,22,toggle,21,research,21,how,21,insurance,21,field,21,color,20,gift,20,policy,19,involved,19,screen,18,sex,18,through,18,year,18,does,18,central,17,reproductive,17,other,16,code,16,set,16,any,16,state,16,donor,16,ease,15,infinite,15,data,15,elizabeth,15,add,15,first,15,off,15,bans,15,open,15,used,14,lever-fadein,14,southern,14,make,14,senior,14,now,14,only,14,use,14,what,14,value,14,vice,14,appointment,14,help,14,not,14,const,13,mail,13,federation,13,privacy,13,name,13,take,13,affiliate,13,path,13,development,13,blog,12,user,12,great,12,advocacy,12,know,12,want,12,mypostrender,12,bodies,12,available,12,chief,12,north,12,under,12,online,12,share,12,cart,11,one,11,general,11,service,11,select,11,may,11,circle,11,volunteer,11,see,11,provider,11,officer,11,after,11,membership,11,need,11,right,11,office,11,target,10,checkbox,10,normal,10,custom,10,top,10,enter,10,box-shadow,10,states,10,change,10,who,10,resources,10,show,10,tax-deductible,10,products,10,resharper,10,also,10,hide,10,method,10,terms,10,rights,10,participate,10,questions,9,selected,9,card,9,button,9,give,9,shimmer,9,months,9,pregnancy,9,digital,9,local,9,none,9,fill,9,toastfadein,9,people,9,rotate-infinite,9,img,9,fade-in,9,fade-out,9,attacks,9,check,9,left,9,forms,9,lever-fadeout,9,lever-slidedown,9,lever-slideup,9,back,9,zip,9,shop,8,"""dont""",8,most,8,pregnant,8,extent,8,read,8,campaigns,8,google,8,14
count15,https://www.plannedparenthood.org/health-center/new-jersey/hackensack/07601/hackensack-health-center-2947-90900,14,planned,271,parenthood,269,your,155,var,134,you,123,health,103,label,102,solid,96,this,87,our,79,---,73,else,72,instanceof,68,new,67,main,65,years,61,get,57,care,51,choose,51,can,47,abortion,47,about,46,search,45,more,44,seconds,41,ago,41,services,40,video,38,function,36,please,35,have,33,return,33,control,31,find,31,contact,30,border-color,30,default,29,all,28,birth,28,email,27,let,27,learn,26,error,26,information,25,donate,25,display,25,background,25,background-color,25,follow,24,sexual,24,center,23,loading,23,access,23,action,22,navigation,22,when,22,call,22,opacity,22,out,22,form,22,research,21,how,21,insurance,21,field,21,toggle,21,color,20,gift,20,involved,19,policy,19,does,18,screen,18,year,18,sex,18,through,18,central,17,set,17,reproductive,17,other,17,appointment,16,donor,16,any,16,state,16,code,16,ease,15,bans,15,data,15,off,15,add,15,open,15,first,15,online,15,infinite,15,southern,14,what,14,only,14,not,14,vice,14,value,14,lever-fadein,14,now,14,name,14,make,14,used,14,help,14,use,14,senior,14,privacy,13,affiliate,13,path,13,development,13,federation,13,mail,13,const,13,take,13,chief,12,available,12,north,12,user,12,blog,12,under,12,great,12,share,12,select,12,bodies,12,mypostrender,12,want,12,know,12,advocacy,12,see,11,right,11,volunteer,11,service,11,circle,11,provider,11,cart,11,office,11,membership,11,after,11,general,11,one,11,need,11,may,11,officer,11,checkbox,10,enter,10,terms,10,method,10,change,10,target,10,products,10,custom,10,normal,10,also,10,hide,10,tax-deductible,10,top,10,participate,10,resources,10,box-shadow,10,states,10,rights,10,resharper,10,who,10,show,10,left,9,months,9,shimmer,9,img,9,zip,9,card,9,button,9,digital,9,language,9,fill,9,give,9,none,9,back,9,toastfadein,9,rotate-infinite,9,fade-out,9,attacks,9,forms,9,fade-in,9,questions,9,lever-fadeout,9,lever-slidedown,9,check,9,selected,9,lever-slideup,9,local,9,pregnancy,9,people,9,schedule,8,federal,8,while,8,protect,8,always,8,campaigns,8,sign,8,prevent,8,15
count16,https://www.plannedparenthood.org/health-center/new-jersey/trenton/08608/trenton-health-center-3304-90900,13,planned,271,parenthood,269,your,153,var,129,you,117,label,102,health,101,solid,96,this,87,our,78,---,73,else,72,instanceof,68,new,66,years,61,get,57,main,53,choose,51,care,48,abortion,47,about,46,search,45,can,44,more,43,ago,41,seconds,41,video,38,services,38,please,35,have,35,return,33,function,33,find,31,control,31,contact,30,border-color,30,default,29,state,28,birth,28,let,27,email,27,learn,26,all,26,error,26,donate,25,display,25,background,25,background-color,25,follow,24,sexual,24,information,24,access,23,center,23,loading,23,opacity,22,action,22,navigation,22,when,22,out,22,form,22,toggle,21,insurance,21,research,21,call,21,field,21,gift,20,color,20,how,20,involved,19,policy,19,through,18,year,18,does,18,screen,18,sex,18,other,17,central,17,reproductive,17,donor,16,only,16,code,16,any,16,set,16,off,15,add,15,ease,15,open,15,data,15,infinite,15,not,15,bans,15,vice,14,first,14,appointment,14,used,14,value,14,now,14,southern,14,what,14,help,14,use,14,senior,14,make,14,lever-fadein,14,take,13,development,13,const,13,federation,13,path,13,mail,13,name,13,privacy,13,affiliate,13,know,12,advocacy,12,bodies,12,online,12,under,12,north,12,want,12,share,12,chief,12,blog,12,great,12,mypostrender,12,user,12,cart,11,general,11,select,11,circle,11,provider,11,volunteer,11,see,11,service,11,may,11,membership,11,office,11,one,11,right,11,officer,11,available,11,enter,10,change,10,tax-deductible,10,states,10,resharper,10,who,10,target,10,after,10,terms,10,method,10,box-shadow,10,normal,10,also,10,top,10,hide,10,checkbox,10,rights,10,products,10,show,10,custom,10,participate,10,lever-slidedown,9,months,9,none,9,lever-fadeout,9,local,9,card,9,rotate-infinite,9,selected,9,back,9,digital,9,fade-out,9,people,9,fade-in,9,need,9,check,9,resources,9,forms,9,left,9,shimmer,9,lever-slideup,9,questions,9,img,9,pregnancy,9,fill,9,toastfadein,9,attacks,9,zip,9,button,9,give,9,hollow,8,messages,8,sign,8,fullest,8,"""dont""",8,arrow,8,prevent,8,ppfa,8,shop,8,16
count18,https://www.plannedparenthood.org/health-center/new-jersey/montclair/07042/montclair-center-2550-90920,14,planned,274,parenthood,272,your,150,var,129,you,125,label,102,solid,96,health,93,instanceof,82,this,81,our,80,---,73,else,72,new,69,get,64,years,61,main,53,abortion,52,choose,51,care,48,about,48,can,45,search,43,seconds,41,services,41,ago,41,have,38,video,38,please,35,more,35,control,32,return,31,border-color,30,birth,30,function,30,default,29,find,29,all,29,email,27,contact,26,donate,26,let,26,error,26,display,25,background-color,25,background,25,when,24,out,24,access,23,loading,23,information,23,call,23,navigation,22,follow,22,opacity,22,insurance,22,form,21,toggle,21,sexual,21,involved,21,action,21,research,21,how,20,color,20,field,20,gift,20,center,20,make,20,sex,19,appointment,19,metropolitan,19,policy,19,screen,18,year,18,learn,17,does,17,donor,16,set,16,reproductive,16,open,16,any,16,code,16,infinite,15,data,15,what,15,ease,15,off,15,first,15,bans,15,add,15,development,15,lever-fadein,14,state,14,other,14,only,14,online,14,used,14,use,14,senior,14,vice,14,need,13,value,13,affiliate,13,mail,13,want,13,through,13,check,13,take,13,path,13,north,13,privacy,13,fullerton,13,advocacy,13,know,13,not,13,great,13,federation,12,bodies,12,select,12,under,12,chief,12,see,12,one,12,blog,12,after,12,const,12,user,12,name,12,mypostrender,12,share,12,questions,11,jersey,11,office,11,help,11,general,11,membership,11,provider,11,officer,11,education,11,cart,11,hide,10,resharper,10,show,10,right,10,pregnancy,10,change,10,products,10,now,10,method,10,may,10,states,10,participate,10,checkbox,10,box-shadow,10,custom,10,people,10,terms,10,button,10,day,10,enter,10,tax-deductible,10,read,10,target,10,give,10,fade-in,9,card,9,fill,9,volunteer,9,fade-out,9,app,9,local,9,attacks,9,rotate-infinite,9,rights,9,back,9,shimmer,9,always,9,img,9,toastfadein,9,lever-slideup,9,zip,9,time,9,service,9,none,9,digital,9,lever-fadeout,9,normal,9,forms,9,months,9,left,9,federal,9,lever-slidedown,9,selected,9,ask,8,extent,8,hollow,8,testing,8,contraception,8,top,8,protect,8,17
count19,https://womenschoicemedical.com/,25,abortion,405,medical,288,your,265,choice,250,you,243,new,190,center,177,womenâs,176,surgical,159,services,115,patient,112,choose,94,about,91,function,86,pill,81,may,80,day,75,first,74,zabriskie,73,care,73,time,70,have,70,request,66,none,66,early,64,our,62,date,62,information,60,return,59,appointment,58,before,58,contact,57,financial,56,provide,56,why,56,this,54,not,52,assistance,51,notifications,51,other,51,seven,50,years,50,state,49,americans,48,rate,47,all,46,info,44,faqs,44,procedure,43,days,38,var,38,rights,38,sets,38,weeks,37,year,37,privacy,37,month,37,clinic,36,women,35,after,34,call,34,pregnancy,33,most,33,must,32,"""womens""",31,get,31,should,30,use,30,questions,30,luteal,30,cycle,30,complete,29,hours,29,policy,28,health,28,ask,28,address,27,jersey,27,board,26,experienced,26,blog,26,menstrual,26,open,26,through,25,found,25,also,25,themselves,25,total,25,midnight,25,increased,24,when,24,among,24,please,24,how,24,too,24,majority,24,display,24,study,24,certified,24,wcmc,24,available,23,one,23,reported,23,social,23,disclose,23,conducted,23,consider,23,instagram,23,gallop,23,âpro-choiceâ,23,length,22,mon,22,design,22,inline,22,anâ¦,22,facebook,22,street,22,credits,22,right,21,there,21,staff,21,make,21,physicians,20,any,20,can,20,long,19,birth,18,between,18,validates,18,ovulation,18,offered,17,receive,17,room,17,own,17,patients,16,last,16,period,16,number,16,providers,16,either,16,asked,16,general,16,their,16,know,16,fetal,16,facility,15,still,15,safe,14,local,14,necessary,14,they,14,very,14,abortions,14,been,13,due,13,but,13,form,13,leading,13,experts,13,check,13,effect,13,under,13,well,13,service,13,some,12,variables,12,fetalage,12,control,12,try,12,figure,12,whole,12,valid,12,objects,12,following,12,defaults,12,age,12,short,12,calculation,12,providing,12,what,12,"""doesnt""",12,emergency,12,order,11,who,11,refer,11,extra,11,continuity,11,resulting,11,insurance,11,adverse,11,case,11,includes,11,physician,11,required,11,web,11,experience,11,prescribe,11,copy,10,written,10,surgery,10,18
