,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8
0,'appropriate,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1,'as,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,'at,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,'at',0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,'banner,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,'carrie,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,'center,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,'chuck',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,'congratulations,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,'cookies,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,'cooperative',0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
11,'datalayer',0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
12,'email',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,'en',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,'eubank,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,'fake,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,'finding,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
17,'future,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,'google,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0
19,'government,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,'hire,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
21,'in,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,'initial',2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23,'invisible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,'josefin,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0
