,token,Total0,Total1,Total2,Total3,Total4,Total5
0,'appropriate,0.0,0.0,3.0,3.0,0.0,3.0
1,'as,0.0,0.0,2.0,2.0,0.0,2.0
2,'at,0.0,0.0,1.0,1.0,0.0,1.0
3,'chat,0.0,0.0,0.0,1.0,0.0,0.0
4,'congratulations,0.0,0.0,1.0,1.0,0.0,1.0
5,'fake,0.0,0.0,1.0,1.0,0.0,1.0
6,'february,0.0,0.0,0.0,0.0,2.0,0.0
7,'finding,0.0,0.0,4.0,4.0,0.0,4.0
8,'google,0.0,0.0,3.0,3.0,0.0,3.0
9,'government,0.0,0.0,1.0,1.0,0.0,1.0
10,'in,0.0,0.0,1.0,1.0,0.0,1.0
11,'initial',0.0,0.0,2.0,2.0,0.0,2.0
12,'link',0.0,0.0,0.0,0.0,1.0,0.0
13,'location,0.0,0.0,4.0,4.0,0.0,4.0
14,'many,0.0,0.0,1.0,1.0,0.0,1.0
15,'mazel,0.0,0.0,1.0,1.0,0.0,1.0
16,'mute',0.0,0.0,1.0,1.0,0.0,1.0
17,'my,0.0,0.0,1.0,1.0,0.0,1.0
18,'not,0.0,0.0,0.0,1.0,0.0,0.0
19,'partially,0.0,0.0,0.0,1.0,0.0,0.0
20,'product,0.0,0.0,1.0,1.0,0.0,1.0
21,'recipient,0.0,0.0,1.0,1.0,0.0,1.0
22,'script,0.0,0.0,2.0,2.0,0.0,2.0
23,'script',0.0,0.0,0.0,0.0,1.0,0.0
24,'select,0.0,0.0,4.0,4.0,0.0,4.0
25,'select',0.0,0.0,4.0,4.0,0.0,4.0
26,'thank,0.0,0.0,1.0,1.0,0.0,1.0
27,'there,0.0,0.0,4.0,4.0,0.0,4.0
28,'thinking,0.0,0.0,1.0,1.0,0.0,1.0
29,'type',0.0,0.0,0.0,0.0,1.0,0.0
30,'undefined',0.0,0.0,0.0,5.0,0.0,0.0
31,'use,0.0,0.0,6.0,6.0,0.0,6.0
32,ability,0.0,0.0,1.0,1.0,0.0,1.0
33,able,0.0,0.0,0.0,1.0,0.0,1.0
34,abortion,0.0,0.0,56.0,48.0,23.0,56.0
35,abortions,0.0,0.0,5.0,5.0,1.0,5.0
36,abortion”,0.0,0.0,1.0,1.0,0.0,1.0
37,about,0.0,0.0,49.0,47.0,9.0,49.0
38,aboutservices,0.0,0.0,0.0,0.0,1.0,0.0
39,above,0.0,0.0,3.0,2.0,0.0,3.0
40,absolute,0.0,0.0,0.0,0.0,4.0,0.0
41,abstinence,0.0,0.0,2.0,2.0,0.0,2.0
42,abuse,0.0,0.0,1.0,1.0,0.0,1.0
43,accept,0.0,0.0,1.0,3.0,0.0,1.0
44,access,0.0,0.0,25.0,22.0,0.0,25.0
45,accessories,0.0,0.0,1.0,1.0,0.0,1.0
46,accompanied,0.0,0.0,1.0,0.0,0.0,0.0
47,accompany,0.0,0.0,1.0,0.0,0.0,0.0
48,account,0.0,0.0,7.0,7.0,2.0,7.0
49,accounttoggle,0.0,0.0,1.0,1.0,0.0,1.0
50,accurate,0.0,0.0,4.0,3.0,0.0,4.0
51,ach,0.0,0.0,1.0,1.0,0.0,1.0
52,across,0.0,0.0,3.0,2.0,0.0,3.0
53,action,0.0,0.0,21.0,22.0,0.0,21.0
54,actions,0.0,0.0,1.0,1.0,0.0,1.0
55,actiontag,0.0,0.0,1.0,1.0,0.0,1.0
56,active,0.0,0.0,1.0,1.0,0.0,1.0
57,activists,0.0,0.0,2.0,2.0,0.0,2.0
58,activity,0.0,0.0,5.0,5.0,0.0,5.0
59,actually,0.0,0.0,0.0,0.0,1.0,0.0
60,acuity,0.0,0.0,0.0,0.0,2.0,0.0
61,adam,0.0,0.0,0.0,0.0,2.0,0.0
62,adcreate,0.0,0.0,1.0,1.0,0.0,1.0
63,add,0.0,0.0,15.0,15.0,6.0,15.0
64,addbreadcrumb,0.0,0.0,0.0,1.0,0.0,0.0
65,added,0.0,0.0,0.0,1.0,0.0,0.0
66,adding,0.0,0.0,0.0,0.0,2.0,0.0
67,additional,0.0,0.0,7.0,8.0,1.0,7.0
68,additions,0.0,0.0,0.0,0.0,1.0,0.0
69,addms,0.0,0.0,1.0,1.0,0.0,1.0
70,address,0.0,0.0,5.0,5.0,0.0,5.0
71,addresses,0.0,0.0,1.0,1.0,0.0,1.0
72,adds,0.0,0.0,5.0,5.0,0.0,5.0
73,add—whether,0.0,0.0,0.0,0.0,1.0,0.0
74,adhere,0.0,0.0,1.0,1.0,0.0,1.0
75,administer,0.0,0.0,0.0,0.0,1.0,0.0
76,administrationnew,0.0,0.0,1.0,1.0,0.0,1.0
77,adrienne,0.0,0.0,0.0,0.0,1.0,0.0
78,ads,0.0,0.0,2.0,2.0,0.0,2.0
79,adult,0.0,0.0,1.0,0.0,0.0,0.0
80,adults,0.0,0.0,0.0,1.0,0.0,0.0
81,advance,0.0,0.0,2.0,2.0,0.0,2.0
82,advanced,0.0,0.0,1.0,1.0,0.0,1.0
83,advances,0.0,0.0,1.0,1.0,0.0,1.0
84,advancing,0.0,0.0,2.0,2.0,0.0,2.0
85,advocacy,0.0,0.0,18.0,12.0,0.0,18.0
86,advocate,0.0,0.0,1.0,1.0,0.0,1.0
87,advocated,0.0,0.0,0.0,1.0,0.0,0.0
88,aff,0.0,0.0,3.0,3.0,0.0,3.0
89,affect,0.0,0.0,0.0,1.0,0.0,0.0
90,affilate,0.0,0.0,2.0,2.0,0.0,2.0
91,affiliate,0.0,0.0,14.0,13.0,0.0,14.0
92,affiliatecode,0.0,0.0,2.0,2.0,0.0,2.0
93,affiliatecodelocation,0.0,0.0,1.0,1.0,0.0,1.0
94,affiliateid,0.0,0.0,4.0,4.0,0.0,4.0
95,affiliates,0.0,0.0,0.0,0.0,1.0,0.0
96,affiliation,0.0,0.0,1.0,1.0,0.0,1.0
97,affirming,0.0,0.0,0.0,2.0,0.0,0.0
98,affordable,0.0,0.0,5.0,5.0,0.0,5.0
99,africa,0.0,0.0,1.0,1.0,0.0,1.0
100,after,0.0,0.0,12.0,14.0,3.0,12.0
101,again,0.0,0.0,2.0,2.0,2.0,2.0
102,against,0.0,0.0,2.0,2.0,0.0,2.0
103,age,0.0,0.0,8.0,6.0,0.0,8.0
104,agent,0.0,0.0,5.0,5.0,0.0,5.0
105,ago,0.0,0.0,41.0,41.0,0.0,41.0
106,agree,0.0,0.0,1.0,1.0,1.0,1.0
107,alerts,0.0,0.0,2.0,2.0,0.0,2.0
108,all,0.0,0.0,30.0,40.0,4.0,30.0
109,allow,0.0,0.0,1.0,2.0,1.0,1.0
110,allowable,0.0,0.0,6.0,6.0,0.0,6.0
111,allows,0.0,0.0,3.0,3.0,1.0,3.0
112,along,0.0,0.0,0.0,1.0,0.0,0.0
113,already,0.0,0.0,1.0,2.0,2.0,1.0
114,also,0.0,0.0,8.0,9.0,8.0,8.0
115,although,0.0,0.0,1.0,0.0,1.0,1.0
116,altrock,0.0,0.0,0.0,0.0,1.0,0.0
117,always,0.0,0.0,8.0,8.0,0.0,8.0
118,amazing,0.0,0.0,1.0,2.0,0.0,1.0
119,ameri,0.0,0.0,0.0,1.0,0.0,0.0
120,america,0.0,0.0,6.0,6.0,0.0,6.0
121,america's,0.0,0.0,2.0,2.0,0.0,2.0
122,america’s,0.0,0.0,1.0,0.0,0.0,1.0
123,amount,0.0,0.0,4.0,4.0,0.0,4.0
124,analystnyc,0.0,0.0,1.0,1.0,0.0,1.0
125,analytics,0.0,0.0,2.0,2.0,0.0,2.0
126,analytics→,0.0,0.0,0.0,0.0,2.0,0.0
127,anatomy,0.0,0.0,2.0,2.0,0.0,2.0
128,anesthetic,0.0,0.0,0.0,0.0,1.0,0.0
129,anillo,0.0,0.0,2.0,2.0,0.0,2.0
130,announcements,0.0,0.0,1.0,0.0,0.0,1.0
131,annual,0.0,0.0,3.0,5.0,4.0,3.0
132,anonymous,0.0,0.0,2.0,2.0,0.0,2.0
133,answer,0.0,0.0,1.0,1.0,2.0,1.0
134,answering,0.0,0.0,2.0,2.0,0.0,2.0
135,answers,0.0,0.0,5.0,5.0,0.0,5.0
136,anthem,0.0,0.0,1.0,2.0,0.0,1.0
137,anticonceptivo,0.0,0.0,1.0,1.0,0.0,1.0
138,any,0.0,0.0,15.0,21.0,9.0,15.0
139,anyone,0.0,0.0,0.0,0.0,2.0,0.0
140,anything,0.0,0.0,1.0,1.0,6.0,1.0
141,anytime,0.0,0.0,1.0,1.0,0.0,1.0
142,api,0.0,0.0,1.0,1.0,0.0,1.0
143,app,0.0,0.0,8.0,7.0,1.0,8.0
144,apparel,0.0,0.0,1.0,1.0,0.0,1.0
145,appear,0.0,0.0,2.0,2.0,0.0,2.0
146,appends,0.0,0.0,2.0,2.0,0.0,2.0
147,applicant,0.0,0.0,1.0,1.0,0.0,1.0
148,apply,0.0,0.0,1.0,5.0,0.0,1.0
149,appointment,0.0,0.0,16.0,14.0,2.0,15.0
150,appointments,0.0,0.0,2.0,4.0,3.0,2.0
151,appointments→,0.0,0.0,0.0,0.0,2.0,0.0
152,approachat,0.0,0.0,0.0,0.0,1.0,0.0
153,appropriate,0.0,0.0,1.0,0.0,0.0,1.0
154,archived,0.0,0.0,1.0,1.0,0.0,1.0
155,areas,0.0,0.0,0.0,0.0,1.0,0.0
156,arising,0.0,0.0,0.0,1.0,0.0,0.0
157,arm,0.0,0.0,3.0,3.0,0.0,3.0
158,around,0.0,0.0,0.0,0.0,1.0,0.0
159,arrangements,0.0,0.0,1.0,1.0,0.0,1.0
160,array,0.0,0.0,5.0,5.0,0.0,5.0
161,arrive,0.0,0.0,0.0,1.0,0.0,0.0
162,arrow,0.0,0.0,6.0,6.0,0.0,6.0
163,arrwithtrailingcomma,0.0,0.0,0.0,1.0,0.0,0.0
164,art,0.0,0.0,1.0,1.0,0.0,1.0
165,artist,0.0,0.0,0.0,1.0,1.0,0.0
166,artists,0.0,0.0,0.0,0.0,1.0,0.0
167,asap,0.0,0.0,1.0,0.0,0.0,1.0
168,ask,0.0,0.0,6.0,7.0,1.0,8.0
169,asked,0.0,0.0,5.0,6.0,4.0,5.0
170,assault,0.0,0.0,6.0,6.0,0.0,6.0
171,assetobserver,0.0,0.0,0.0,0.0,1.0,0.0
172,assignment,0.0,0.0,0.0,0.0,1.0,0.0
173,assistance,0.0,0.0,2.0,0.0,0.0,2.0
174,assistants,0.0,0.0,0.0,0.0,1.0,0.0
175,assoc,0.0,0.0,2.0,2.0,0.0,2.0
176,associate,0.0,0.0,0.0,1.0,0.0,0.0
177,async,0.0,0.0,0.0,1.0,0.0,0.0
178,atlantic,0.0,0.0,5.0,5.0,0.0,5.0
179,attack,0.0,0.0,2.0,2.0,0.0,2.0
180,attacks,0.0,0.0,9.0,9.0,0.0,9.0
181,attend,0.0,0.0,0.0,1.0,0.0,0.0
182,attitude,0.0,0.0,0.0,1.0,0.0,0.0
183,attorneynyc,0.0,0.0,1.0,1.0,0.0,1.0
184,attributefilter,0.0,0.0,1.0,1.0,0.0,1.0
185,attributes,0.0,0.0,1.0,1.0,0.0,1.0
186,august,0.0,0.0,0.0,1.0,0.0,0.0
187,auth,0.0,0.0,2.0,2.0,0.0,2.0
188,author,0.0,0.0,0.0,2.0,0.0,0.0
189,authors,0.0,0.0,0.0,1.0,0.0,0.0
190,auto,0.0,0.0,2.0,2.0,0.0,2.0
191,autofocus,0.0,0.0,1.0,1.0,0.0,1.0
192,automatic,0.0,0.0,2.0,2.0,0.0,2.0
193,autopopulate,0.0,0.0,4.0,3.0,0.0,4.0
194,availabilities,0.0,0.0,0.0,1.0,0.0,0.0
195,availability,0.0,0.0,0.0,0.0,1.0,0.0
196,available,0.0,0.0,10.0,10.0,0.0,12.0
197,await,0.0,0.0,0.0,1.0,0.0,0.0
198,ayudarte,0.0,0.0,1.0,1.0,0.0,1.0
199,back,0.0,0.0,9.0,10.0,3.0,9.0
200,background,0.0,0.0,25.0,25.0,0.0,25.0
201,backgrounds,0.0,0.0,0.0,1.0,0.0,0.0
202,bad,0.0,0.0,2.0,2.0,0.0,2.0
203,badword,0.0,0.0,3.0,3.0,0.0,3.0
204,badwordfilter,0.0,0.0,1.0,1.0,0.0,1.0
205,badwords,0.0,0.0,1.0,1.0,0.0,1.0
206,balanceyou,0.0,0.0,0.0,1.0,0.0,0.0
207,ban,0.0,0.0,3.0,3.0,0.0,3.0
208,bank,0.0,0.0,2.0,2.0,0.0,2.0
