,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8
0,'anqtt',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,'appropriate,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
2,'as,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
3,'at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,'congratulations,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,'cormorant,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
6,'fake,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,'finding,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
8,'first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,'google,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
10,'government,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11,'hgkqz',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,'in,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,'initial',0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
14,'jagkg',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,'jfehq',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,'kyind',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,'last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,'location,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
19,'lrhfx',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,'lyfsv',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,'many,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,'mazel,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
23,'mute',0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
24,'my,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,'object',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,'open,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0
27,'partially,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
28,'phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,'powered,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
30,'product,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31,'protected',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,'recipient,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,'script,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
34,'select,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
35,'select',0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
36,'thank,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37,'there,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
38,'thinking,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
39,'timing',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,'undefined',0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0
41,'use,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
42,'xmcqp',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,'you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,'zip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,'zjfxd',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,abdominal,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
47,ability,0.0,0.0,0.0,118.0,0.0,0.0,0.0,1.0,0.0
