index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center/oregon/beaverton/97005/beaverton-center-2410-91400,14,planned,268,parenthood,266,your,154,var,127,you,116,label,102,health,98,solid,96,this,84,instanceof,82,else,73,---,73,our,70,years,61,get,59,abortion,55,main,54,care,53,choose,51,new,50,services,49,search,45,about,45,seconds,41,ago,41,can,39,video,38,more,36,find,35,please,35,function,34,have,33,return,33,control,31,border-color,30,birth,30,default,29,email,28,let,27,all,27,error,27,background,25,contact,25,background-color,25,information,24,donate,24,access,24,loading,23,navigation,23,how,23,first,23,toggle,23,center,23,when,22,field,22,opacity,22,form,22,action,21,follow,21,research,21,out,21,insurance,20,learn,20,color,20,sexual,20,gift,20,involved,19,appointment,19,policy,18,screen,18,year,18,sex,17,does,17,set,17,code,17,call,17,other,17,donor,16,now,15,bans,15,any,15,ease,15,add,15,infinite,15,state,15,columbia,15,reproductive,15,off,15,data,15,senior,14,advocacy,14,open,14,lever-fadein,14,what,14,development,14,use,14,vice,14,used,14,make,13,const,13,path,13,provider,13,not,13,only,13,value,13,day,13,mail,13,online,13,help,12,general,12,take,12,share,12,under,12,give,12,mypostrender,12,name,12,enter,12,great,12,chief,12,user,12,bodies,12,privacy,12,blog,12,north,12,federation,12,affiliate,12,select,12,after,11,pregnancy,11,membership,11,through,11,know,11,officer,11,see,11,forms,11,office,11,questions,11,cart,11,want,11,willamette,11,target,10,show,10,tax-deductible,10,resharper,10,products,10,hide,10,volunteer,10,custom,10,right,10,available,10,fill,10,service,10,change,10,participate,10,card,10,zip,10,method,10,page,10,sign,10,checkbox,10,box-shadow,10,español,10,one,10,who,9,closed,9,img,9,back,9,attacks,9,normal,9,none,9,months,9,shimmer,9,provide,9,lever-fadeout,9,schedule,9,fade-out,9,left,9,fade-in,9,digital,9,book,9,display,9,check,9,lever-slideup,9,terms,9,lever-slidedown,9,rights,9,button,9,also,9,selected,9,may,9,toastfadein,9,rotate-infinite,9,link,8,federal,8,shop,8,"""dont""",8,protect,8,extent,8,local,8,campaigns,8,1
count10,https://www.plannedparenthood.org/health-center/oregon/eugene/97402/west-eugene-health-center-3069-91380,14,parenthood,268,planned,267,your,152,var,127,you,114,label,102,solid,96,health,96,instanceof,82,this,82,our,74,---,73,else,73,years,61,get,56,main,53,new,51,abortion,51,choose,51,care,48,services,46,search,44,about,44,can,43,ago,41,seconds,41,video,38,more,37,return,33,control,32,please,32,have,32,function,31,birth,31,find,30,border-color,30,default,29,donate,28,all,28,email,27,contact,27,let,26,error,26,background-color,25,background,25,navigation,24,access,23,toggle,23,loading,23,sexual,23,reproductive,22,form,22,when,22,center,22,opacity,22,how,21,information,21,action,21,research,21,learn,20,field,20,out,20,follow,20,gift,20,color,20,policy,19,insurance,18,screen,18,year,18,call,18,does,17,sex,17,other,16,code,16,set,16,donor,16,involved,16,add,15,data,15,development,15,bans,15,off,15,ease,15,infinite,15,what,14,any,14,lever-fadein,14,state,14,senior,14,value,14,used,14,not,14,oregon,14,vice,14,first,14,privacy,14,use,14,take,13,only,13,affiliate,13,online,13,make,13,mail,13,path,13,open,13,appointment,13,federation,12,provider,12,most,12,const,12,southwestern,12,share,12,change,12,under,12,user,12,chief,12,danebo,12,north,12,great,12,select,12,name,12,through,12,bodies,12,know,12,advocacy,12,mypostrender,12,blog,12,cart,11,membership,11,after,11,help,11,officer,11,want,11,now,11,office,11,general,11,target,10,products,10,checkbox,10,check,10,pregnancy,10,forms,10,terms,10,participate,10,enter,10,tax-deductible,10,show,10,one,10,box-shadow,10,education,10,resharper,10,right,10,method,10,hide,10,custom,10,see,10,give,10,lever-slideup,9,lever-slidedown,9,lever-fadeout,9,provide,9,card,9,questions,9,left,9,button,9,shimmer,9,attacks,9,language,9,selected,9,toastfadein,9,may,9,normal,9,none,9,months,9,volunteer,9,fill,9,day,9,rights,9,also,9,sign,9,rotate-infinite,9,fade-out,9,digital,9,español,9,img,9,schedule,9,display,9,available,9,back,9,zip,9,fade-in,9,service,8,just,8,store,8,fullest,8,campaigns,8,states,8,hollow,8,site,8,google,8,10
count11,https://www.plannedparenthood.org/health-center/oregon/portland/97212/ne-portland-center-3943-91400,14,planned,268,parenthood,266,your,154,var,127,you,116,label,102,health,98,solid,96,this,84,instanceof,82,---,73,else,73,our,70,years,61,get,59,abortion,55,main,53,care,53,choose,51,new,50,services,49,search,45,about,45,ago,41,seconds,41,can,39,video,38,more,36,please,35,find,35,function,34,have,33,return,33,control,32,birth,31,border-color,30,default,29,email,28,let,27,all,27,error,27,contact,25,background,25,background-color,25,donate,24,information,24,access,24,loading,23,how,23,navigation,23,center,23,toggle,23,form,22,field,22,opacity,22,when,22,research,21,follow,21,action,21,out,21,learn,20,gift,20,sexual,20,color,20,insurance,20,involved,19,first,19,appointment,19,policy,18,screen,18,year,18,set,17,does,17,code,17,sex,17,other,17,call,17,donor,16,off,16,bans,15,state,15,now,15,columbia,15,any,15,data,15,infinite,15,ease,15,reproductive,15,add,15,advocacy,14,development,14,use,14,open,14,used,14,senior,14,what,14,vice,14,lever-fadein,14,only,13,const,13,mail,13,not,13,value,13,path,13,martin,13,luther,13,king,13,north,13,online,13,day,13,provider,13,make,13,great,12,user,12,give,12,chief,12,privacy,12,blog,12,take,12,share,12,name,12,federation,12,mypostrender,12,help,12,select,12,general,12,under,12,enter,12,affiliate,12,after,12,bodies,12,office,11,through,11,officer,11,forms,11,one,11,willamette,11,want,11,membership,11,available,11,pregnancy,11,questions,11,see,11,know,11,cart,11,checkbox,10,box-shadow,10,español,10,volunteer,10,right,10,participate,10,hide,10,tax-deductible,10,method,10,resharper,10,target,10,zip,10,change,10,card,10,sign,10,products,10,custom,10,show,10,fill,10,service,10,page,10,fade-in,9,fade-out,9,book,9,who,9,check,9,provide,9,selected,9,back,9,months,9,digital,9,none,9,attacks,9,normal,9,shimmer,9,img,9,also,9,may,9,lever-slideup,9,button,9,terms,9,toastfadein,9,display,9,rotate-infinite,9,rights,9,schedule,9,lever-fadeout,9,left,9,lever-slidedown,9,ppfa,8,read,8,campaigns,8,local,8,span,8,protect,8,11
count2,https://www.plannedparenthood.org/health-center/oregon/grants-pass/97526/grants-pass-health-center-2371-91380,14,parenthood,268,planned,267,your,152,var,127,you,114,label,102,solid,96,health,95,instanceof,82,this,82,else,73,our,73,---,73,years,61,get,56,main,53,choose,51,new,51,abortion,51,care,48,services,47,search,44,about,44,can,44,ago,41,seconds,41,video,38,more,37,return,33,control,32,please,32,function,31,birth,31,have,31,find,30,border-color,30,default,29,all,28,donate,28,email,27,contact,27,error,26,let,26,background,25,background-color,25,navigation,24,access,23,loading,23,toggle,23,sexual,23,when,22,reproductive,22,opacity,22,form,22,information,21,research,21,how,21,action,21,center,21,color,20,out,20,follow,20,gift,20,field,20,learn,20,policy,19,year,18,insurance,18,screen,18,call,17,does,17,sex,17,set,16,code,16,donor,16,involved,16,other,16,off,15,data,15,ease,15,oregon,15,bans,15,only,15,add,15,development,15,infinite,15,used,14,use,14,not,14,senior,14,any,14,first,14,lever-fadein,14,grants,14,open,14,vice,14,what,14,value,14,privacy,14,state,14,online,13,affiliate,13,take,13,franklin,13,path,13,know,13,mail,13,make,13,appointment,13,under,12,bodies,12,chief,12,provider,12,federation,12,through,12,mypostrender,12,name,12,blog,12,const,12,select,12,share,12,great,12,southwestern,12,change,12,user,12,north,12,advocacy,12,cart,11,membership,11,want,11,general,11,officer,11,most,11,now,11,after,11,provide,11,help,11,office,11,give,10,enter,10,hide,10,one,10,participate,10,check,10,checkbox,10,forms,10,pregnancy,10,terms,10,products,10,may,10,box-shadow,10,see,10,target,10,custom,10,resharper,10,method,10,education,10,right,10,tax-deductible,10,show,10,fade-out,9,lever-fadeout,9,fill,9,attacks,9,left,9,img,9,fade-in,9,available,9,back,9,volunteer,9,language,9,selected,9,español,9,lever-slidedown,9,sign,9,button,9,shimmer,9,lever-slideup,9,display,9,questions,9,zip,9,toastfadein,9,normal,9,none,9,day,9,months,9,digital,9,also,9,rights,9,rotate-infinite,9,card,9,site,8,data-close,8,work,8,down,8,fullest,8,resources,8,people,8,states,8,need,8,2
count3,https://www.plannedparenthood.org/health-center/oregon/eugene/97403/eugene-springfield-health-center-4075-91380,15,parenthood,284,planned,283,your,170,you,131,var,128,health,127,label,102,instanceof,99,solid,96,this,92,our,77,else,73,---,73,get,69,services,66,care,64,abortion,62,years,61,new,55,about,55,search,53,main,53,choose,51,can,50,please,48,more,44,seconds,41,ago,41,have,39,video,38,birth,37,find,37,control,35,function,34,contact,33,donate,33,return,33,border-color,30,navigation,30,insurance,30,all,30,center,30,let,29,sexual,29,default,29,error,28,information,28,email,27,toggle,27,call,26,when,26,background,25,follow,25,background-color,25,action,24,access,24,learn,24,how,23,loading,23,form,23,reproductive,23,out,23,field,22,other,22,opacity,22,research,22,policy,21,oregon,21,involved,21,gift,20,open,20,sex,20,color,20,online,20,appointment,20,what,19,set,18,screen,18,year,18,does,18,donor,18,telehealth,17,take,17,code,17,southwestern,16,use,16,privacy,16,development,16,any,16,not,16,data,15,provider,15,infinite,15,state,15,ease,15,add,15,closed,15,off,15,make,15,blog,15,bans,15,first,15,under,14,most,14,know,14,value,14,senior,14,vice,14,affiliate,14,used,14,franklin,14,federation,14,only,14,lever-fadein,14,mail,13,terms,13,path,13,share,13,const,13,select,13,book,13,user,13,enter,13,one,13,day,13,change,13,name,12,may,12,chief,12,through,12,mypostrender,12,target,12,great,12,advocacy,12,now,12,give,12,north,12,pregnancy,12,bodies,12,need,11,español,11,check,11,tax-deductible,11,general,11,cart,11,provide,11,see,11,after,11,language,11,available,11,help,11,want,11,back,11,officer,11,membership,11,service,11,operated,11,shop,11,office,11,always,11,right,10,"""dont""",10,ppso,10,method,10,site,10,link,10,fill,10,additional,10,hours,10,box-shadow,10,matter,10,schedule,10,volunteer,10,resharper,10,zip,10,participate,10,also,10,products,10,checkbox,10,top,10,questions,10,custom,10,forms,10,show,10,nation’s,10,age,10,hollow,10,affordable,10,hide,10,data-close,10,img,9,lever-fadeout,9,lever-slideup,9,left,9,lever-slidedown,9,none,9,shimmer,9,normal,9,fade-out,9,legal,9,3
count4,https://www.plannedparenthood.org/health-center/oregon/salem/97305/salem-center-2412-91400,15,planned,268,parenthood,266,your,154,var,129,you,117,label,102,solid,98,health,98,this,85,instanceof,82,---,73,else,73,our,71,years,61,get,59,abortion,55,care,53,main,53,new,52,choose,51,services,49,search,45,about,45,seconds,41,ago,41,can,40,video,38,please,36,more,36,find,35,function,34,have,34,return,33,control,31,border-color,30,birth,30,default,29,email,28,error,27,all,27,let,27,contact,25,background,25,background-color,25,information,24,center,24,donate,24,access,24,loading,23,navigation,23,toggle,23,how,23,field,22,opacity,22,form,22,when,22,action,21,research,21,follow,21,out,21,insurance,20,learn,20,color,20,sexual,20,policy,20,gift,20,involved,19,first,19,appointment,19,screen,18,year,18,call,17,other,17,code,17,sex,17,set,17,does,17,donor,16,bans,15,off,15,state,15,data,15,columbia,15,ease,15,infinite,15,now,15,use,15,reproductive,15,not,15,add,15,any,15,what,14,used,14,help,14,lever-fadein,14,senior,14,open,14,advocacy,14,vice,14,development,14,value,13,mail,13,path,13,privacy,13,provider,13,online,13,give,13,only,13,make,13,day,13,const,13,mypostrender,12,enter,12,blog,12,name,12,under,12,see,12,share,12,bodies,12,general,12,affiliate,12,north,12,select,12,user,12,wolverine,12,federation,12,take,12,chief,12,great,12,service,11,forms,11,know,11,willamette,11,office,11,cart,11,officer,11,pregnancy,11,membership,11,after,11,questions,11,want,11,through,11,tax-deductible,10,target,10,method,10,available,10,right,10,terms,10,español,10,may,10,fill,10,card,10,checkbox,10,show,10,box-shadow,10,zip,10,hide,10,page,10,one,10,sign,10,participate,10,custom,10,volunteer,10,none,10,change,10,resharper,10,products,10,toastfadein,9,lever-slidedown,9,lever-fadeout,9,lever-slideup,9,rights,9,selected,9,button,9,span,9,who,9,schedule,9,attacks,9,rotate-infinite,9,provide,9,check,9,fade-in,9,back,9,fade-out,9,also,9,normal,9,display,9,book,9,left,9,shimmer,9,months,9,digital,9,img,9,link,8,circle,8,just,8,store,8,sticky,8,federal,8,states,8,4
count5,https://www.plannedparenthood.org/health-center/oregon/portland/97236/hillman-east-portland-center-2673-91400,14,planned,268,parenthood,266,your,153,var,127,you,117,label,102,health,99,solid,96,this,87,instanceof,82,else,73,---,73,our,71,years,61,get,59,abortion,55,care,53,main,53,choose,51,new,50,services,50,about,45,search,45,ago,41,seconds,41,can,40,video,38,more,36,find,35,please,35,function,34,have,33,return,33,control,32,birth,31,border-color,30,default,29,email,28,let,27,error,27,all,27,background,25,contact,25,background-color,25,donate,24,center,24,access,24,information,24,navigation,23,how,23,toggle,23,loading,23,when,22,opacity,22,form,22,field,22,research,21,out,21,action,21,follow,21,first,20,learn,20,color,20,gift,20,insurance,20,sexual,20,appointment,19,involved,19,year,18,screen,18,policy,18,other,17,set,17,code,17,sex,17,call,17,does,17,donor,16,used,16,development,15,columbia,15,off,15,infinite,15,bans,15,any,15,state,15,add,15,data,15,reproductive,15,now,15,ease,15,not,14,use,14,only,14,advocacy,14,what,14,vice,14,lever-fadein,14,open,14,senior,14,online,13,path,13,provider,13,make,13,mail,13,day,13,take,13,value,13,const,13,great,12,help,12,blog,12,privacy,12,user,12,name,12,division,12,north,12,mypostrender,12,select,12,federation,12,after,12,general,12,bodies,12,affiliate,12,share,12,give,12,enter,12,pregnancy,12,under,12,chief,12,know,11,see,11,cart,11,through,11,forms,11,want,11,membership,11,questions,11,willamette,11,officer,11,office,11,participate,10,card,10,español,10,provide,10,available,10,tax-deductible,10,right,10,sign,10,custom,10,zip,10,checkbox,10,show,10,change,10,box-shadow,10,fill,10,products,10,page,10,target,10,volunteer,10,service,10,also,10,resharper,10,one,10,method,10,hide,10,lever-slideup,9,button,9,lever-slidedown,9,schedule,9,left,9,lever-fadeout,9,attacks,9,back,9,who,9,rights,9,may,9,rotate-infinite,9,selected,9,shimmer,9,normal,9,none,9,display,9,book,9,months,9,check,9,digital,9,fade-out,9,fade-in,9,terms,9,img,9,toastfadein,9,fullest,8,top,8,age,8,states,8,std,8,read,8,store,8,campaigns,8,5
count6,https://www.plannedparenthood.org/health-center/oregon/ashland/97520/ashland-health-center-2370-91380,14,parenthood,268,planned,267,your,152,var,127,you,120,label,102,solid,96,health,95,instanceof,82,this,82,else,73,---,73,our,72,years,61,get,56,main,53,new,51,abortion,51,choose,51,care,48,services,47,can,45,search,44,about,44,ago,41,seconds,41,video,38,more,37,please,34,return,33,control,32,have,32,function,31,birth,31,find,30,border-color,30,default,29,donate,28,all,28,contact,27,email,27,let,26,error,26,background-color,25,background,25,navigation,24,sexual,23,toggle,23,access,23,loading,23,information,22,when,22,form,22,opacity,22,reproductive,22,center,21,research,21,action,21,how,21,learn,20,follow,20,color,20,field,20,out,20,gift,20,policy,19,call,18,screen,18,year,18,insurance,18,does,17,sex,17,set,16,involved,16,donor,16,appointment,16,code,16,any,15,data,15,bans,15,make,15,oregon,15,add,15,ease,15,development,15,first,15,infinite,15,off,15,used,14,not,14,only,14,use,14,open,14,what,14,state,14,vice,14,lever-fadein,14,privacy,14,other,14,senior,14,value,14,know,13,path,13,mail,13,online,13,take,13,affiliate,13,under,12,federation,12,north,12,through,12,user,12,mypostrender,12,great,12,select,12,share,12,siskiyou,12,bodies,12,const,12,change,12,name,12,see,12,advocacy,12,provider,12,blog,12,southwestern,12,after,12,chief,12,membership,11,cart,11,give,11,help,11,most,11,want,11,now,11,office,11,officer,11,general,11,check,10,pregnancy,10,provide,10,tax-deductible,10,box-shadow,10,right,10,custom,10,target,10,hide,10,resharper,10,education,10,method,10,day,10,forms,10,checkbox,10,products,10,one,10,show,10,enter,10,participate,10,terms,10,questions,9,left,9,español,9,closed,9,back,9,attacks,9,language,9,shimmer,9,rotate-infinite,9,selected,9,fade-in,9,sign,9,img,9,volunteer,9,zip,9,digital,9,fade-out,9,rights,9,months,9,none,9,also,9,toastfadein,9,card,9,display,9,normal,9,button,9,need,9,fill,9,lever-slidedown,9,time,9,lever-fadeout,9,lever-slideup,9,may,9,shop,8,down,8,service,8,circle,8,google,8,people,8,data-close,8,states,8,6
count7,https://www.corvallisclinic.com/obstetrics-gynecology/,25,corvallis,544,var,486,clinic,370,function,368,care,265,return,185,center,158,your,151,health,141,index,138,auto,138,typeof,116,hitobject,115,medical,114,family,112,years,112,patient,105,online,102,new,100,sports,100,treatment,99,illnesses,93,same-day,92,you,91,medicine,91,find,78,our,78,out,76,appointment,74,click,71,menu,70,albany,70,else,70,none,69,ago,67,instructions,63,contact,63,asbury,63,services,63,provider,58,building,58,nose,58,bill,57,seconds,56,year,56,hours,56,day,55,where,55,surgery,55,pay,53,telemedicine,52,locations,51,resources,51,telehealth,51,need,51,scheduling,50,months,50,north,50,monday,49,see,49,injuries,49,provides,49,diagnosis,49,nurse,49,specialty,49,allergy,47,offering,47,wide,47,minor,47,ages,47,walk-in,47,medicineinternal,47,immunologybehavioral,46,instructionsdoxy,46,same,46,older,46,have,46,array,46,therapyrheumatologysleep,46,resourcesathena,46,upfront,46,gynecologyoccupational,46,opt-out,46,coordinationconcussion,46,threatening,46,optometryorthopedic,46,medicineophthalmology,46,medicinepediatrics,46,medicinesurgery,46,based,46,surgeryorthopedics,46,medicinephysical,46,throatendocrinologyfoot,46,centerurology,46,non-life,46,practitioners,46,preventive,46,careers,46,portalprimary,46,servicesobstetrics,46,diabetes,43,good,42,this,41,all,41,philomath,40,faith,38,waverly,38,patients,38,rights,33,portal,33,call,32,surprises,31,values,30,physician,29,aumann,29,try,28,immediate,28,quality,28,here,27,make,27,exceptional,27,group,27,home,26,forms,26,may,25,quickcare,25,required,25,largest,25,privacy,25,physician-led,25,mid-willamette,25,connect,24,multi-specialty,24,detect,24,also,24,action,24,can,24,walnut,24,dedicated,24,boulevard,24,tracker,23,dec,23,surgeonsmenumenupatient,23,inline,23,auto-generated,23,len,23,heateorssssharingoffset,23,hitconverted,23,noopfn,23,disablestrs,23,trackoutboundlink,23,tracking,23,"""timing""",23,parameters,23,let’s,23,file,23,clinicphysicians,23,"""object""",23,localize,23,disable,23,mega,23,no-repeat,23,heateorssssharingajaxurl,23,nan,23,args,23,hit,23,heateorssssharetext,23,megamenu,23,blog,23,cookie,23,heateorssscloseiconpath,23,solid,23,catch,23,dotted,23,screen,23,users,23,estimates,23,heateorssspluginiconpath,23,compatibility,23,copyright,23,gamap,23,newtracker,23,heateorssssharestext,23,security,23,opted,23,behavioral,22,request,21,through,21,drive,20,schedulinghome,20,more,20,sleep,19,neuromusculoskeletal,17,their,16,integrated,16,internal,15,estimate,15,current,15,about,15,pediatrics,15,7
count8,https://www.plannedparenthood.org/health-center/oregon/bend/97701/bend-health-center-2373-91400,14,planned,268,parenthood,266,your,154,var,127,you,117,label,102,health,98,solid,96,this,84,instanceof,82,else,73,---,73,our,70,years,61,get,59,abortion,55,main,53,care,53,choose,51,new,50,services,49,about,46,search,45,seconds,41,ago,41,can,39,video,38,more,36,find,35,please,35,function,34,have,33,return,33,control,31,birth,30,border-color,30,default,29,email,28,all,27,let,27,error,27,contact,25,background,25,background-color,25,information,24,donate,24,access,24,how,23,toggle,23,navigation,23,loading,23,center,23,opacity,22,field,22,when,22,form,22,research,21,action,21,first,21,follow,21,out,21,sexual,20,insurance,20,gift,20,color,20,learn,20,involved,19,appointment,19,screen,18,year,18,policy,18,does,17,set,17,code,17,other,17,call,17,sex,17,donor,16,bans,15,off,15,reproductive,15,infinite,15,data,15,columbia,15,state,15,ease,15,now,15,add,15,any,15,lever-fadein,14,open,14,senior,14,advocacy,14,vice,14,used,14,day,14,north,14,what,14,development,14,use,14,not,13,const,13,online,13,provider,13,only,13,mail,13,value,13,path,13,make,13,name,12,chief,12,take,12,blog,12,division,12,great,12,general,12,bodies,12,federation,12,help,12,user,12,give,12,mypostrender,12,select,12,under,12,enter,12,privacy,12,after,12,affiliate,12,share,12,office,11,see,11,know,11,want,11,cart,11,willamette,11,officer,11,forms,11,membership,11,one,11,questions,11,through,11,pregnancy,11,right,10,method,10,target,10,español,10,participate,10,tax-deductible,10,available,10,change,10,fill,10,checkbox,10,products,10,may,10,resharper,10,hide,10,page,10,zip,10,service,10,box-shadow,10,custom,10,volunteer,10,card,10,show,10,sign,10,back,9,rights,9,terms,9,shimmer,9,book,9,button,9,left,9,rotate-infinite,9,lever-fadeout,9,lever-slidedown,9,lever-slideup,9,toastfadein,9,fade-in,9,fade-out,9,schedule,9,img,9,provide,9,attacks,9,who,9,check,9,digital,9,normal,9,just,9,selected,9,display,9,down,9,months,9,none,9,also,9,last,8,google,8,ppfa,8,span,8,most,8,circle,8,8
