,token,Total0,Total1,Total2
0,'apple,0.0,0.0,3.0
1,'appropriate,3.0,0.0,0.0
2,'as,2.0,0.0,0.0
3,'at,1.0,0.0,0.0
4,'congratulations,1.0,0.0,0.0
5,'exit,0.0,0.0,1.0
6,'expand,0.0,0.0,1.0
7,'fake,1.0,0.0,0.0
8,'finding,4.0,0.0,0.0
9,'google,3.0,0.0,0.0
10,'government,1.0,0.0,0.0
11,'in,1.0,0.0,0.0
12,'initial',2.0,0.0,0.0
13,'location,4.0,0.0,0.0
14,'many,1.0,0.0,0.0
15,'mazel,1.0,0.0,0.0
16,'mute',1.0,0.0,0.0
17,'my,1.0,0.0,0.0
18,'product,1.0,0.0,0.0
19,'recipient,1.0,0.0,0.0
20,'script,2.0,0.0,0.0
21,'segoe,0.0,0.0,9.0
22,'select,4.0,0.0,0.0
23,'select',4.0,0.0,0.0
24,'thank,1.0,0.0,0.0
25,'there,4.0,0.0,0.0
26,'thinking,1.0,0.0,0.0
27,'use,6.0,0.0,0.0
28,aaron,0.0,0.0,6.0
29,abbot,0.0,0.0,2.0
30,abbott,0.0,0.0,2.0
31,abbreviated,0.0,0.0,2.0
32,abby,0.0,0.0,2.0
33,abdomen,0.0,0.0,1.0
34,abdominal,0.0,0.0,9.0
35,abdominis,0.0,0.0,1.0
36,abdul,0.0,0.0,2.0
37,abide,0.0,0.0,2.0
38,abigail,0.0,0.0,6.0
39,ability,0.0,0.0,9.0
40,ablation,0.0,0.0,1.0
41,able,0.0,0.0,16.0
42,abnormal,0.0,0.0,9.0
43,abnormalities,0.0,0.0,1.0
44,abortion,54.0,0.0,5.0
45,abortions,5.0,0.0,0.0
46,abortion”,1.0,0.0,1.0
47,about,44.0,0.0,158.0
48,above,2.0,0.0,3.0
49,abraham,0.0,0.0,2.0
50,abrantes,0.0,0.0,4.0
51,abstinence,2.0,0.0,0.0
52,abuse,1.0,0.0,11.0
53,abuser,0.0,0.0,1.0
54,academic,0.0,0.0,27.0
55,academics,0.0,0.0,1.0
56,academy,0.0,0.0,5.0
57,accept,2.0,0.0,5.0
58,acceptance,0.0,0.0,2.0
59,accepted,1.0,0.0,2.0
60,accepting,1.0,0.0,7.0
61,accepts,0.0,0.0,1.0
62,access,23.0,0.0,44.0
63,accessed,0.0,0.0,2.0
64,accessible,0.0,0.0,3.0
65,accessing,0.0,0.0,4.0
66,accessories,1.0,0.0,0.0
67,accidentally,0.0,0.0,1.0
68,accommodate,1.0,0.0,1.0
69,accommodations,0.0,0.0,2.0
70,accompanied,0.0,0.0,1.0
71,accompany,0.0,0.0,5.0
72,accomplish,0.0,0.0,2.0
73,accordance,0.0,0.0,3.0
74,according,0.0,0.0,1.0
75,account,7.0,0.0,2.0
76,accountability,0.0,0.0,1.0
77,accountable,0.0,0.0,1.0
78,accounting,0.0,0.0,3.0
79,accounts,0.0,0.0,2.0
80,accounttoggle,1.0,0.0,0.0
81,account’,0.0,0.0,1.0
82,accreditation,0.0,0.0,1.0
83,accreditations,0.0,0.0,1.0
84,accredited,0.0,0.0,5.0
85,accumulation,0.0,0.0,1.0
86,accuracy,0.0,0.0,2.0
87,accurate,4.0,0.0,2.0
88,accurately,0.0,0.0,1.0
89,accurateness,0.0,0.0,1.0
90,accusantium,0.0,0.0,9.0
91,acetaminophen,0.0,0.0,2.0
92,acetate,0.0,0.0,1.0
93,ach,1.0,0.0,0.0
94,achieve,0.0,0.0,2.0
95,achieved,0.0,0.0,1.0
96,aching,0.0,0.0,1.0
97,acid,0.0,0.0,1.0
98,acknowledge,0.0,0.0,2.0
99,acne,0.0,0.0,1.0
100,acog,0.0,0.0,2.0
101,acquire,0.0,0.0,2.0
102,acquisition,0.0,0.0,1.0
103,across,4.0,0.0,13.0
104,act,0.0,0.0,4.0
105,acting,0.0,0.0,1.0
106,action,21.0,0.0,2.0
107,actionable,0.0,0.0,1.0
108,actions,1.0,0.0,0.0
109,actiontag,1.0,0.0,0.0
110,active,1.0,0.0,19.0
111,actively,0.0,0.0,1.0
112,activists,2.0,0.0,0.0
113,activities,0.0,0.0,7.0
114,activity,5.0,0.0,9.0
115,actual,0.0,0.0,1.0
116,acu,0.0,0.0,1.0
117,acute,0.0,0.0,8.0
118,adam,0.0,0.0,4.0
119,adcreate,1.0,0.0,0.0
