,token,Total0,Total1,Total2,Total3
0,'account,0.0,3.0,3.0,0.0
1,'american,0.0,1.0,1.0,0.0
2,'amount,0.0,1.0,1.0,0.0
3,'antigua,0.0,1.0,1.0,0.0
4,'appropriate,0.0,3.0,3.0,0.0
5,'as,0.0,2.0,2.0,0.0
6,'at,0.0,1.0,1.0,0.0
7,'bosnia,0.0,1.0,1.0,0.0
8,'bouvet,0.0,1.0,1.0,0.0
9,'british,0.0,1.0,1.0,0.0
10,'brunei,0.0,1.0,1.0,0.0
11,'burkina,0.0,1.0,1.0,0.0
12,'button',0.0,1.0,1.0,0.0
13,'cape,0.0,1.0,1.0,0.0
14,'cayman,0.0,1.0,1.0,0.0
15,'central,0.0,1.0,1.0,0.0
16,'christmas,0.0,1.0,1.0,0.0
17,'cocos,0.0,1.0,1.0,0.0
18,'congratulations,0.0,1.0,1.0,0.0
19,'continue',0.0,1.0,1.0,0.0
20,'cook,0.0,1.0,1.0,0.0
21,'copyrightcontainer,0.0,1.0,1.0,0.0
22,'costa,0.0,1.0,1.0,0.0
23,'cote,0.0,1.0,1.0,0.0
24,'croatia,0.0,1.0,1.0,0.0
25,'czech,0.0,1.0,1.0,0.0
26,'democratic,0.0,2.0,2.0,0.0
27,'district,0.0,1.0,1.0,0.0
28,'dominican,0.0,1.0,1.0,0.0
29,'east,0.0,1.0,1.0,0.0
30,'el,0.0,1.0,1.0,0.0
31,'email,0.0,3.0,3.0,0.0
32,'equatorial,0.0,1.0,1.0,0.0
33,'errorbox',0.0,2.0,2.0,0.0
34,'fake,0.0,1.0,1.0,0.0
35,'falkland,0.0,1.0,1.0,0.0
36,'faroe,0.0,1.0,1.0,0.0
37,'federated,0.0,1.0,1.0,0.0
38,'finding,0.0,4.0,4.0,0.0
39,'first,0.0,3.0,3.0,0.0
40,'french,0.0,3.0,3.0,0.0
41,'google,0.0,3.0,3.0,0.0
42,'government,0.0,1.0,1.0,0.0
43,'heard,0.0,1.0,1.0,0.0
44,'help',0.0,2.0,2.0,0.0
45,'hidden,0.0,1.0,1.0,0.0
46,'hiddenfield',0.0,3.0,3.0,0.0
47,'hiddenmd,0.0,8.0,8.0,0.0
48,'hiddenxs,0.0,5.0,5.0,0.0
49,'holy,0.0,1.0,1.0,0.0
50,'hong,0.0,1.0,1.0,0.0
51,'href',0.0,1.0,1.0,0.0
52,'image',0.0,3.0,3.0,0.0
53,'in,0.0,1.0,1.0,0.0
54,'inactivity,0.0,1.0,1.0,0.0
55,'initial',0.0,2.0,2.0,0.0
56,'label',0.0,1.0,1.0,0.0
57,'lao,0.0,1.0,1.0,0.0
58,'largetwelvecolumn,0.0,2.0,2.0,0.0
59,'last,0.0,3.0,3.0,0.0
60,'left',0.0,2.0,2.0,0.0
61,'link',0.0,1.0,1.0,0.0
62,'linkbuttoncontainer,0.0,2.0,2.0,0.0
63,'location,0.0,4.0,4.0,0.0
64,'log,0.0,5.0,5.0,0.0
65,'logout',0.0,1.0,1.0,0.0
66,'macau,0.0,1.0,1.0,0.0
67,'maincontent,0.0,1.0,1.0,0.0
68,'make,0.0,1.0,1.0,0.0
69,'many,0.0,1.0,1.0,0.0
70,'marshall,0.0,1.0,1.0,0.0
71,'mazel,0.0,1.0,1.0,0.0
72,'micronesia,0.0,1.0,1.0,0.0
73,'mute',0.0,1.0,1.0,0.0
74,'my,0.0,1.0,1.0,0.0
75,'netherlands,0.0,1.0,1.0,0.0
76,'new,0.0,6.0,6.0,0.0
77,'norfolk,0.0,1.0,1.0,0.0
78,'north,0.0,2.0,2.0,0.0
79,'northern,0.0,1.0,1.0,0.0
80,'off',0.0,1.0,1.0,0.0
81,'on',0.0,7.0,7.0,0.0
82,'palestinian,0.0,1.0,1.0,0.0
83,'papua,0.0,1.0,1.0,0.0
84,'patiententityid,0.0,1.0,1.0,0.0
85,'pay,0.0,1.0,1.0,0.0
86,'payment,0.0,3.0,3.0,0.0
87,'planned,0.0,1.0,1.0,0.0
88,'please,0.0,2.0,2.0,0.0
89,'privacy',0.0,2.0,2.0,0.0
90,'product,0.0,1.0,1.0,0.0
91,'puerto,0.0,1.0,1.0,0.0
92,'recipient,0.0,1.0,1.0,0.0
93,'republic,0.0,1.0,1.0,0.0
94,'rhode,0.0,1.0,1.0,0.0
95,'right',0.0,7.0,7.0,0.0
96,'russian,0.0,1.0,1.0,0.0
97,'saint,0.0,5.0,5.0,0.0
98,'san,0.0,1.0,1.0,0.0
99,'sao,0.0,1.0,1.0,0.0
100,'saudi,0.0,1.0,1.0,0.0
101,'script,0.0,2.0,2.0,0.0
102,'script',0.0,1.0,1.0,0.0
103,'secondary,0.0,2.0,2.0,0.0
104,'select,0.0,4.0,4.0,0.0
105,'select',0.0,4.0,4.0,0.0
106,'sierra,0.0,1.0,1.0,0.0
107,'sign,0.0,2.0,2.0,0.0
108,'solomon,0.0,1.0,1.0,0.0
109,'south,0.0,3.0,3.0,0.0
110,'spacer',0.0,22.0,22.0,0.0
111,'src',0.0,1.0,1.0,0.0
112,'sri,0.0,2.0,2.0,0.0
113,'string',0.0,4.0,4.0,0.0
114,'stylesheet',0.0,1.0,1.0,0.0
115,'svalbard,0.0,1.0,1.0,0.0
116,'syrian,0.0,1.0,1.0,0.0
117,'terms',0.0,2.0,2.0,0.0
118,'thank,0.0,1.0,1.0,0.0
119,'there,0.0,4.0,4.0,0.0
120,'thinking,0.0,1.0,1.0,0.0
121,'trinidad,0.0,1.0,1.0,0.0
122,'turks,0.0,1.0,1.0,0.0
123,'united,0.0,6.0,6.0,0.0
124,'unmik,0.0,1.0,1.0,0.0
125,'use,0.0,6.0,6.0,0.0
126,'validationsummary',0.0,1.0,1.0,0.0
127,'viet,0.0,1.0,1.0,0.0
128,'virgin,0.0,1.0,1.0,0.0
129,'walletpatiententityid,0.0,1.0,1.0,0.0
130,'wallis,0.0,1.0,1.0,0.0
131,'west,0.0,1.0,1.0,0.0
132,'western,0.0,1.0,1.0,0.0
133,abortion,0.0,61.0,62.0,0.0
134,abortions,0.0,5.0,5.0,0.0
135,abortion”,0.0,1.0,1.0,0.0
136,about,0.0,45.0,45.0,0.0
137,above,0.0,2.0,2.0,0.0
138,absolute,0.0,1.0,1.0,0.0
139,abstinence,0.0,2.0,2.0,0.0
140,abuse,0.0,1.0,1.0,0.0
141,accept,0.0,1.0,1.0,0.0
142,access,0.0,24.0,24.0,0.0
143,accessories,0.0,1.0,1.0,0.0
144,account,0.0,8.0,8.0,0.0
145,accounttoggle,0.0,1.0,1.0,0.0
146,accurate,0.0,3.0,3.0,0.0
147,ach,0.0,1.0,1.0,0.0
148,across,0.0,2.0,2.0,0.0
149,action,0.0,21.0,21.0,0.0
150,actions,0.0,1.0,1.0,0.0
151,actiontag,0.0,1.0,1.0,0.0
152,active,0.0,1.0,1.0,0.0
153,activists,0.0,2.0,2.0,0.0
154,activity,0.0,5.0,5.0,0.0
155,adcreate,0.0,1.0,1.0,0.0
156,add,0.0,15.0,15.0,0.0
157,addednodes,0.0,1.0,1.0,0.0
158,additional,0.0,8.0,8.0,0.0
159,addms,0.0,1.0,1.0,0.0
160,address,0.0,6.0,6.0,0.0
161,addresses,0.0,1.0,1.0,0.0
162,adds,0.0,5.0,5.0,0.0
163,adhere,0.0,1.0,1.0,0.0
164,administrationnew,0.0,1.0,1.0,0.0
165,ads,0.0,2.0,2.0,0.0
166,advance,0.0,2.0,2.0,0.0
167,advanced,0.0,1.0,1.0,0.0
168,advances,0.0,1.0,1.0,0.0
169,advancing,0.0,2.0,2.0,0.0
170,advocacy,0.0,12.0,12.0,0.0
171,advocate,0.0,1.0,1.0,0.0
172,aetna,0.0,1.0,1.0,0.0
173,aff,0.0,3.0,3.0,0.0
174,affilate,0.0,2.0,2.0,0.0
175,affiliate,0.0,13.0,13.0,0.0
176,affiliatecode,0.0,2.0,2.0,0.0
177,affiliatecodelocation,0.0,1.0,1.0,0.0
178,affiliateid,0.0,4.0,4.0,0.0
179,affiliation,0.0,1.0,1.0,0.0
180,affordable,0.0,5.0,5.0,0.0
181,africa,0.0,1.0,1.0,0.0
182,african,0.0,1.0,1.0,0.0
183,after,0.0,11.0,10.0,0.0
184,again,0.0,2.0,2.0,0.0
185,against,0.0,2.0,2.0,0.0
186,age,0.0,6.0,6.0,0.0
187,agent,0.0,5.0,5.0,0.0
188,ago,0.0,41.0,41.0,0.0
189,agree,0.0,1.0,1.0,0.0
190,ahead,0.0,2.0,1.0,0.0
191,alerts,0.0,2.0,2.0,0.0
192,all,0.0,30.0,29.0,0.0
193,allow,0.0,1.0,1.0,0.0
194,allowable,0.0,6.0,6.0,0.0
195,allows,0.0,3.0,3.0,0.0
196,already,0.0,1.0,1.0,0.0
197,also,0.0,10.0,10.0,0.0
198,always,0.0,8.0,8.0,0.0
199,amazing,0.0,1.0,1.0,0.0
200,america,0.0,6.0,6.0,0.0
201,america's,0.0,2.0,2.0,0.0
202,america’s,0.0,1.0,1.0,0.0
203,amount,0.0,4.0,4.0,0.0
204,analystnyc,0.0,1.0,1.0,0.0
205,analytics,0.0,2.0,2.0,0.0
206,anatomy,0.0,2.0,2.0,0.0
207,anillo,0.0,2.0,2.0,0.0
208,annual,0.0,3.0,3.0,0.0
209,anonymous,0.0,2.0,2.0,0.0
210,another,0.0,1.0,1.0,0.0
211,answer,0.0,1.0,1.0,0.0
212,answering,0.0,2.0,2.0,0.0
213,answers,0.0,4.0,4.0,0.0
214,anticonceptivo,0.0,1.0,1.0,0.0
215,any,0.0,18.0,17.0,0.0
216,anything,0.0,1.0,1.0,0.0
217,anytime,0.0,1.0,0.0,0.0
218,api,0.0,1.0,1.0,0.0
219,app,0.0,7.0,7.0,0.0
220,apparel,0.0,1.0,1.0,0.0
221,appear,0.0,2.0,2.0,0.0
222,appends,0.0,2.0,2.0,0.0
223,applicant,0.0,1.0,1.0,0.0
224,apply,0.0,1.0,1.0,0.0
225,appointment,0.0,16.0,13.0,0.0
