,token,Total0,Total1,Total2
0,center,0.0,0.0,22.0
1,details,0.0,0.0,3.0
2,parenthood,0.0,0.0,269.0
3,association,0.0,0.0,12.0
4,health,0.0,0.0,94.0
5,new,0.0,0.0,57.0
6,family,0.0,0.0,1.0
7,planning,0.0,0.0,1.0
8,abortion,0.0,0.0,52.0
9,clinic,0.0,0.0,6.0
10,salt,0.0,0.0,12.0
11,lake,0.0,0.0,15.0
12,'use,0.0,0.0,6.0
13,current,0.0,0.0,11.0
14,'there,0.0,0.0,4.0
15,problem,0.0,0.0,4.0
16,finding,0.0,0.0,4.0
17,your,0.0,0.0,232.0
18,please,0.0,0.0,51.0
19,enter,0.0,0.0,10.0
20,'finding,0.0,0.0,4.0
21,'location,0.0,0.0,4.0
22,wear,0.0,0.0,2.0
23,cloth,0.0,0.0,1.0
24,face,0.0,0.0,1.0
25,you,0.0,0.0,274.0
26,have,0.0,0.0,58.0
27,cough,0.0,0.0,1.0
28,shortness,0.0,0.0,1.0
29,call,0.0,0.0,23.0
30,reschedule,0.0,0.0,1.0
31,content,0.0,0.0,31.0
32,navigation,0.0,0.0,21.0
33,site,0.0,0.0,23.0
34,search,0.0,0.0,46.0
35,homepage,0.0,0.0,4.0
36,español,0.0,0.0,10.0
37,learn,0.0,0.0,20.0
38,blog,0.0,0.0,12.0
39,ask,0.0,0.0,9.0
40,experts,0.0,0.0,5.0
41,birth,0.0,0.0,29.0
42,control,0.0,0.0,35.0
43,cancer,0.0,0.0,4.0
44,emergency,0.0,0.0,5.0
45,contraception,0.0,0.0,6.0
46,wellness,0.0,0.0,5.0
47,pregnancy,0.0,0.0,8.0
48,sexual,0.0,0.0,20.0
49,dysfunction,0.0,0.0,4.0
50,orientation,0.0,0.0,4.0
51,gender,0.0,0.0,4.0
52,identity,0.0,0.0,4.0
53,relationships,0.0,0.0,4.0
54,consent,0.0,0.0,9.0
55,assault,0.0,0.0,6.0
56,sexually,0.0,0.0,4.0
57,transmitted,0.0,0.0,4.0
58,infections,0.0,0.0,4.0
59,glossary,0.0,0.0,5.0
60,teens,0.0,0.0,4.0
61,parents,0.0,0.0,4.0
62,educators,0.0,0.0,6.0
63,get,0.0,0.0,68.0
64,care,0.0,0.0,57.0
65,schedule,0.0,0.0,9.0
66,appointment,0.0,0.0,12.0
67,online,0.0,0.0,22.0
68,planned,0.0,0.0,270.0
69,app,0.0,0.0,7.0
70,find,0.0,0.0,35.0
71,our,0.0,0.0,128.0
72,services,0.0,0.0,100.0
73,insurance,0.0,0.0,22.0
74,spot,0.0,0.0,7.0
75,involved,0.0,0.0,20.0
76,donate,0.0,0.0,25.0
77,ways,0.0,0.0,7.0
78,give,0.0,0.0,11.0
79,jobs,0.0,0.0,6.0
80,volunteering,0.0,0.0,4.0
81,take,0.0,0.0,16.0
82,action,0.0,0.0,24.0
83,contact,0.0,0.0,33.0
84,donor,0.0,0.0,16.0
85,shop,0.0,0.0,9.0
86,open,0.0,0.0,15.0
87,overview,0.0,0.0,6.0
