index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.richmondmedctrforwomen.com/locations/,6,section,1098,color,960,background,360,builder,354,beaver,354,button,330,woocommerce,246,hover,222,border,186,dual,180,text,168,footer,126,link,108,icon,108,navigation,102,product,90,span,84,header,78,widget,72,heading,66,forms,60,mini,60,cart,60,menu,60,your,58,title,54,typography,54,general,54,price,48,parallax,48,center,42,submenu,42,callout,42,abortion,40,medical,40,message,36,bar,36,transparent,36,auto,36,you,36,women,33,contact,31,tbody,30,screen,30,table,30,it’s,30,main,30,top,30,still,30,active,30,site,30,only,25,solid,24,gradient,24,info,24,accordion,24,sans-serif,24,back,24,content,24,input,24,locations,20,consent,18,body,18,image,18,none,18,breadcrumbs,18,search,18,box,18,middle,18,inherit,18,field,18,social,18,right,17,other,17,over,16,home,15,choose,15,fees,15,resources,15,choice,14,protecting,14,virginia,14,informed,14,have,13,child,13,next,13,procedure,13,boxshadow,12,"""bubbler""",12,success,12,fix,12,linear,12,pagination,12,generation,12,weeks,12,zoom,12,post,12,mobile,12,shop,12,may,12,styles,12,description,12,count,12,focus,12,secondary,12,badge,12,"""josefin""",12,skip,12,tab,12,category,12,divider,12,sale,12,single,12,richmond,11,this,10,all,9,years,9,day,9,pregnancy,8,then,8,trimester,8,review,8,some,7,area,7,remove,7,surgical,7,target,6,time,6,first,6,comment,6,sitewide,6,sticky,6,during,6,below,6,textarea,6,thumbnail,6,file,6,physician,6,flipbox,6,above,6,head,6,stunning,6,figcaption,6,new,6,pre,6,legend,6,cta,6,boulevard,6,icons,6,womenbecause,6,nav,6,inline,6,var,6,auto-generated,6,alignment,6,clinic,6,toggle,6,separator,6,issue,6,copyright,6,rating,6,colorful,6,green,6,paragraph,6,who,6,shadow,6,convenient,6,star,6,fieldset,6,stylish,6,medication,5,speak,5,about,5,occur,5,well,5,which,5,assistance,5,roanoke,5,any,5,asleep,4,options,4,newport,4,ave,4,uterus,4,but,4,jefferson,4,office,4,peninsula,4,early,4,last,4,serve,4,services,4,north,4,there,4,hospital,4,also,4,three,4,alternatives,3,offer,3,they,3,1
count10,http://www.alexandriawomensclinic.com/,22,your,415,you,404,abortion,366,pregnancy,322,gynecology,267,function,253,our,250,health,232,clinic,179,var,168,not,167,about,165,services,156,testing,155,patient,143,may,141,insurance,132,email,126,can,126,keyvalue,126,home,125,contact,124,care,116,women’s,116,have,115,please,110,information,109,payment,105,staff,90,faq,89,tests,88,womens,85,birth,76,privacy,75,more,75,another,71,this,70,fees,67,serving,64,username,63,beyond,63,select,63,nan,63,proudly,63,password,63,lang,63,none,63,control,63,should,61,alexandria,60,been,55,choose,55,test,53,facility,53,but,52,when,50,myths,50,multi-lingual,49,after,49,choosing,49,take,48,resources,48,learn,47,already,46,medical,46,minutes,46,any,46,least,45,directions,45,make,45,urine,45,address,45,first,44,must,44,in-office,44,blood,44,call,44,here,43,provide,43,what,43,use,43,disclaimer,43,ieusers,42,reset,42,doctor,42,patients,42,click,41,most,40,iihi,39,before,38,choice,37,all,37,time,36,women,35,partners,35,during,35,how,33,which,33,also,33,they,32,website,32,some,32,important,31,provides,31,does,31,other,30,uses,29,accept,29,there,29,new,29,site,28,verify,28,help,27,surgical,26,wait,26,questions,25,disclose,25,check,25,file,25,closed,25,type,25,several,25,because,24,appointment,24,their,24,sherwood,23,request,23,illegal,23,following,23,suite,23,regarding,23,requires,23,hall,23,enter,23,than,23,seems,23,sent,22,"""womens""",22,show,22,content,22,skip,22,seo,22,valid,21,auto-generated,21,api,21,early,21,secret,21,php,21,elementorfrontendconfig,21,attempting,21,one,21,options,21,only,21,ectopic,21,solid,21,good,21,character,21,border-color,21,such,21,version,21,inline,21,inset,21,characters,21,pplogin,21,ppcoupons,21,captcha,21,"""ltr""",21,box-shadow,21,woman,21,invalid,21,ppregistration,21,contain,21,"""text""",21,recaptcha,21,key,21,need,21,pill,20,whether,20,day,20,used,20,many,19,professional,19,best,19,pain,19,accurate,18,treatment,18,called,18,weeks,17,through,17,office,17,egg,17,quality,17,termination,17,right,17,confidentiality,16,hcg,16,private,16,sonogram,16,who,16,very,16,8
count11,https://www.plannedparenthood.org/health-center/virginia/hampton/23666/hampton-health-center-4164-91750,13,planned,266,parenthood,256,your,149,you,114,var,100,label,97,solid,96,health,89,instanceof,82,else,73,this,71,our,68,---,67,years,61,get,57,care,51,choose,49,abortion,49,new,48,search,45,main,44,about,42,ago,41,seconds,41,can,40,video,39,services,37,please,35,have,34,more,32,function,31,border-color,30,access,28,control,28,find,28,let,27,all,27,default,27,birth,26,email,26,background,25,follow,25,donate,25,background-color,25,return,24,when,24,error,23,loading,23,insurance,22,opacity,22,sexual,21,research,21,toggle,21,navigation,21,action,21,field,21,form,20,contact,20,learn,20,out,20,how,19,information,19,gift,19,involved,18,color,18,policy,18,screen,18,year,18,center,17,call,17,other,17,does,17,online,17,any,16,set,16,sex,16,infinite,15,code,15,off,15,use,15,first,15,bans,15,ease,15,appointment,15,only,14,make,14,vice,14,open,14,development,14,senior,14,what,14,lever-fadein,14,state,14,not,13,league,13,mail,13,reproductive,13,know,13,const,13,add,13,affiliate,13,data,13,used,13,path,13,take,13,yale,12,great,12,now,12,want,12,user,12,through,12,bodies,12,value,12,chief,12,north,12,blog,12,provider,11,name,11,privacy,11,cart,11,select,11,donor,11,need,11,general,11,office,11,one,11,advocacy,11,officer,11,virginia,11,change,10,products,10,share,10,under,10,give,10,enter,10,participate,10,help,10,show,10,box-shadow,10,card,10,target,10,after,10,method,10,federation,10,zip,9,see,9,terms,9,rotate-infinite,9,back,9,fade-in,9,shimmer,9,day,9,selected,9,fade-out,9,toastfadein,9,provide,9,lever-slideup,9,normal,9,attacks,9,display,9,mypostrender,9,right,9,months,9,states,9,service,9,img,9,left,9,fill,9,button,9,may,9,questions,9,lever-fadeout,9,pregnancy,9,lever-slidedown,9,rights,9,impact,9,book,9,digital,9,closed,8,data-close,8,check,8,messages,8,hollow,8,gender,8,none,8,read,8,also,8,store,8,most,8,just,8,shop,8,link,8,google,8,hide,8,top,8,circle,8,local,8,always,8,sticky,8,legal,8,9
count12,https://www.plannedparenthood.org/health-center/virginia/virginia-beach/23462/virginia-beach-health-center-4166-91750,14,planned,273,parenthood,264,your,161,var,127,you,119,label,102,solid,96,health,90,this,86,instanceof,82,our,74,---,73,else,73,years,61,get,58,main,53,choose,51,abortion,51,care,50,new,50,search,45,about,45,can,43,seconds,41,ago,41,services,40,video,39,have,37,please,36,function,34,return,33,more,33,border-color,30,default,29,find,29,access,28,control,28,let,27,error,27,all,27,email,27,birth,26,virginia,26,follow,25,background-color,25,when,25,background,25,donate,25,contact,24,form,23,loading,23,opacity,22,how,22,insurance,22,information,22,field,21,out,21,action,21,research,21,sexual,21,gift,21,toggle,21,navigation,21,learn,20,color,20,policy,19,call,19,does,18,any,18,other,18,year,18,involved,18,screen,18,sex,17,center,17,online,17,set,17,donor,16,reproductive,16,code,16,infinite,15,use,15,ease,15,bans,15,data,15,state,15,first,15,add,15,only,15,appointment,15,make,15,off,15,open,14,vice,14,lever-fadein,14,not,14,know,14,what,14,senior,14,used,14,development,14,const,13,take,13,value,13,mail,13,affiliate,13,league,13,path,13,privacy,13,user,12,federation,12,bodies,12,blog,12,chief,12,through,12,great,12,advocacy,12,under,12,want,12,select,12,north,12,mypostrender,12,name,12,now,12,share,12,newtown,12,questions,11,office,11,one,11,officer,11,general,11,provider,11,help,11,membership,11,cart,11,need,11,hide,10,terms,10,may,10,custom,10,participate,10,after,10,tax-deductible,10,enter,10,target,10,show,10,box-shadow,10,method,10,checkbox,10,change,10,card,10,give,10,provide,10,products,10,resharper,10,none,9,shimmer,9,attacks,9,pregnancy,9,book,9,digital,9,rotate-infinite,9,see,9,volunteer,9,left,9,also,9,display,9,selected,9,check,9,button,9,img,9,toastfadein,9,impact,9,lever-fadeout,9,zip,9,lever-slidedown,9,service,9,lever-slideup,9,forms,9,sign,9,normal,9,back,9,day,9,rights,9,fill,9,months,9,fade-out,9,states,9,right,9,fade-in,9,protect,8,hollow,8,fullest,8,local,8,legal,8,google,8,top,8,span,8,data-close,8,always,8,10
count13,https://www.plannedparenthood.org/health-center/virginia/richmond/23223/east-end-health-center-2680-91750,14,planned,273,parenthood,264,your,160,var,127,you,118,label,102,solid,96,health,89,this,86,instanceof,82,---,73,else,73,our,73,years,61,get,58,main,53,abortion,51,care,51,choose,51,new,50,about,45,search,45,can,43,services,42,ago,41,seconds,41,video,39,have,36,please,35,function,34,more,33,return,33,border-color,30,control,29,default,29,find,29,all,28,access,28,birth,27,let,27,error,27,email,27,background-color,25,background,25,follow,25,donate,25,when,24,contact,24,loading,23,form,23,information,22,insurance,22,opacity,22,how,22,toggle,21,sexual,21,out,21,research,21,gift,21,field,21,navigation,21,action,21,color,20,learn,20,policy,19,call,19,screen,18,does,18,year,18,involved,18,online,17,set,17,other,17,center,17,any,17,sex,17,code,16,reproductive,16,donor,16,use,15,data,15,add,15,ease,15,state,15,off,15,bans,15,appointment,15,infinite,15,first,15,not,14,make,14,used,14,know,14,senior,14,development,14,vice,14,lever-fadein,14,what,14,open,14,league,13,path,13,only,13,mail,13,privacy,13,value,13,const,13,affiliate,13,take,13,blog,12,federation,12,great,12,advocacy,12,want,12,bodies,12,user,12,through,12,share,12,under,12,select,12,name,12,now,12,north,12,chief,12,mypostrender,12,membership,11,one,11,questions,11,end,11,after,11,cart,11,help,11,general,11,officer,11,virginia,11,office,11,provider,11,may,10,enter,10,pregnancy,10,hide,10,give,10,need,10,custom,10,show,10,forms,10,box-shadow,10,card,10,resharper,10,method,10,products,10,change,10,participate,10,terms,10,checkbox,10,target,10,tax-deductible,10,service,9,zip,9,states,9,sign,9,button,9,lever-slidedown,9,rights,9,none,9,also,9,check,9,right,9,back,9,testing,9,shimmer,9,left,9,fade-out,9,rotate-infinite,9,normal,9,months,9,fade-in,9,lever-fadeout,9,digital,9,attacks,9,see,9,toastfadein,9,impact,9,day,9,volunteer,9,lever-slideup,9,selected,9,display,9,fill,9,provide,9,book,9,img,9,question,8,people,8,google,8,fullest,8,read,8,legal,8,hollow,8,local,8,gender,8,11
count3,http://www.capitalwomenshealth.com/,16,your,235,you,193,abortion,169,new,164,day,152,return,143,health,139,date,126,var,118,this,93,patient,93,function,89,clinic,87,paypal,86,have,81,year,80,month,80,days,80,sets,78,auto,78,weeks,77,capital,76,account,66,luteal,65,cycle,65,make,64,"""womens""",63,can,62,must,62,about,61,our,59,google,57,length,57,all,57,too,55,very,52,not,52,try,50,should,48,please,48,care,48,info,45,right,45,menstrual,45,donation,45,information,42,appointment,41,request,40,first,39,ovulation,39,whole,39,pill,39,none,39,review,39,validates,39,number,38,one,35,last,34,what,34,gift,34,time,33,valid,33,period,32,complete,32,donate,31,virginia,31,check,31,"""doesnt""",30,they,29,pregnancy,29,age,29,in-clinic,28,fetal,28,necessary,28,location,28,less,28,phone,27,former,27,other,27,financial,27,still,27,between,27,due,27,figure,26,starling,26,defaults,26,extremely,26,fetalage,26,long,26,short,26,aid,26,privacy,26,variables,26,objects,26,calculation,26,stressful,26,either,26,clean,26,get,25,enter,24,been,23,made,23,staff,23,use,23,else,23,state,22,tax,22,office,22,call,21,their,21,more,21,into,21,started,20,expect,20,others,20,help,20,card,19,any,19,may,19,address,19,instructions,19,agree,19,fee,18,includes,18,need,18,donating,18,schedule,18,medical,18,policy,18,button,18,great,18,like,17,form,17,today,17,best,17,invalid,17,here,17,following,17,rights,17,feel,17,create,16,because,16,through,16,hours,16,change,16,then,16,than,16,assistance,16,credit,16,dinar,16,experience,16,patients,16,again,16,it’s,16,woman’s,15,giving,15,payment,15,how,15,choice,15,safe,15,laws,15,donations,15,doctors,15,otherwise,15,closed,15,after,15,forms,15,comfortable,15,decision,15,women’s,15,entire,14,people,14,monday,14,false,14,requires,14,checks,14,friday,14,automatically,14,she,14,week,14,confirm,14,calm,13,trackingpagename,13,translate,13,variety,13,nice,13,matcharray,13,calculator,13,amazing,13,menstual,13,menstrualinput,13,track,13,offices,13,map,13,answers,13,way,13,african,13,left,13,phase,13,design,13,2
count4,https://www.plannedparenthood.org/health-center/virginia/charlottesville/22901/charlottesville-health-center-2815-90860,15,parenthood,269,planned,269,var,161,your,156,you,128,label,102,solid,97,health,88,this,85,instanceof,82,else,80,---,73,our,68,abortion,62,get,62,years,61,new,58,main,53,choose,51,care,49,search,45,about,45,services,43,ago,41,seconds,41,can,40,function,40,more,39,video,38,find,37,return,37,please,35,control,34,have,33,birth,32,border-color,30,all,29,default,29,contact,28,email,28,error,27,let,27,center,25,background-color,25,access,25,background,25,learn,24,donate,24,loading,23,when,23,navigation,23,"""spacer""",22,information,22,out,22,opacity,22,form,22,follow,22,research,21,south,21,toggle,21,action,21,field,21,color,20,how,20,gift,20,sexual,20,involved,19,policy,19,screen,18,call,18,any,18,make,18,not,18,insurance,18,year,18,set,17,sex,17,state,17,does,17,donor,16,"""x-button-link-style""",16,code,16,first,16,online,15,open,15,infinite,15,select,15,off,15,ease,15,atlantic,15,use,15,add,15,data,15,bans,15,mail,14,appointment,14,reproductive,14,only,14,used,14,vice,14,senior,14,north,14,what,14,name,14,development,14,lever-fadein,14,now,13,other,13,path,13,privacy,13,width,13,const,13,see,13,states,13,help,13,value,13,affiliate,13,take,12,mypostrender,12,federation,12,blog,12,great,12,chief,12,share,12,hydraulic,12,bodies,12,user,12,advocacy,12,one,12,under,12,give,11,provider,11,enter,11,cart,11,membership,11,general,11,want,11,pregnancy,11,rights,11,need,11,after,11,know,11,through,11,officer,11,office,11,method,11,resources,10,resharper,10,box-shadow,10,custom,10,sign,10,fill,10,grey,10,card,10,products,10,change,10,hide,10,terms,10,checkbox,10,show,10,target,10,closed,10,participate,10,tax-deductible,10,patient,10,back,9,rotate-infinite,9,selected,9,shimmer,9,volunteer,9,right,9,lever-slideup,9,fade-in,9,zip,9,fade-out,9,forms,9,español,9,toastfadein,9,img,9,display,9,digital,9,left,9,lever-fadeout,9,lever-slidedown,9,attacks,9,day,9,also,9,may,9,months,9,contraception,9,none,9,normal,9,check,9,protect,9,questions,9,button,9,sticky,8,always,8,store,8,they,8,3
count5,https://www.wholewomanshealth.com/clinic/alexandria/,25,abortion,1719,clinic,498,pill,491,var,308,near,295,"""womans""",285,whole,248,health,235,does,232,alexandria,231,much,231,cost,230,charlottesville,226,baltimore,210,how,200,care,200,your,192,our,177,bloomington,170,you,139,delivery,138,new,126,plang,120,south,106,mail,106,fort,101,vavirtual,98,vaabortion,85,mnabortion,85,bend,74,worth,73,pills,71,all,70,mckinney,68,mcallen,67,healthcare,66,austin,64,call,61,woman’s,60,mdabortion,57,pregnancy,56,function,54,providing,54,including,53,asked,51,virtual,50,reproductive,49,mnvirtual,48,get,48,txsan,48,mdvirtual,48,search,48,txfort,48,mdglen,48,innew,48,vaonline,48,vatelehealth,48,mnbrooklyn,48,…read,45,services,44,online,43,more,43,trimester,42,medication,42,visit,42,provide,41,appointment,41,rights,39,about,39,their,38,have,37,master,36,there,35,birth,32,counseling,32,own,30,committed,30,moreseptember,30,offers,30,taken,30,second,30,can,30,everyone,30,high-quality,29,staff,28,provider,28,everything,28,abortiongynecology,27,caremedication,27,abortionfrequently,27,abortionafter,27,mailfirst,27,testimonialsmore,27,proceduresself-managed,27,visitabortion,27,questionssafety,27,careabortion,27,mepatient,27,select,26,clinicabortion,26,weeks,26,pay,26,separator,26,open,26,required,26,supreme,25,need,25,mnonline,25,mexicovirginiaabortion,24,mdmiddle,24,bear,24,mdfort,24,mexicosan,24,vasouth,24,mexicodurango,24,mdellicott,24,txcollege,24,mdcamp,24,vastuarts,24,mexicochihuahua,24,vazion,24,then,24,advocacyour,24,ttduniversalpixelapi,24,mdtelehealth,24,mibenton,24,usemail,24,mdtemple,24,arewho,24,universalpixelapi,24,txsulphur,24,txsugar,24,mdbel,24,aremessage,24,areas,24,mdoxon,24,useprivacy,24,txtraveling,24,mdwhite,24,mdowings,24,txrio,24,vadale,24,txmineral,24,txmarble,24,txla,24,vafalls,24,vafront,24,mdonline,24,newscommunity,24,careclinics,24,litigationour,24,generatepressbacktotop,24,generatepressmenu,24,generatepressnavsearch,24,louis,24,mnwhite,24,grande,24,grove,24,policycontact,24,look,24,localize,24,llc,24,historic,24,caredonatein,24,paypal,24,linksfind,24,pasouth,24,hubfind,24,languagearabicchinese,24,optionswho,24,inla,24,inmichigan,24,newscareersterms,24,innorth,24,inquiries,24,mntelehealth,24,founderin,24,mnsaint,24,actionblogshare,24,careplan,24,mnapple,24,clinicssitemapcontact,24,storycareersfollow,24,const,24,invirtualabortion,24,mncoon,24,mncottage,24,mneden,24,skip,24,court,24,simplebannerscriptparams,24,servedcorpus,24,mnelk,24,safe,24,mninver,24,reserved,24,mnmaple,24,elementorfrontendconfig,24,reporter,24,mnprior,24,4
count6,https://www.plannedparenthood.org/health-center/virginia/richmond/23221/hamilton-health-center-3913-91750,13,planned,266,parenthood,256,your,149,you,114,var,100,label,97,solid,96,health,89,instanceof,82,else,73,this,71,our,68,---,67,years,61,get,57,care,51,choose,49,abortion,49,new,48,search,45,main,44,about,42,ago,41,seconds,41,can,40,video,39,services,37,please,35,have,34,more,32,function,31,border-color,30,find,28,access,28,control,28,default,27,let,27,all,27,email,26,birth,26,follow,25,background,25,donate,25,background-color,25,when,24,return,24,error,23,loading,23,insurance,22,opacity,22,sexual,21,field,21,navigation,21,action,21,toggle,21,research,21,form,20,contact,20,learn,20,out,20,gift,19,how,19,information,19,policy,18,color,18,involved,18,screen,18,year,18,other,17,call,17,online,17,center,17,does,17,any,16,set,16,sex,16,infinite,15,code,15,use,15,first,15,hamilton,15,ease,15,appointment,15,off,15,bans,15,vice,14,senior,14,development,14,state,14,open,14,lever-fadein,14,only,14,make,14,what,14,const,13,not,13,know,13,used,13,league,13,path,13,add,13,affiliate,13,take,13,mail,13,data,13,reproductive,13,user,12,blog,12,want,12,north,12,bodies,12,through,12,great,12,chief,12,now,12,value,12,general,11,privacy,11,virginia,11,select,11,office,11,officer,11,provider,11,advocacy,11,need,11,name,11,one,11,cart,11,donor,11,target,10,enter,10,method,10,card,10,change,10,federation,10,under,10,share,10,box-shadow,10,after,10,help,10,products,10,show,10,participate,10,give,10,rights,9,provide,9,selected,9,mypostrender,9,may,9,normal,9,pregnancy,9,lever-fadeout,9,lever-slidedown,9,img,9,see,9,lever-slideup,9,zip,9,back,9,attacks,9,questions,9,months,9,shimmer,9,fade-out,9,rotate-infinite,9,right,9,service,9,fade-in,9,toastfadein,9,book,9,terms,9,button,9,left,9,digital,9,fill,9,day,9,impact,9,display,9,states,9,messages,8,just,8,also,8,link,8,always,8,store,8,local,8,data-close,8,legal,8,sticky,8,check,8,google,8,none,8,shop,8,hollow,8,most,8,read,8,campaigns,8,hide,8,circle,8,gender,8,top,8,5
count7,http://www.yourchoice-va.com/,1,abortion,15,tidewater,13,health,13,"""womens""",13,offer,9,our,8,font,8,this,7,clinica,7,serviceswe,6,open,5,version,5,you,5,sil,5,license,4,affordable,3,staff,3,licensed,3,services,3,patients,3,your,3,abortionmedical,3,patient,3,all,3,confidential,3,pillother,3,website,3,servicescontact,3,under,3,copyright,3,very,3,clinic,3,assist,2,provide,2,norfolk,2,also,2,make,2,trained,2,birth,2,faq,2,use,2,copied,2,servicesspecializing,2,available,2,software,2,weeks,2,only,2,february,2,chooses,1,return,1,clinichomein-clinic,1,initial,1,whether,1,mastercard,1,better,1,accepting,1,scheduling,1,pregnancy,1,speak,1,never,1,data,1,making,1,clinical,1,quality,1,"""its""",1,screen,1,lukasz,1,guarantee,1,information,1,homein-clinic,1,payments,1,private,1,uses,1,solid,1,adoption,1,time,1,messages,1,member,1,authors,1,specializes,1,nurses,1,informed,1,traffic,1,procedures,1,personal,1,control,1,non-surgical,1,seen,1,hard,1,name,1,visits,1,medical,1,dziedzic,1,provided,1,counseling,1,next,1,help,1,facility,1,rights,1,accept,1,visit-out,1,assisting,1,project,1,aggregated,1,thank,1,appointment,1,one,1,friendly,1,ultrasound,1,analyze,1,hours,1,typoland,1,team,1,receive,1,sizing,1,knowledgeable,1,expected,1,goal,1,realize,1,godaddy,1,environment,1,how,1,other,1,offered,1,business,1,any,1,can,1,optimize,1,regarding,1,surgical,1,call,1,difficult,1,modern,1,answering,1,dignity,1,cabin,1,excellent,1,monday,1,operation,1,function,1,morehomein-clinic,1,cookies,1,reserved,1,kept,1,allowing,1,urine,1,tests,1,objective,1,morning,1,follow-up,1,important,1,in-clinic,1,user,1,twilight,1,playing,0,physician,0,plymouth,0,plus,0,pleased,0,please,0,place,0,physical,0,period-tracking,0,phyisicians,0,pmsaturday,0,periods,0,playback,0,physicians,0,pocket,0,pmsunday,0,physicianyour,0,point,0,pick,0,physician’s,0,pictures,0,podría,0,performing,0,performs,0,pill,0,perimenopause,0,"""physicians""",0,piece,0,pierre,0,period,0,platform,0,php,0,periodshot,0,plants,0,phase,0,pin,0,places,0,personnel,0,person–,0,pink,0,person’s,0,placement,0,pervasive,0,photos,0,peseta,0,pesetas,0,6
