index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center/washington/everett/98201/everett-health-center-2994-91810,16,var,381,"""spacer""",334,planned,292,parenthood,291,your,260,"""x-button-link-style""",241,else,158,you,155,grey,150,width,126,"""hiddenmd""",120,health,120,"""x-ma""",119,function,105,"""right""",105,white,105,label,102,instanceof,99,solid,97,this,96,new,93,"""hiddenxs""",90,our,83,"""log""",77,---,73,care,73,all,63,"""on""",63,abortion,61,years,61,search,61,get,60,hiddenxs,60,return,59,services,59,main,53,choose,51,please,51,can,47,about,46,hiddensm,45,more,43,have,43,first,42,name,41,seconds,41,ago,41,rights,41,onclick,40,video,38,event,37,birth,37,great,36,"""sign""",35,email,34,control,34,find,34,what,33,form,33,field,33,"""terms""",30,mediumtwelvecolumn,30,contact,30,"""linkbuttoncontainer""",30,nan,30,"""left""",30,xsmalltwelvecolumn,30,"""largetwelvecolumn""",30,"""privacy""",30,"""help""",30,"""ma-lock-outline""",30,information,30,border-color,30,action,30,dark-grey,30,donate,29,let,29,default,29,error,29,insurance,28,center,28,access,28,not,27,when,27,does,27,enter,26,value,26,sign,25,learn,25,provider,25,research,25,myform,25,background-color,25,kentucky,25,background,25,payeename,24,code,24,"""what""",24,sexual,24,loading,23,city,23,follow,23,opacity,22,navigation,22,payment,22,out,22,sex,21,how,21,last,21,gift,20,color,20,"""instamedtool""",20,reproductive,20,toggle,20,"""redlabel""",20,store,20,"""ma-clear""",20,make,19,other,19,involved,19,call,19,"""secret""",19,any,18,year,18,open,18,set,18,patient,18,screen,18,policy,17,data,17,help,17,question,17,state,17,use,17,add,17,development,17,"""errorbox""",17,"""maincontent""",16,true,16,"""remove""",16,online,16,text,16,under,16,"""hiddenfield""",16,donor,16,select,16,"""button""",16,service,16,valueb,16,mediumsixcolumn,15,need,15,"""x-clickable""",15,maincontentwithheader,15,only,15,"""x-panel-footer""",15,off,15,"""please""",15,answer,15,smalltwelvecolumn,15,"""im-ignore-custom-colors""",15,infinite,15,im-center-header-button,15,did,15,bans,15,im-ignore-custom-colors,15,hiddenlg,15,"""copyrightcontainer""",15,largesixcolumn,15,ease,15,smalltencolumn,15,federation,14,const,14,may,14,senior,14,lever-fadein,14,"""off""",14,used,14,blog,14,false,14,give,14,pay,14,vice,14,"""password""",13,advocacy,13,path,13,one,13,affiliate,13,mail,13,take,13,appointment,13,account,13,people,12,"""confirm""",12,north,12,target,12,now,12,zip,12,tax-deductible,12,third,12,"""dynamic""",12,1
count10,https://obgyn.uw.edu/,14,university,89,washington,80,this,79,your,79,you,78,website,63,new,52,use,51,var,50,find,47,may,47,information,46,auto,44,resources,40,any,39,not,32,job,31,privacy,31,staff,30,figcaption,30,online,29,function,28,care,28,terms,28,medicine,26,work,25,employee,25,research,24,years,24,conditions,24,uwdeptmedicine,24,ago,24,employment,23,minutes,23,patient,23,medical,23,return,23,benefits,22,about,22,solid,21,professional,20,compensation,20,have,20,access,19,all,19,data,19,search,19,health,18,workplace,18,development,18,contact,17,academic,17,content,17,these,16,other,16,more,16,faculty,15,jobs,15,give,15,student,15,make,14,department,14,time,14,office,14,statement,14,months,14,accessibility,13,total,13,links,13,agent,12,support,12,programs,12,site,12,management,12,personal,12,our,12,value,12,employees,11,learn,11,position,11,please,11,organizational,11,program,11,require,11,read,11,perks,11,sign,10,before,10,diversity,10,center,10,education,10,how,10,news,10,policy,10,than,10,none,10,left,10,giving,10,temporary,10,which,10,tools,10,community,10,help,10,services,10,human,10,current,9,sheet,9,editor,9,such,9,get,9,why,9,inclusion,9,through,9,must,9,hiring,9,students,9,internet,9,apply,9,objects,9,events,9,reset,9,styles,9,block,9,positions,8,rights,8,additional,8,performance,8,classified,8,else,8,people,8,used,8,contracts,8,right,8,school,8,their,8,display,8,datalayer,8,prevention,8,labor,8,accessible,8,copyright,8,career,8,variables,7,add,7,agree,7,one,7,primary,7,third,7,but,7,twitter,7,see,7,menu,7,service,7,age,7,consent,7,obstetrics,7,into,7,guide,7,visit,7,gynecology,7,without,7,related,7,collection,7,workday,7,can,7,insurance,7,videos,7,enter,7,gift,7,verification,7,final,6,hex,6,rules,6,info,6,page,6,housing,6,text,6,global,6,ways,6,typeof,6,affect,6,login,6,schedule,6,websites,6,certain,6,statements,6,reused,6,needs,6,pay,6,digital,6,tuition,6,now,6,try,6,colors,6,requirement,6,respect,6,records,6,policies,6,healthcare,6,extends,6,10
count11,https://www.plannedparenthood.org/health-center/washington/seattle/98133/seattle-northgate-3975-91810,16,var,381,"""spacer""",334,planned,292,parenthood,291,your,260,"""x-button-link-style""",241,else,158,you,155,grey,150,width,126,health,120,"""hiddenmd""",120,"""x-ma""",119,white,105,"""right""",105,function,105,label,102,instanceof,99,solid,97,this,96,new,93,"""hiddenxs""",90,our,83,"""log""",77,---,73,care,73,all,63,"""on""",63,abortion,61,search,61,years,61,hiddenxs,60,get,60,services,59,return,59,main,53,choose,51,please,51,can,47,about,46,hiddensm,45,have,43,more,43,first,42,name,41,seconds,41,rights,41,ago,41,onclick,40,video,38,birth,37,event,37,great,36,"""sign""",35,find,34,control,34,email,34,form,33,field,33,what,33,nan,30,xsmalltwelvecolumn,30,"""linkbuttoncontainer""",30,"""ma-lock-outline""",30,"""left""",30,mediumtwelvecolumn,30,"""largetwelvecolumn""",30,dark-grey,30,border-color,30,"""help""",30,contact,30,information,30,"""privacy""",30,"""terms""",30,action,30,let,29,default,29,error,29,donate,29,access,28,insurance,28,center,28,when,27,not,27,does,27,value,26,enter,26,learn,25,background-color,25,provider,25,kentucky,25,background,25,research,25,sign,25,myform,25,code,24,"""what""",24,payeename,24,sexual,24,city,23,follow,23,loading,23,payment,22,navigation,22,opacity,22,out,22,how,21,last,21,sex,21,reproductive,20,"""ma-clear""",20,"""instamedtool""",20,color,20,store,20,toggle,20,gift,20,"""redlabel""",20,make,19,"""secret""",19,other,19,involved,19,call,19,patient,18,open,18,set,18,screen,18,any,18,year,18,question,17,add,17,help,17,data,17,state,17,policy,17,"""errorbox""",17,use,17,development,17,text,16,"""maincontent""",16,select,16,valueb,16,"""button""",16,"""remove""",16,online,16,service,16,donor,16,true,16,"""hiddenfield""",16,under,16,mediumsixcolumn,15,maincontentwithheader,15,"""x-clickable""",15,only,15,northgate,15,"""x-panel-footer""",15,need,15,off,15,smalltencolumn,15,smalltwelvecolumn,15,did,15,"""please""",15,infinite,15,im-center-header-button,15,bans,15,answer,15,hiddenlg,15,im-ignore-custom-colors,15,largesixcolumn,15,"""im-ignore-custom-colors""",15,"""copyrightcontainer""",15,ease,15,lever-fadein,14,vice,14,const,14,federation,14,give,14,"""off""",14,senior,14,may,14,used,14,false,14,pay,14,blog,14,appointment,13,take,13,account,13,"""password""",13,mail,13,path,13,affiliate,13,one,13,advocacy,13,north,12,target,12,now,12,"""confirm""",12,zip,12,tax-deductible,12,third,12,"""dynamic""",12,11
count12,https://www.plannedparenthood.org/health-center/washington/walla-walla/99362/walla-walla-health-center-2405-91850,16,planned,283,parenthood,282,your,158,var,128,you,123,label,102,solid,98,health,93,this,89,instanceof,85,---,73,else,73,our,71,get,65,years,61,care,59,abortion,56,search,54,new,53,main,53,choose,52,about,49,services,48,can,43,please,43,seconds,41,ago,41,video,38,function,37,more,36,control,34,have,33,return,33,birth,33,find,32,north,31,follow,31,border-color,30,donate,29,default,29,all,29,error,28,let,28,email,28,information,27,walla,26,contact,26,background-color,25,background,25,when,24,access,24,field,24,navigation,24,learn,24,policy,23,form,23,loading,23,action,23,washington,22,opacity,22,greater,22,toggle,22,out,22,how,21,call,21,research,21,sexual,21,insurance,21,involved,20,color,20,gift,20,center,20,sex,19,donor,18,screen,18,code,18,set,18,other,18,year,18,forms,17,does,17,reproductive,17,first,16,state,16,idaho,16,data,16,use,16,bans,15,help,15,off,15,enter,15,infinite,15,ease,15,open,15,add,15,privacy,15,online,15,any,14,used,14,need,14,vice,14,const,14,lever-fadein,14,pregnancy,14,affiliate,14,provider,14,what,14,patient,14,senior,14,development,14,available,13,back,13,value,13,make,13,advocacy,13,only,13,birch,13,mail,13,become,13,path,13,volunteer,12,terms,12,bodies,12,chief,12,blog,12,federation,12,under,12,mypostrender,12,service,12,share,12,not,12,name,12,after,12,great,12,target,12,user,12,appointment,12,now,12,select,12,fill,11,zip,11,want,11,take,11,through,11,office,11,one,11,know,11,day,11,officer,11,cart,11,general,11,membership,11,method,11,change,10,products,10,card,10,sticky,10,check,10,checkbox,10,hollow,10,tax-deductible,10,also,10,book,10,age,10,custom,10,box-shadow,10,questions,10,page,10,participate,10,show,10,may,10,education,10,resharper,10,data-close,10,closed,10,link,10,hide,10,give,9,local,9,see,9,messages,9,last,9,none,9,left,9,fade-in,9,rotate-infinite,9,digital,9,normal,9,top,9,months,9,emergency,9,rights,9,site,9,next,9,fade-out,9,pill,9,shimmer,9,right,9,button,9,attacks,9,12
count13,https://www.plannedparenthood.org/health-center/washington/port-angeles/98362/port-angeles-health-center-3972-91810,16,var,381,"""spacer""",334,planned,292,parenthood,291,your,261,"""x-button-link-style""",241,you,159,else,158,grey,150,width,126,health,121,"""hiddenmd""",120,"""x-ma""",119,function,105,white,105,"""right""",105,label,102,instanceof,99,solid,97,this,96,new,93,"""hiddenxs""",90,our,83,"""log""",77,care,74,---,73,all,63,"""on""",63,abortion,61,search,61,years,61,hiddenxs,60,get,60,return,59,services,58,main,53,choose,51,please,51,can,46,about,46,hiddensm,45,more,43,have,43,first,42,rights,41,name,41,seconds,41,ago,41,onclick,40,video,38,birth,37,event,37,great,36,"""sign""",35,control,35,find,34,email,34,field,33,form,33,what,33,"""largetwelvecolumn""",30,"""left""",30,action,30,information,30,dark-grey,30,border-color,30,"""terms""",30,"""privacy""",30,"""help""",30,nan,30,xsmalltwelvecolumn,30,contact,30,mediumtwelvecolumn,30,"""ma-lock-outline""",30,"""linkbuttoncontainer""",30,default,29,center,29,let,29,error,29,donate,29,not,28,access,28,when,28,insurance,27,does,27,enter,26,value,26,learn,25,provider,25,background-color,25,background,25,sign,25,kentucky,25,research,25,myform,25,"""what""",24,payeename,24,sexual,24,code,24,follow,23,loading,23,city,23,payment,22,out,22,navigation,22,opacity,22,last,21,sex,21,how,21,store,20,"""instamedtool""",20,color,20,reproductive,20,"""redlabel""",20,toggle,20,gift,20,"""ma-clear""",20,make,19,other,19,call,19,"""secret""",19,involved,19,any,18,set,18,screen,18,patient,18,year,18,question,17,state,17,"""errorbox""",17,help,17,policy,17,add,17,open,17,use,17,data,17,development,17,text,16,donor,16,true,16,"""maincontent""",16,"""button""",16,"""hiddenfield""",16,valueb,16,online,16,service,16,"""remove""",16,need,16,under,16,select,16,"""please""",15,smalltencolumn,15,smalltwelvecolumn,15,off,15,"""copyrightcontainer""",15,"""im-ignore-custom-colors""",15,did,15,"""x-panel-footer""",15,pay,15,im-ignore-custom-colors,15,"""x-clickable""",15,im-center-header-button,15,only,15,mediumsixcolumn,15,maincontentwithheader,15,port,15,infinite,15,hiddenlg,15,largesixcolumn,15,ease,15,bans,15,answer,15,may,14,lever-fadein,14,vice,14,used,14,blog,14,federation,14,false,14,const,14,senior,14,give,14,"""off""",14,path,13,one,13,advocacy,13,affiliate,13,take,13,account,13,"""password""",13,appointment,13,mail,13,third,12,chief,12,day,12,people,12,available,12,north,12,target,12,"""string""",12,13
count14,https://www.plannedparenthood.org/health-center/washington/spokane/99207/spokane-health-center-2794-91850,17,planned,283,parenthood,282,your,159,var,130,you,129,label,102,solid,100,health,94,this,90,instanceof,85,else,73,---,73,our,71,get,65,years,61,care,59,abortion,56,new,55,search,54,main,53,choose,52,services,48,about,48,please,45,can,44,ago,41,seconds,41,video,38,function,37,more,36,control,35,birth,35,have,34,return,33,find,32,north,31,follow,31,border-color,30,default,29,donate,29,information,29,all,29,error,28,email,28,let,28,contact,26,policy,25,background-color,25,background,25,access,24,learn,24,when,24,navigation,24,field,24,loading,23,action,23,form,23,center,22,greater,22,opacity,22,toggle,22,out,22,washington,22,insurance,21,how,21,research,21,call,21,sexual,21,gift,20,involved,20,color,20,sex,19,code,18,year,18,donor,18,set,18,screen,18,reproductive,17,forms,17,does,17,first,17,use,17,help,17,state,16,appointment,16,idaho,16,other,16,privacy,16,data,16,open,16,off,15,online,15,make,15,add,15,any,15,bans,15,need,15,infinite,15,ease,15,enter,15,patient,14,lever-fadein,14,provider,14,used,14,not,14,pregnancy,14,senior,14,affiliate,14,const,14,vice,14,development,14,what,14,service,13,value,13,path,13,advocacy,13,only,13,mail,13,back,13,terms,13,indiana,13,become,13,after,13,under,12,volunteer,12,name,12,mypostrender,12,select,12,chief,12,share,12,user,12,target,12,federation,12,bodies,12,see,12,now,12,great,12,blog,12,day,12,office,11,zip,11,fill,11,one,11,emergency,11,general,11,cart,11,know,11,take,11,want,11,available,11,through,11,method,11,give,11,membership,11,officer,11,card,10,data-close,10,custom,10,checkbox,10,participate,10,link,10,show,10,tax-deductible,10,age,10,hollow,10,resharper,10,sticky,10,none,10,products,10,book,10,education,10,change,10,normal,10,hide,10,contraception,10,may,10,also,10,page,10,box-shadow,10,last,9,most,9,img,9,lever-slidedown,9,rotate-infinite,9,questions,9,toastfadein,9,prevent,9,top,9,next,9,sign,9,testing,9,"""dont""",9,months,9,lever-slideup,9,right,9,left,9,people,9,site,9,button,9,local,9,14
count15,https://www.plannedparenthood.org/health-center/washington/vancouver/98684/vancouver-center-2455-91400,14,planned,268,parenthood,266,your,153,var,127,you,116,label,102,health,97,solid,96,this,84,instanceof,82,---,73,else,73,our,70,years,61,get,59,abortion,55,main,53,care,52,choose,51,services,51,new,50,search,45,about,45,video,42,ago,41,seconds,41,can,39,more,36,please,35,find,35,function,34,return,33,have,33,control,31,border-color,30,default,29,birth,29,email,28,error,27,all,27,let,27,background,25,background-color,25,contact,25,donate,24,access,24,loading,23,how,23,information,23,toggle,23,center,23,navigation,23,form,22,when,22,opacity,22,field,22,research,21,out,21,follow,21,action,21,gift,20,color,20,learn,20,insurance,20,sexual,20,first,19,involved,19,screen,18,policy,18,year,18,set,17,does,17,sex,17,code,17,other,17,call,17,appointment,17,donor,16,open,15,state,15,ease,15,bans,15,reproductive,15,now,15,off,15,add,15,data,15,any,15,infinite,15,advocacy,14,columbia,14,senior,14,what,14,used,14,lever-fadein,14,use,14,development,14,vice,14,provider,13,mail,13,take,13,make,13,path,13,online,13,not,13,const,13,value,13,only,13,select,12,federation,12,under,12,bodies,12,give,12,great,12,help,12,chief,12,affiliate,12,user,12,general,12,plain,12,enter,12,privacy,12,blog,12,north,12,mill,12,mypostrender,12,share,12,day,12,name,12,officer,11,membership,11,know,11,cart,11,office,11,see,11,forms,11,want,11,after,11,questions,11,pregnancy,11,through,11,target,10,checkbox,10,show,10,products,10,participate,10,right,10,zip,10,sign,10,willamette,10,page,10,available,10,change,10,one,10,fill,10,espaÃÂ±ol,10,tax-deductible,10,service,10,hide,10,box-shadow,10,resharper,10,volunteer,10,card,10,custom,10,method,10,digital,9,check,9,months,9,none,9,attacks,9,also,9,button,9,selected,9,lever-slideup,9,rotate-infinite,9,display,9,toastfadein,9,img,9,normal,9,shimmer,9,rights,9,fade-out,9,may,9,lever-fadeout,9,book,9,who,9,fade-in,9,schedule,9,terms,9,back,9,lever-slidedown,9,provide,9,left,9,closed,8,circle,8,federal,8,shop,8,people,8,just,8,messages,8,15
count16,https://www.plannedparenthood.org/health-center/washington/seattle/98106/white-center-health-center-4161-91810,16,var,381,"""spacer""",334,planned,292,parenthood,291,your,260,"""x-button-link-style""",241,else,158,you,155,grey,150,width,126,health,121,"""hiddenmd""",120,"""x-ma""",119,white,108,function,105,"""right""",105,label,102,instanceof,99,solid,97,this,96,new,93,"""hiddenxs""",90,our,84,"""log""",77,care,74,---,73,all,63,"""on""",63,abortion,62,years,61,search,61,hiddenxs,60,get,60,return,59,services,59,main,53,please,52,choose,51,can,47,about,46,hiddensm,45,more,44,have,43,first,42,seconds,41,rights,41,ago,41,name,41,onclick,40,video,38,event,37,birth,37,great,36,"""sign""",35,control,34,email,34,find,34,center,34,what,33,form,33,field,33,contact,31,xsmalltwelvecolumn,30,"""privacy""",30,"""linkbuttoncontainer""",30,nan,30,"""left""",30,"""terms""",30,"""largetwelvecolumn""",30,border-color,30,action,30,mediumtwelvecolumn,30,"""ma-lock-outline""",30,information,30,dark-grey,30,"""help""",30,default,29,let,29,error,29,donate,29,access,28,insurance,28,when,27,does,27,not,27,enter,26,value,26,sign,25,research,25,myform,25,kentucky,25,provider,25,background,25,learn,25,background-color,25,"""what""",24,code,24,sexual,24,payeename,24,follow,23,loading,23,city,23,opacity,22,navigation,22,payment,22,out,22,how,21,sex,21,last,21,gift,20,color,20,"""redlabel""",20,"""ma-clear""",20,store,20,"""instamedtool""",20,reproductive,20,toggle,20,"""secret""",19,other,19,make,19,call,19,involved,19,any,18,screen,18,patient,18,set,18,year,18,question,17,data,17,state,17,use,17,"""errorbox""",17,help,17,add,17,policy,17,development,17,valueb,16,select,16,"""maincontent""",16,text,16,"""button""",16,"""hiddenfield""",16,under,16,service,16,online,16,true,16,"""remove""",16,open,16,donor,16,need,15,mediumsixcolumn,15,"""x-clickable""",15,"""x-panel-footer""",15,maincontentwithheader,15,only,15,off,15,"""please""",15,im-ignore-custom-colors,15,smalltwelvecolumn,15,"""im-ignore-custom-colors""",15,infinite,15,did,15,im-center-header-button,15,bans,15,hiddenlg,15,"""copyrightcontainer""",15,largesixcolumn,15,answer,15,ease,15,smalltencolumn,15,senior,14,federation,14,const,14,may,14,lever-fadein,14,"""off""",14,used,14,blog,14,false,14,give,14,pay,14,vice,14,"""password""",13,advocacy,13,path,13,one,13,affiliate,13,mail,13,take,13,appointment,13,account,13,people,12,"""confirm""",12,north,12,now,12,target,12,zip,12,tax-deductible,12,third,12,"""dynamic""",12,16
count17,https://www.plannedparenthood.org/health-center/washington/puyallup/98373/puyallup-health-center-2504-91810,16,var,381,"""spacer""",334,planned,292,parenthood,291,your,259,"""x-button-link-style""",241,else,158,you,154,grey,150,width,126,"""hiddenmd""",120,"""x-ma""",119,health,119,"""right""",105,function,105,white,105,label,102,instanceof,99,solid,97,this,96,new,93,"""hiddenxs""",90,our,82,"""log""",77,---,73,care,73,all,63,"""on""",63,abortion,61,years,61,search,61,get,60,hiddenxs,60,return,59,services,58,main,53,please,51,choose,51,about,46,can,46,hiddensm,45,have,43,first,42,seconds,41,rights,41,name,41,more,41,ago,41,onclick,40,video,38,event,37,birth,36,great,36,"""sign""",35,email,34,find,34,field,33,control,33,form,33,what,33,border-color,30,xsmalltwelvecolumn,30,mediumtwelvecolumn,30,"""linkbuttoncontainer""",30,"""help""",30,"""left""",30,"""largetwelvecolumn""",30,action,30,nan,30,contact,30,"""ma-lock-outline""",30,"""privacy""",30,dark-grey,30,"""terms""",30,let,29,default,29,information,29,error,29,donate,29,access,28,insurance,28,center,27,does,27,not,27,when,27,enter,26,value,26,myform,25,learn,25,provider,25,kentucky,25,research,25,background-color,25,background,25,sign,25,"""what""",24,payeename,24,sexual,24,code,24,loading,23,city,23,follow,23,payment,22,opacity,22,out,22,navigation,22,how,21,sex,21,last,21,gift,20,"""redlabel""",20,store,20,color,20,toggle,20,"""ma-clear""",20,"""instamedtool""",20,reproductive,20,make,19,call,19,"""secret""",19,involved,19,other,19,set,18,patient,18,any,18,year,18,screen,18,help,17,policy,17,"""errorbox""",17,open,17,question,17,data,17,state,17,development,17,add,17,use,17,text,16,under,16,"""maincontent""",16,true,16,online,16,donor,16,"""button""",16,"""hiddenfield""",16,"""remove""",16,service,16,valueb,16,select,16,answer,15,"""x-clickable""",15,need,15,mediumsixcolumn,15,maincontentwithheader,15,only,15,"""copyrightcontainer""",15,"""x-panel-footer""",15,hiddenlg,15,infinite,15,ease,15,did,15,im-center-header-button,15,largesixcolumn,15,bans,15,im-ignore-custom-colors,15,off,15,smalltencolumn,15,"""please""",15,smalltwelvecolumn,15,"""im-ignore-custom-colors""",15,false,14,used,14,blog,14,"""off""",14,const,14,vice,14,federation,14,may,14,lever-fadein,14,pay,14,senior,14,give,14,one,13,account,13,appointment,13,take,13,affiliate,13,path,13,advocacy,13,"""password""",13,mail,13,mypostrender,12,zip,12,see,12,now,12,back,12,tax-deductible,12,north,12,third,12,people,12,17
count18,https://www.plannedparenthood.org/health-center/washington/lynnwood/98036/lynnwood-health-center-2996-91810,16,var,381,"""spacer""",334,planned,292,parenthood,291,your,260,"""x-button-link-style""",241,else,158,you,155,grey,150,width,126,health,121,"""hiddenmd""",120,"""x-ma""",119,function,105,white,105,"""right""",105,label,102,instanceof,99,solid,97,this,96,new,93,"""hiddenxs""",90,our,84,"""log""",77,---,73,care,73,"""on""",63,all,63,years,61,abortion,61,search,61,hiddenxs,60,get,60,services,59,return,59,main,53,please,52,choose,51,can,47,about,46,hiddensm,45,more,44,have,43,first,42,rights,41,seconds,41,name,41,ago,41,onclick,40,video,38,event,37,birth,37,great,36,"""sign""",35,find,34,control,34,email,34,form,33,what,33,field,33,contact,31,"""left""",30,"""largetwelvecolumn""",30,nan,30,"""linkbuttoncontainer""",30,"""terms""",30,"""help""",30,"""ma-lock-outline""",30,information,30,dark-grey,30,action,30,border-color,30,mediumtwelvecolumn,30,xsmalltwelvecolumn,30,"""privacy""",30,default,29,let,29,error,29,center,29,donate,29,access,28,insurance,28,when,27,does,27,not,27,enter,26,value,26,sign,25,research,25,myform,25,kentucky,25,provider,25,background,25,learn,25,background-color,25,"""what""",24,code,24,sexual,24,payeename,24,follow,23,loading,23,city,23,opacity,22,navigation,22,payment,22,out,22,how,21,last,21,sex,21,"""ma-clear""",20,reproductive,20,color,20,"""redlabel""",20,gift,20,store,20,"""instamedtool""",20,toggle,20,"""secret""",19,make,19,other,19,involved,19,call,19,patient,18,set,18,screen,18,any,18,year,18,"""errorbox""",17,use,17,question,17,data,17,help,17,add,17,policy,17,development,17,open,17,state,17,valueb,16,select,16,"""button""",16,"""maincontent""",16,text,16,"""hiddenfield""",16,under,16,service,16,online,16,donor,16,"""remove""",16,true,16,mediumsixcolumn,15,need,15,"""x-clickable""",15,"""x-panel-footer""",15,maincontentwithheader,15,only,15,off,15,"""please""",15,im-ignore-custom-colors,15,smalltwelvecolumn,15,"""im-ignore-custom-colors""",15,infinite,15,did,15,im-center-header-button,15,bans,15,hiddenlg,15,"""copyrightcontainer""",15,largesixcolumn,15,answer,15,ease,15,smalltencolumn,15,senior,14,federation,14,const,14,may,14,lever-fadein,14,"""off""",14,used,14,blog,14,false,14,give,14,pay,14,vice,14,"""password""",13,advocacy,13,path,13,one,13,affiliate,13,mail,13,take,13,appointment,13,account,13,people,12,"""confirm""",12,north,12,target,12,now,12,zip,12,tax-deductible,12,third,12,"""dynamic""",12,18
