,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6
0,'about,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1,'ak',0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,'al',0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,'appropriate,0.0,6.0,3.0,0.0,0.0,0.0,3.0
4,'ar',0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,'as,0.0,4.0,2.0,0.0,0.0,0.0,2.0
6,'at,0.0,2.0,1.0,0.0,0.0,0.0,1.0
7,'at',0.0,4.0,0.0,0.0,0.0,4.0,0.0
8,'az',0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,'ca',0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,'co',0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,'congratulations,0.0,2.0,1.0,0.0,0.0,0.0,1.0
12,'ct',0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,'dc',0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,'de',0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,'default,0.0,2.0,0.0,0.0,0.0,0.0,0.0
16,'district,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,'extend,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,'fake,0.0,2.0,1.0,0.0,0.0,0.0,1.0
19,'finding,0.0,15.0,4.0,0.0,0.0,0.0,4.0
20,'fl',0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,'fontsize',0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,'function',0.0,4.0,0.0,0.0,0.0,0.0,0.0
23,'ga',0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,'google,0.0,0.0,3.0,0.0,0.0,0.0,3.0
25,'government,0.0,2.0,1.0,0.0,0.0,0.0,1.0
26,'grid',0.0,0.0,0.0,0.0,0.0,4.0,0.0
27,'hi',0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,'hybrid,0.0,0.0,0.0,0.0,2.0,0.0,0.0
29,'hybrid',0.0,0.0,0.0,0.0,2.0,0.0,0.0
30,'ia',0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,'id',0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,'il',0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,'in,0.0,2.0,1.0,0.0,0.0,0.0,1.0
34,'in',0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,'initial',0.0,2.0,2.0,0.0,0.0,0.0,2.0
36,'it's,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,'json',0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,'ks',0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,'ky',0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,'la',0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,'location,0.0,15.0,4.0,0.0,0.0,0.0,4.0
42,'ltr',0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,'ma',0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,'many,0.0,2.0,1.0,0.0,0.0,0.0,1.0
45,'mazel,0.0,2.0,1.0,0.0,0.0,0.0,1.0
46,'md',0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,'me',0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,'mi',0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,'mn',0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,'mo',0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,'ms',0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,'mt',0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,'mute',0.0,0.0,1.0,0.0,0.0,0.0,1.0
54,'my,0.0,2.0,1.0,0.0,0.0,0.0,1.0
55,'nc',0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,'nd',0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,'ne',0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,'new,0.0,4.0,0.0,0.0,0.0,0.0,0.0
59,'nh',0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,'nj',0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,'nm',0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,'normal',0.0,0.0,0.0,0.0,2.0,0.0,0.0
63,'north,0.0,2.0,0.0,0.0,0.0,0.0,0.0
