,index,Total
0,'',16.0
1,'addeventlistener',16.0
2,'at',8.0
3,'google,9.0
4,'load',16.0
5,'ltr',40.0
6,'mute',3.0
7,'netscape',1.0
8,'of',16.0
9,'open,480.0
10,'product,3.0
11,'px',1.0
12,'removeeventlistener',16.0
13,'table',2.0
14,'text,40.0
15,'undefined',2.0
16,'use,6.0
17,---,4.0
18,-webkit-transform,96.0
19,[state],1.0
20,\/,8.0
21,abandons,1.0
22,abba,38.0
23,abba’s,2.0
24,abide,2.0
25,ability,1.0
26,able,5.0
27,abnormal,5.0
28,abort,1.0
29,abortifacient,3.0
30,aborting,1.0
31,abortion,320.0
32,abortioncommunity,1.0
33,abortions,6.0
34,abortionwebsite,1.0
35,abound,1.0
36,about,177.0
37,above,4.0
38,absence,1.0
39,abused,2.0
40,academy,9.0
41,accept,1.0
42,acceptable,1.0
43,access,9.0
44,accessed,3.0
45,accessible,2.0
46,accessing,4.0
47,accommodate,2.0
48,accomplish,1.0
49,accomplished,2.0
50,according,24.0
51,account,6.0
52,accountability,2.0
53,accounting,1.0
54,accounts,1.0
55,accuracy,8.0
56,accurate,8.0
57,aceh,1.0
58,acetate,6.0
59,acknowledge,6.0
60,acknowledges,1.0
61,across,1.0
62,action,2.0
63,active,3.0
64,activities,2.0
65,actually,3.0
66,ad,10.0
67,add,16.0
68,added,4.0
69,addition,1.0
70,additional,6.0
71,address,39.0
72,adhere,1.0
73,adjust,2.0
74,adjustment,1.0
75,adjustments,2.0
76,administer,1.0
77,admit,2.0
78,adoption,112.0
79,adoptive,5.0
80,adrenaline,3.0
81,ads,3.0
82,adult,4.0
83,advance,2.0
84,advanced,1.0
85,advancement,1.0
86,advantage,2.0
87,adverse,1.0
88,advice,3.0
89,advise,1.0
90,advised,2.0
91,advocate,5.0
92,advocates,29.0
93,affect,1.0
94,affected,3.0
95,affiliate,2.0
96,affiliated,1.0
97,affiliates,5.0
98,afford,3.0
99,affording,1.0
100,african,5.0
101,after,26.0
102,again,2.0
103,against,3.0
104,agape,1.0
105,age,6.0
106,aged,1.0
107,agencies,2.0
108,agency,3.0
109,agents,2.0
110,agree,7.0
111,agreement,2.0
112,aimee,4.0
113,al,2.0
114,alabama,1.0
115,alan,2.0
116,alaska,1.0
117,alcohol,1.0
118,all,410.0
119,allow,9.0
120,allowing,2.0
121,allows,1.0
122,along,14.0
123,alongside,1.0
124,already,6.0
125,also,22.0
126,altavista,1.0
127,alter,1.0
128,alternative,4.0
129,although,2.0
130,always,25.0
131,am,50.0
132,amatuers,1.0
133,ambivalent,1.0
134,amend,1.0
135,america,4.0
136,american,4.0
137,americans,1.0
138,amidst,1.0
139,among,1.0
140,amount,2.0
141,analysis,2.0
142,and/or,18.0
143,anders,1.0
144,angeles,1.0
145,angrily,1.0
146,animal,1.0
147,annals,1.0
148,annoying,1.0
149,annual,2.0
150,anonymous,1.0
151,another,22.0
152,answer,5.0
153,answers,7.0
154,antarctic,1.0
155,antibiotics,1.0
156,antiprogestins,1.0
157,anxiety,2.0
158,anxious,2.0
159,any,63.0
160,anybody,1.0
161,anyone,5.0
162,anything,2.0
163,anytime,1.0
164,anywhere,1.0
165,apartment,1.0
166,appear,1.0
167,applies,2.0
168,appointment,53.0
169,appointments,4.0
170,approach,2.0
171,appropriate,2.0
172,appropriateness,1.0
173,approved,1.0
174,april,9.0
175,arab,5.0
176,archheight,1.0
177,area,2.0
178,aren't,1.0
179,arise,2.0
180,arizona,1.0
181,arkansas,1.0
182,armed,3.0
183,arms,1.0
184,around,6.0
185,arrange,21.0
186,arrow,2.0
187,arrows,1.0
188,art,2.0
189,arthur,2.0
190,article,2.0
191,articles,2.0
192,artists,1.0
193,arts,1.0
194,asian,1.0
195,ask,11.0
196,asked,3.0
197,asks,2.0
198,aspect,3.0
199,aspiration,1.0
200,assessing,1.0
201,assessment,1.0
202,assist,2.0
203,assistance,3.0
204,associated,4.0
205,association,1.0
206,associations,1.0
207,assume,4.0
208,assumes,1.0
209,assuming,1.0
210,assumption,1.0
211,assure,1.0
212,astra,20.0
213,attaches,2.0
214,attempt,1.0
215,attempts,2.0
216,attend,1.0
217,attorneys,2.0
218,attorneys’,1.0
219,attractions,1.0
220,audience,1.0
221,audiences,1.0
222,audio,1.0
223,aug,1.0
224,august,1.0
225,author,16.0
226,authorities,2.0
227,authority,2.0
228,authorization,1.0
229,authorized,1.0
230,auto,253.0
231,auto-generated,20.0
232,automotive,1.0
233,available,32.0
234,ave,14.0
235,avenue,20.0
236,average,2.0
237,avoid,2.0
238,avoiding,1.0
239,award,1.0
240,aware,1.0
241,awareness,3.0
242,away,3.0
243,az,3.0
244,babies,4.0
245,baby,12.0
246,baby’s,1.0
247,back,11.0
248,background,16.0
249,background-color,32.0
250,bacteria,1.0
251,bad,1.0
252,baptist,2.0
253,barat,3.0
254,barbara,1.0
255,barbers,1.0
256,barged,1.0
257,bars,1.0
258,base,2.0
259,based,4.0
260,basically,1.0
261,bate,1.0
262,bath,1.0
263,bathfour,1.0
264,bathwhat's,1.0
265,baton,1.0
266,bay,1.0
267,bbq,1.0
268,beach,2.0
269,beat,1.0
270,beating,1.0
271,beautiful,1.0
272,beauty,2.0
273,because,32.0
274,become,8.0
275,becomes,1.0
276,becoming,3.0
277,bed,1.0
278,been,50.0
279,before,22.0
280,begin,4.0
281,behavior,1.0
282,being,4.0
283,beliefs,2.0
284,believe,5.0
285,below,18.0
286,bend,2.0
287,benefit,1.0
288,best,19.0
289,bet,1.0
290,better,9.0
291,between,2.0
292,beverly,1.0
293,bi,2.0
294,bible,1.0
295,biddeford,1.0
296,big,10.0
297,bigger,1.0
298,bill,1.0
299,birds,1.0
300,birth,25.0
301,birthmother,1.0
302,bit,3.0
303,black,3.0
304,blank,1.0
305,bleeding,3.0
306,blessed,1.0
307,blessing,2.0
308,blind,1.0
309,bloating,1.0
310,blocking,1.0
311,blockquote,148.0
312,blocks,1.0
313,blog,36.0
314,blogs,80.0
315,blonde,1.0
316,blood,1.0
317,blossom,1.0
318,blue,1.0
319,blye,1.0
320,blythe,1.0
321,bodies,1.0
322,body,22.0
323,bonny,1.0
324,book,8.0
325,booking,17.0
326,bookly,16.0
327,books,1.0
328,bookstore,3.0
329,border,16.0
330,both,9.0
331,bother,1.0
332,bottles,1.0
333,bought,2.0
334,bounce,2.0
335,bound,1.0
336,boundaries,2.0
337,bowdoin,1.0
338,box,1.0
339,boxes,2.0
340,boyfriend,2.0
341,br,1.0
342,brand,2.0
343,brands,1.0
344,brattleboro,1.0
345,brave,1.0
346,breaches,3.0
347,breast,1.0
348,breasts,2.0
349,breeze,1.0
350,bridgton,1.0
351,bring,4.0
352,browse,6.0
353,browser,4.0
354,bruceton,1.0
355,brush,1.0
356,bua,1.0
357,bubble,1.0
358,buccal,1.0
359,buddy,1.0
360,buddys,1.0
361,build,2.0
362,building,3.0
363,buildings,2.0
364,built,3.0
365,business,9.0
366,businesses,3.0
367,busy,1.0
368,but,37.0
369,button,1.0
370,buttons,1.0
371,buy,2.0
372,buying,3.0
373,ca,10.0
374,cafehope,2.0
375,caicos,5.0
376,calculation,3.0
377,calendar,1.0
378,california,3.0
379,call,51.0
380,called,4.0
381,calling,2.0
382,calls,3.0
383,calmly,1.0
384,calmness,1.0
385,came,2.0
386,campaign,2.0
387,campaigns,2.0
388,campus,2.0
389,can,114.0
390,can't,2.0
391,canal,1.0
392,cannot,5.0
393,can’t,3.0
394,capable,1.0
395,capacity,1.0
396,cape,1.0
397,capital,2.0
398,captcha,3.0
399,capture,2.0
400,car,2.0
401,card,2.0
402,care,21.0
403,carefully,1.0
404,caring,6.0
405,carolina,2.0
406,carpet,1.0
407,carried,1.0
408,carry,2.0
409,carshare,1.0
410,cascade,1.0
411,casco,1.0
412,case,2.0
413,catch,1.0
414,category,1.0
415,caught,1.0
416,causal,1.0
417,cause,5.0
418,caused,4.0
419,causes,4.0
420,causing,1.0
421,ceased,1.0
422,celebrate,1.0
423,celebrations,1.0
424,celina,1.0
425,censor,2.0
426,censorship,1.0
427,center,208.0
428,centerhope,2.0
429,centers,16.0
430,centers–,1.0
431,center’s,8.0
432,center“definitely,1.0
433,central,5.0
434,certain,4.0
435,certified,5.0
436,cervix,1.0
437,cha,1.0
438,challenges,2.0
439,challenging,2.0
