,index,Total
0,'a,6.0
1,'advanced',3.0
2,'appropriate,9.0
3,'as,6.0
4,'at,3.0
5,'at',16.0
6,'badge',39.0
7,'callback',39.0
8,'congratulations,3.0
9,'contextmenu,39.0
10,'docs-cormorant,3.0
11,'docs-patrick,3.0
12,'expired-callback',39.0
13,'fake,3.0
14,'finding,24.0
15,'form-rendered-data',6.0
16,'form-submitted-data',6.0
17,'google,9.0
18,'government,3.0
19,'in,3.0
20,'initial',6.0
21,'jquery,3.0
22,'json',1.0
23,'location,24.0
24,'many,3.0
25,'mazel,3.0
26,'module,3.0
27,'mute',3.0
28,'my,3.0
29,'of',32.0
30,'product,3.0
31,'put,3.0
32,'recipient,3.0
33,'script,6.0
34,'select,12.0
35,'select',12.0
36,'thank,3.0
37,'there,24.0
38,'thinking,3.0
39,'tribe-js',39.0
40,'use,69.0
41,--,36.0
42,---,219.0
43,-in,1.0
44,-text,1.0
45,-the,1.0
46,//,1121.0
47,//a,1.0
48,//adding,1.0
49,//affiliateid,6.0
50,//almost,1.0
51,//cookie,1.0
52,//create,6.0
53,//deletes,1.0
54,//directed,3.0
55,//function,3.0
56,//handler,1.0
57,//if,6.0
58,//loads,1.0
59,//preselect,6.0
60,//prod,1.0
61,//reads,1.0
62,//scrolltobottom,1.0
63,//scrolltotop,1.0
64,//shows,1.0
65,//submits,1.0
66,//this,7.0
67,//we,3.0
68,['style'],3.0
69,[],21.0
70,[at],4.0
71,[disabled],3.0
72,[dot],4.0
73,[email,3.0
74,[end],6.0
75,[start],12.0
76,\/,16.0
77,\n\nthis,3.0
78,\nall,3.0
79,\nlearn,3.0
80,\r\n\r\nplanned,3.0
81,\r\nfollow,3.0
82,a/b,6.0
83,aasect,1.0
84,ability,5.0
85,able,29.0
86,abnormal,3.0
87,abortion,444.0
88,abortions,24.0
89,abortions”,1.0
90,abortion”,3.0
91,about,354.0
92,above,11.0
93,abstain,8.0
94,abstinence,6.0
95,abstract,1.0
96,abuse,8.0
97,academy,1.0
98,accept,10.0
99,acceptance,2.0
100,accepted,5.0
101,accepting,1.0
102,access,175.0
103,accessibility,2.0
104,accessible,6.0
105,accessing,6.0
106,accessories,3.0
107,accommodate,1.0
108,accompanied,3.0
109,accompany,3.0
110,accordance,1.0
111,according,1.0
112,account,58.0
113,account-,3.0
114,accountability,2.0
115,accounting,1.0
116,accounts,8.0
117,accounttoggle,3.0
118,accuracy,2.0
119,accurate,43.0
120,ach,3.0
121,achieve,2.0
122,achievement,1.0
123,achieving,3.0
124,acknowledge,5.0
125,acknowledged,1.0
126,acquire,1.0
127,acquired,3.0
128,acquisition,1.0
129,acrobat,2.0
130,across,6.0
131,act,11.0
132,action,73.0
133,actions,6.0
134,actiontag,3.0
135,activate,78.0
136,active,4.0
137,activelanguage,7.0
138,actively,1.0
139,activiation,3.0
140,activists,6.0
141,activities,10.0
142,activity,22.0
143,actually,1.0
144,adapt,1.0
145,adapted,2.0
146,adapting,1.0
147,add,87.0
148,added,1.0
149,addevent,39.0
150,adding,2.0
151,additional,40.0
152,addms,3.0
153,address,46.0
154,addressed,2.0
155,addresses,10.0
156,addressing,2.0
157,adds,16.0
158,adhere,4.0
159,adjunct,1.0
160,adjustments,1.0
161,administered,1.0
162,administration,3.0
163,administration’s,1.0
