,token,Total0,Total1,Total2,Total3,Total4
0,'advanced',0.0,3.0,0.0,0.0,0.0
1,'appropriate,0.0,0.0,3.0,3.0,3.0
2,'as,0.0,0.0,2.0,2.0,2.0
3,'at,0.0,0.0,1.0,1.0,1.0
4,'at',0.0,4.0,4.0,0.0,0.0
5,'badge',0.0,39.0,0.0,0.0,0.0
6,'callback',0.0,39.0,0.0,0.0,0.0
7,'congratulations,0.0,0.0,1.0,1.0,1.0
8,'contextmenu,0.0,39.0,0.0,0.0,0.0
9,'fake,0.0,0.0,1.0,1.0,1.0
10,'finding,0.0,0.0,8.0,8.0,8.0
11,'google,0.0,0.0,3.0,3.0,3.0
12,'government,0.0,0.0,1.0,1.0,1.0
13,'in,0.0,0.0,1.0,1.0,1.0
14,'initial',0.0,0.0,2.0,2.0,2.0
15,'jquery,0.0,3.0,0.0,0.0,0.0
16,'json',0.0,1.0,0.0,0.0,0.0
17,'location,0.0,0.0,8.0,8.0,8.0
18,'many,0.0,0.0,1.0,1.0,1.0
19,'mazel,0.0,0.0,1.0,1.0,1.0
20,'module,0.0,3.0,0.0,0.0,0.0
21,'mute',0.0,0.0,1.0,1.0,1.0
22,'my,0.0,0.0,1.0,1.0,1.0
23,'of',0.0,8.0,8.0,0.0,0.0
24,'product,0.0,0.0,1.0,1.0,1.0
25,'put,0.0,3.0,0.0,0.0,0.0
26,'recipient,0.0,0.0,1.0,1.0,1.0
27,'script,0.0,0.0,2.0,2.0,2.0
28,'select,0.0,0.0,4.0,4.0,4.0
29,'select',0.0,0.0,4.0,4.0,4.0
30,'thank,0.0,0.0,1.0,1.0,1.0
31,'there,0.0,0.0,8.0,8.0,8.0
32,'thinking,0.0,0.0,1.0,1.0,1.0
33,'use,0.0,39.0,10.0,10.0,10.0
34,aasect,0.0,1.0,0.0,0.0,0.0
35,ability,0.0,5.0,0.0,0.0,0.0
36,able,0.0,13.0,5.0,6.0,5.0
37,abnormal,0.0,0.0,1.0,1.0,1.0
38,abortion,0.0,171.0,91.0,91.0,91.0
39,abortions,0.0,9.0,5.0,5.0,5.0
40,abortions”,0.0,1.0,0.0,0.0,0.0
41,abortion”,0.0,0.0,1.0,1.0,1.0
42,about,0.0,189.0,55.0,55.0,55.0
43,above,0.0,5.0,2.0,2.0,2.0
44,abstain,0.0,8.0,0.0,0.0,0.0
45,abstinence,0.0,0.0,2.0,2.0,2.0
46,abstract,0.0,1.0,0.0,0.0,0.0
47,abuse,0.0,5.0,1.0,1.0,1.0
48,academy,0.0,1.0,0.0,0.0,0.0
49,accept,0.0,7.0,1.0,1.0,1.0
50,acceptance,0.0,2.0,0.0,0.0,0.0
51,accepted,0.0,2.0,1.0,1.0,1.0
52,accepting,0.0,1.0,0.0,0.0,0.0
53,access,0.0,61.0,38.0,38.0,38.0
54,accessibility,0.0,2.0,0.0,0.0,0.0
55,accessible,0.0,3.0,1.0,1.0,1.0
56,accessing,0.0,3.0,1.0,1.0,1.0
57,accessories,0.0,0.0,1.0,1.0,1.0
58,accommodate,0.0,1.0,0.0,0.0,0.0
59,accompanied,0.0,0.0,1.0,1.0,1.0
60,accompany,0.0,0.0,1.0,1.0,1.0
61,accordance,0.0,1.0,0.0,0.0,0.0
62,according,0.0,1.0,0.0,0.0,0.0
63,account,0.0,34.0,8.0,8.0,8.0
64,accountability,0.0,2.0,0.0,0.0,0.0
65,accounting,0.0,1.0,0.0,0.0,0.0
66,accounts,0.0,5.0,1.0,1.0,1.0
67,accounttoggle,0.0,0.0,1.0,1.0,1.0
68,accuracy,0.0,2.0,0.0,0.0,0.0
69,accurate,0.0,7.0,12.0,12.0,12.0
70,ach,0.0,0.0,1.0,1.0,1.0
71,achieve,0.0,2.0,0.0,0.0,0.0
72,achievement,0.0,1.0,0.0,0.0,0.0
73,achieving,0.0,3.0,0.0,0.0,0.0
74,acknowledge,0.0,5.0,0.0,0.0,0.0
75,acknowledged,0.0,1.0,0.0,0.0,0.0
76,acquire,0.0,1.0,0.0,0.0,0.0
77,acquired,0.0,3.0,0.0,0.0,0.0
78,acquisition,0.0,1.0,0.0,0.0,0.0
79,acrobat,0.0,2.0,0.0,0.0,0.0
80,across,0.0,0.0,2.0,2.0,2.0
81,act,0.0,11.0,0.0,0.0,0.0
82,action,0.0,7.0,22.0,22.0,22.0
83,actions,0.0,3.0,1.0,1.0,1.0
84,actiontag,0.0,0.0,1.0,1.0,1.0
85,activate,0.0,78.0,0.0,0.0,0.0
86,active,0.0,1.0,1.0,1.0,1.0
87,activelanguage,0.0,7.0,0.0,0.0,0.0
88,actively,0.0,1.0,0.0,0.0,0.0
89,activiation,0.0,0.0,1.0,1.0,1.0
90,activists,0.0,0.0,2.0,2.0,2.0
91,activities,0.0,10.0,0.0,0.0,0.0
92,activity,0.0,7.0,5.0,5.0,5.0
93,actually,0.0,1.0,0.0,0.0,0.0
94,adapt,0.0,1.0,0.0,0.0,0.0
95,adapted,0.0,2.0,0.0,0.0,0.0
96,adapting,0.0,1.0,0.0,0.0,0.0
97,adcreate,0.0,0.0,0.0,1.0,1.0
98,add,0.0,42.0,15.0,15.0,15.0
99,added,0.0,1.0,0.0,0.0,0.0
100,addevent,0.0,39.0,0.0,0.0,0.0
101,adding,0.0,2.0,0.0,0.0,0.0
102,additional,0.0,4.0,12.0,12.0,12.0
103,addms,0.0,0.0,1.0,1.0,1.0
104,address,0.0,19.0,9.0,9.0,9.0
105,addressed,0.0,2.0,0.0,0.0,0.0
106,addresses,0.0,4.0,2.0,2.0,2.0
107,addressing,0.0,2.0,0.0,0.0,0.0
108,adds,0.0,1.0,5.0,5.0,5.0
109,adhere,0.0,1.0,1.0,1.0,1.0
110,adjunct,0.0,1.0,0.0,0.0,0.0
111,adjustments,0.0,1.0,0.0,0.0,0.0
112,administered,0.0,1.0,0.0,0.0,0.0
113,administration,0.0,3.0,0.0,0.0,0.0
114,administrationnew,0.0,0.0,1.0,1.0,1.0
115,administration’s,0.0,1.0,0.0,0.0,0.0
116,administrative,0.0,4.0,1.0,1.0,1.0
117,adobe,0.0,2.0,0.0,0.0,0.0
118,adolescence,0.0,1.0,0.0,0.0,0.0
119,adolescent,0.0,3.0,0.0,0.0,0.0
120,adopted,0.0,1.0,0.0,0.0,0.0
121,ads,0.0,0.0,2.0,2.0,2.0
122,adult,0.0,4.0,1.0,1.0,1.0
123,adults,0.0,6.0,0.0,0.0,0.0
124,advance,0.0,3.0,2.0,2.0,2.0
125,advanced,0.0,0.0,1.0,1.0,1.0
126,advances,0.0,0.0,1.0,1.0,1.0
127,advancing,0.0,1.0,2.0,2.0,2.0
128,adverse,0.0,1.0,0.0,0.0,0.0
129,advice,0.0,1.0,0.0,0.0,0.0
130,advised,0.0,3.0,0.0,0.0,0.0
131,advocacy,0.0,93.0,12.0,12.0,12.0
132,advocate,0.0,6.0,1.0,1.0,1.0
133,advocates,0.0,7.0,0.0,0.0,0.0
134,advocating,0.0,1.0,0.0,0.0,0.0
135,aetna,0.0,0.0,1.0,1.0,1.0
136,afar,0.0,1.0,0.0,0.0,0.0
137,aff,0.0,0.0,3.0,3.0,3.0
138,affairs,0.0,4.0,0.0,0.0,0.0
139,affect,0.0,3.0,0.0,0.0,0.0
140,affects,0.0,1.0,0.0,0.0,0.0
141,affilate,0.0,0.0,2.0,2.0,2.0
142,affiliate,0.0,0.0,17.0,17.0,17.0
143,affiliatecode,0.0,0.0,2.0,2.0,2.0
144,affiliatecodelocation,0.0,0.0,1.0,1.0,1.0
145,affiliateid,0.0,0.0,4.0,4.0,4.0
146,affiliates,0.0,2.0,0.0,0.0,0.0
147,affiliation,0.0,0.0,1.0,1.0,1.0
148,affirmative,0.0,1.0,0.0,0.0,0.0
149,affirming,0.0,3.0,1.0,1.0,1.0
150,affordable,0.0,15.0,7.0,8.0,7.0
151,affront,0.0,1.0,0.0,0.0,0.0
152,africa,0.0,1.0,1.0,1.0,1.0
153,african,0.0,2.0,2.0,0.0,0.0
154,after,0.0,37.0,19.0,19.0,19.0
155,again,0.0,2.0,2.0,2.0,2.0
156,against,0.0,14.0,2.0,2.0,2.0
157,age,0.0,17.0,24.0,24.0,24.0
158,aged,0.0,3.0,0.0,0.0,0.0
159,agencies,0.0,1.0,0.0,0.0,0.0
160,agency,0.0,2.0,0.0,0.0,0.0
161,agent,0.0,0.0,9.0,9.0,9.0
162,ages,0.0,5.0,0.0,0.0,0.0
163,aggregate,0.0,2.0,0.0,0.0,0.0
164,aging,0.0,2.0,0.0,0.0,0.0
165,ago,0.0,1.0,41.0,41.0,41.0
166,agree,0.0,24.0,1.0,1.0,1.0
167,agreed,0.0,1.0,0.0,0.0,0.0
168,agreement,0.0,16.0,0.0,0.0,0.0
169,agreements,0.0,6.0,0.0,0.0,0.0
170,ahead,0.0,3.0,0.0,0.0,0.0
171,aids,0.0,10.0,0.0,0.0,0.0
172,aim,0.0,1.0,0.0,0.0,0.0
173,aimed,0.0,1.0,0.0,0.0,0.0
174,air,0.0,1.0,0.0,0.0,0.0
175,ajax,0.0,2.0,0.0,0.0,0.0
176,ajaxenabled,0.0,2.0,0.0,0.0,0.0
177,alcohol,0.0,2.0,0.0,0.0,0.0
178,alert,0.0,3.0,0.0,0.0,0.0
179,alerts,0.0,0.0,2.0,2.0,2.0
180,align,0.0,2.0,0.0,0.0,0.0
181,aligned,0.0,3.0,0.0,0.0,0.0
182,aligns,0.0,1.0,0.0,0.0,0.0
183,all,0.0,170.0,51.0,51.0,51.0
184,alleged,0.0,1.0,0.0,0.0,0.0
185,alliance,0.0,1.0,0.0,0.0,0.0
186,allies,0.0,3.0,0.0,0.0,0.0
187,allow,0.0,7.0,2.0,2.0,2.0
188,allowable,0.0,0.0,6.0,6.0,6.0
189,allowed,0.0,9.0,0.0,0.0,0.0
190,allows,0.0,6.0,7.0,7.0,7.0
191,allyship,0.0,1.0,0.0,0.0,0.0
192,almost,0.0,2.0,0.0,0.0,0.0
193,alone,0.0,3.0,0.0,0.0,0.0
194,along,0.0,2.0,0.0,0.0,0.0
195,already,0.0,9.0,1.0,1.0,1.0
196,also,0.0,28.0,10.0,10.0,10.0
197,alternative,0.0,2.0,0.0,0.0,0.0
198,always,0.0,5.0,9.0,9.0,9.0
199,amaze,0.0,5.0,0.0,0.0,0.0
200,amazing,0.0,1.0,1.0,1.0,1.0
201,america,0.0,1.0,6.0,6.0,6.0
202,america's,0.0,0.0,2.0,2.0,2.0
203,american,0.0,8.0,0.0,0.0,0.0
204,america’s,0.0,1.0,5.0,5.0,5.0
205,among,0.0,2.0,0.0,0.0,0.0
206,amount,0.0,3.0,4.0,4.0,4.0
207,amounts,0.0,1.0,0.0,0.0,0.0
208,ample,0.0,1.0,0.0,0.0,0.0
209,amy,0.0,2.0,0.0,0.0,0.0
210,analysis,0.0,1.0,0.0,0.0,0.0
211,analystnyc,0.0,0.0,1.0,1.0,1.0
212,analytics,0.0,1.0,2.0,2.0,2.0
213,anatomy,0.0,2.0,2.0,2.0,2.0
214,anchor,0.0,5.0,0.0,0.0,0.0
215,anchorindex,0.0,1.0,0.0,0.0,0.0
216,angus,0.0,1.0,0.0,0.0,0.0
217,anillo,0.0,0.0,2.0,2.0,2.0
218,anniversaries,0.0,1.0,0.0,0.0,0.0
219,anniversary,0.0,4.0,0.0,0.0,0.0
220,announce,0.0,0.0,1.0,1.0,1.0
221,announcement,0.0,1.0,0.0,0.0,0.0
222,annual,0.0,17.0,4.0,4.0,4.0
223,annually,0.0,1.0,0.0,0.0,0.0
224,anonymous,0.0,0.0,2.0,2.0,2.0
225,anonymously,0.0,1.0,0.0,0.0,0.0
226,another,0.0,50.0,0.0,0.0,0.0
227,answer,0.0,5.0,2.0,2.0,2.0
228,answering,0.0,1.0,2.0,2.0,2.0
229,answers,0.0,3.0,4.0,4.0,4.0
230,anthem,0.0,0.0,1.0,1.0,1.0
231,anticipate,0.0,1.0,0.0,0.0,0.0
232,anticonceptivo,0.0,0.0,1.0,1.0,1.0
233,antidote,0.0,1.0,0.0,0.0,0.0
234,antiretroviral,0.0,4.0,0.0,0.0,0.0
235,any,0.0,178.0,28.0,28.0,28.0
236,anyone,0.0,5.0,0.0,0.0,0.0
237,anyone's,0.0,1.0,0.0,0.0,0.0
238,anything,0.0,6.0,1.0,1.0,1.0
239,anywhere,0.0,0.0,1.0,1.0,1.0
240,api,0.0,0.0,1.0,1.0,1.0
241,apologize,0.0,0.0,1.0,1.0,1.0
242,app,0.0,0.0,10.0,10.0,10.0
243,appalled,0.0,1.0,0.0,0.0,0.0
244,apparel,0.0,0.0,1.0,1.0,1.0
245,appear,0.0,4.0,2.0,2.0,2.0
246,appearance,0.0,1.0,0.0,0.0,0.0
247,appears,0.0,1.0,0.0,0.0,0.0
248,append,0.0,5.0,0.0,0.0,0.0
249,appendcsrftokentourl,0.0,1.0,0.0,0.0,0.0
250,appending,0.0,1.0,0.0,0.0,0.0
251,appends,0.0,0.0,2.0,2.0,2.0
252,applaud,0.0,1.0,0.0,0.0,0.0
253,applauds,0.0,3.0,0.0,0.0,0.0
254,apple,0.0,1.0,0.0,0.0,0.0
255,applicable,0.0,11.0,0.0,0.0,0.0
256,applicant,0.0,0.0,1.0,1.0,1.0
257,application,0.0,1.0,0.0,0.0,0.0
258,applications,0.0,3.0,0.0,0.0,0.0
259,applied,0.0,0.0,1.0,1.0,1.0
260,apply,0.0,12.0,2.0,2.0,2.0
261,applying,0.0,1.0,0.0,0.0,0.0
262,appointed,0.0,1.0,0.0,0.0,0.0
263,appointment,0.0,100.0,29.0,29.0,29.0
264,appointmentabout,0.0,39.0,0.0,0.0,0.0
265,appointmentplease,0.0,1.0,0.0,0.0,0.0
266,appointments,0.0,17.0,3.0,3.0,3.0
267,appointmentsresearch,0.0,1.0,0.0,0.0,0.0
268,appreciate,0.0,1.0,0.0,0.0,0.0
269,appreciated,0.0,2.0,0.0,0.0,0.0
270,approach,0.0,3.0,0.0,0.0,0.0
271,approaches,0.0,1.0,0.0,0.0,0.0
272,appropriate,0.0,5.0,0.0,0.0,0.0
273,approximately,0.0,1.0,0.0,0.0,0.0
274,april,0.0,15.0,0.0,0.0,0.0
275,arab,0.0,2.0,2.0,0.0,0.0
276,archived,0.0,3.0,1.0,1.0,1.0
277,archives,0.0,1.0,0.0,0.0,0.0
278,area,0.0,5.0,1.0,1.0,1.0
