,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8
0,'appropriate,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
1,'as,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
2,'at,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,'at',8.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
4,'before,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
5,'chat,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6,'congratulations,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7,'contact',0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
8,'electronic',0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,'fake,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10,'finding,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0
11,'fundraiser,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
12,'google,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0
13,'government,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
14,'haw',0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
15,'helvetica,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
16,'hmn',0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
17,'in,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
18,'initial',0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
19,'location,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0
20,'ltr',0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
21,'many,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
22,'mazel,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
23,'mute',0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
24,'my,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
25,'not,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
26,'of',16.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
27,'product,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
28,'recipient,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
29,'script,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
30,'scroll',0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,'select,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0
32,'select',0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0
33,'terms,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,'text,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
35,'thank,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
36,'there,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0
37,'thinking,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
38,'use,0.0,6.0,0.0,2.0,0.0,0.0,6.0,6.0,6.0
39,'vertical',0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,aberdeen,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
41,abilene,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
42,abileneseptember,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,ability,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,abingdon,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
45,abingdonseptember,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,able,6.0,1.0,0.0,2.0,90.0,0.0,0.0,0.0,0.0
47,aboard,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,abortion,241.0,56.0,0.0,3327.0,98.0,59.0,56.0,56.0,56.0
49,abortionabortion,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
50,abortionaction,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,abortionafter,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
52,abortionamy’s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,abortionbirth,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,abortionfrequently,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
55,abortiongynecology,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
56,abortionhow,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
57,abortionhurricane,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,abortionmedication,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,abortionmessage,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,abortionpap,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,abortions,37.0,5.0,0.0,9.0,6.0,1.0,5.0,5.0,5.0
62,abortionsmedication,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,abortionstatement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,abortionstelehealth,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,abortionswhole,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,abortions“i,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,abortionwhat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,abortionyour,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,abortion—including,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,abortion”,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
71,about,28.0,44.0,0.0,74.0,247.0,0.0,44.0,45.0,45.0
72,above,0.0,2.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0
73,absorb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,abstain,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,abstinence,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
76,abuse,0.0,1.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0
77,accept,4.0,1.0,0.0,7.0,67.0,0.0,1.0,1.0,1.0
78,accepted,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
79,accepting,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0
80,accepts,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,access,6.0,23.0,0.0,5.0,66.0,4.0,23.0,23.0,23.0
82,accessed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,accessibility,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
84,accessible,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
85,accessing,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
86,accessories,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
87,accessour,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88,accesswhole,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,accidentally,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,accompanied,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
91,accompany,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,accompanying,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,accordance,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
94,according,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,account,2.0,8.0,0.0,0.0,216.0,0.0,8.0,8.0,8.0
96,account's,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
97,accountant,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
98,accounttoggle,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
99,accredited,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,accurate,0.0,4.0,0.0,1.0,6.0,0.0,4.0,4.0,4.0
101,ach,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
102,achieve,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
103,achieved,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,acknowledge,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
105,acknowledgements,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
106,across,0.0,3.0,0.0,0.0,11.0,1.0,3.0,3.0,3.0
107,act,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0
108,acted,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
109,acting,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
110,action,2.0,22.0,0.0,0.0,34.0,0.0,22.0,22.0,22.0
111,actionblogshare,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
112,actionpatient,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113,actions,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
114,actiontag,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
115,active,0.0,1.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0
116,actively,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,activist,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118,activists,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
119,activity,0.0,5.0,0.0,0.0,12.0,0.0,5.0,5.0,5.0
120,actually,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,adcreate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
122,add,0.0,15.0,0.0,0.0,91.0,0.0,15.0,15.0,15.0
123,added,0.0,1.0,0.0,0.0,18.0,0.0,1.0,1.0,1.0
124,addiction,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
125,addictionbehavioral,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
126,adding,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
127,addition,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,additional,7.0,7.0,0.0,11.0,20.0,0.0,7.0,7.0,7.0
129,addms,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
130,address,63.0,5.0,0.0,10.0,42.0,0.0,5.0,5.0,5.0
131,addressdoes,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
132,addresses,0.0,1.0,0.0,0.0,13.0,0.0,1.0,1.0,1.0
133,addressing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,adds,0.0,5.0,0.0,0.0,6.0,0.0,5.0,5.0,5.0
