,token,Total0,Total1,Total2,Total3
0,'appropriate,3.0,0.0,0.0,3.0
1,'as,2.0,0.0,0.0,2.0
2,'at,1.0,0.0,0.0,1.0
3,'chat,1.0,0.0,0.0,1.0
4,'congratulations,1.0,0.0,0.0,1.0
5,'datalayer',0.0,0.0,50.0,0.0
6,'fake,1.0,0.0,0.0,1.0
7,'finding,4.0,0.0,0.0,4.0
8,'google,3.0,0.0,0.0,3.0
9,'government,1.0,0.0,0.0,1.0
10,'in,1.0,0.0,0.0,1.0
11,'initial',2.0,0.0,0.0,2.0
12,'location,4.0,0.0,0.0,4.0
13,'many,1.0,0.0,0.0,1.0
14,'mazel,1.0,0.0,0.0,1.0
15,'mute',1.0,0.0,0.0,1.0
16,'my,1.0,0.0,0.0,1.0
17,'not,1.0,0.0,0.0,1.0
18,'product,1.0,0.0,0.0,1.0
19,'recipient,1.0,0.0,0.0,1.0
20,'script,2.0,0.0,0.0,2.0
21,'select,4.0,0.0,0.0,4.0
22,'select',4.0,0.0,0.0,4.0
23,'thank,1.0,0.0,0.0,1.0
24,'there,4.0,0.0,0.0,4.0
25,'thinking,1.0,0.0,0.0,1.0
26,'use,6.0,0.0,0.0,6.0
27,abie,0.0,0.0,130.0,0.0
28,abilities,0.0,0.0,1.0,0.0
29,ability,0.0,0.0,1.0,0.0
30,able,1.0,0.0,1.0,1.0
31,abortion,55.0,0.0,28580.0,55.0
32,abortions,5.0,0.0,2011.0,5.0
33,abortion”,1.0,0.0,0.0,1.0
34,abortion…,0.0,0.0,6.0,0.0
35,about,45.0,0.0,365.0,45.0
36,above,2.0,0.0,1.0,2.0
37,abstinence,2.0,0.0,0.0,2.0
38,abuse,1.0,0.0,0.0,1.0
39,accept,1.0,0.0,0.0,1.0
40,acceptance,0.0,0.0,1.0,0.0
41,access,23.0,0.0,31.0,23.0
42,accessibility,1.0,0.0,0.0,1.0
43,accessing,0.0,0.0,2.0,0.0
44,accessories,1.0,0.0,0.0,1.0
45,accommodations,0.0,0.0,2.0,0.0
46,accompanied,1.0,0.0,0.0,1.0
47,accompany,1.0,0.0,0.0,1.0
48,accordance,0.0,0.0,1.0,0.0
49,account,8.0,0.0,0.0,8.0
50,accounttoggle,1.0,0.0,0.0,1.0
51,accurate,4.0,0.0,0.0,4.0
52,ach,1.0,0.0,0.0,1.0
53,acknowledgements,1.0,0.0,0.0,1.0
54,across,3.0,0.0,0.0,3.0
55,action,22.0,0.0,0.0,22.0
56,actions,1.0,0.0,0.0,1.0
57,actiontag,1.0,0.0,0.0,1.0
58,active,1.0,0.0,0.0,1.0
59,actively,0.0,0.0,26.0,0.0
60,activists,2.0,0.0,0.0,2.0
61,activity,5.0,0.0,0.0,5.0
