,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8
0,'anqtt',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,'appropriate,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2,'as,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
3,'at,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,'congratulations,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,'cormorant,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
6,'fake,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,'finding,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
8,'first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,'google,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
10,'government,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,'hgkqz',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,'in,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,'initial',2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
14,'jagkg',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,'jfehq',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,'kyind',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,'last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,'location,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
19,'lrhfx',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,'lyfsv',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,'many,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,'mazel,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23,'mute',1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,'my,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25,'object',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,'open,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0
27,'partially,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
28,'phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,'powered,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
30,'product,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
31,'protected',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,'recipient,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
33,'script,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
34,'select,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
35,'select',4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
36,'thank,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
37,'there,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
38,'thinking,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
