,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7
0,'abortion,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,'aviacookierefused',0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
2,'banner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,'blue',0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
4,'cookies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,'datalayer',0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6,'ekyros',0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
7,'email',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,'function',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,'google,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
10,'invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,'is,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
12,'ltr',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,'mute',0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14,'number',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,'object',0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
16,'partially,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
17,'password',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,'product,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
19,'remove',0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
20,'roboto,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
21,'save',0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
22,'text,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,'text',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,'timing',0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
25,'undefined',0.0,0.0,0.0,61.0,0.0,0.0,0.0,1.0
26,'use,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
27,'user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,'wumsg',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,abide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
30,ability,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
